AUGMENTIN+'875'	RATING	 REASON	SIDE EFFECTS FOR AUGMENTIN 875	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
1	Sinus and ear infection	Although infection cleared up, the augmentin caused horrible gi upset. I had diarrhea and then vomiting for 3 days. I wound up in the emergency room because of it. I am NEVER going to take this again. Doctor told me to discontinue use. So while the antibiotic killed the bad bacteria it also killed the good ones too. I had never been so sick. Awful experience		F	21	6  days	3/8/2013
5	Sinus infection	Mild headache, low back ache and diarrhea on day 9 of tx.  But it was def worth it. I had a horrid sinus inf x a couple months, and after 7 days, I was clear. I am extremely sensitive to things, but this med was fine. I'm eating 1-2 tubs of yogurt a day. This antibiotic seems to have a bad rap, but it really has worked great for me. There's always gonna be side effects, but it seems a lot of people have psycho-somatic reactions.		F	38	10  days875	3/6/2013Email
2	Bronchitis / strep throat	Diarrhea for days, loss of appetite, did I mention diarrhea and ontop of that my throat infection came back 3 days after finishing the course of antibiotics		F	22	10  days875	3/5/2013
1	sinus infection	The loose stools were tolerable. But VERY INTENSE VIVID NIGHTMARES AND HALLUCINATIONS WERE HORRIBLE!!!		F	28	4  days875	3/2/2013
1	Mastoiditis	Although I was also taking probiotics I experienced extreme watery diarrhea after the 6th dose.   Became dehydrated very quickly.  Will definitely not take this again, I don't think my colon/intestines could survive it a second time.		F	38	4  days	2/23/2013
1	Bronchitus	Vomiting, diarrhea, headache, yeast infection after 1st dose and the worst was I woke up on 3rd day in extreme pain in all my joints. Could not move anything!  Ended up in ER with morphine not even stopping the pain. Took 3 days of pain meds for me to walk again because of the pain. Will never allow anyone in my family to take this horrible medicine!		F	38	2  days	1/28/2013
1	sinus infection	loss of appetite nausea fever went up to 103 after taking this medicine.. severe stomach cramping. Do not take this medicine ask your doctor for something else this is the worst medicine I've ever taken in my life.		F	31	4  days875	1/26/2013
1	Sinusitis	Day 2 terrible headaches, neck pain and diarrhea start. Can't sleep. Called Dr and got a different med. Been miserable. Will never take again!		F	53	4  days125	1/11/2013Email
3	sinus infection	Very mild nausea, tinea pedis	It helped, but has not beaten my infection. I took a course of this medicine with an infected tooth 3 months ago. The infection has spread to an adjacent tooth = 2 root canals! No significant side effects except for a susceptibility to fungal infections.	M	60	6  days500 Mg 2X D	1/8/2013
