DILANTIN-125	RATING	 REASON	SIDE EFFECTS FOR DILANTIN-125	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
2	Epilepsy	Vertigo, facial paralysis started from right to left. Memory loss, slurred speech, headache, numbing of left and right limbs, swollen gums, bleeding. Very short tempered.		M	37	4  months400 MG	7/24/2012
2	seizures	Swelling of my gums, I was not pleased with my sexual life, I stay depressed about it, there is so much more but, I don't know where to start.		M	27	2  years100 mg	3/16/2012
5	Epilepsy	Son born with methemoglobinemia. He's was fine after a few years.  No side effects until recently so it's difficult to distinguish if it's the Dilantin or menopause. Had not had a seizure for decades until after a recent surgery.  Now my short term memory is getting very bad and so is cognitive thinking. I get periodic rashes on my chest and neck that don't itch or hurt and go away within 4-5 days about every four months.	I would take this drug again if I had it to do all over again. It has helped me live a normal life. I have a healthy son. The benefits have definitely outweighed the consequences for me.	F	53	30  years300mg 1X D	2/19/2011Email
5	neurological symptoms	No adverse side-effects. Controls symptoms remarkably well. Problem almost but not quite cured.	I also found Hydergine at 4.5 mgs helped and the amino acid l-carnosine 1000 mgs twice daily; each seemed to help in different ways. Dilantin I found to be excellent at calming.	M	80	15  years100 mgs 1X AN	1/10/2011Email
5	seizures	Sometimes I have felt overly tired, some swelling of gums but not terribly bothersome. Helpful with headaches.	Seizures stopped almost immediately. Was having grand mal seizures nearly daily- started Dilantin, in the past 5 years I have had approx. 6-8 seizures total. Unfortunately, I have no sex drive.	M	31	5  years200mg 2X D	11/9/2010
1	epileptic seizures	gum growth!! It did NOT control my seizures!!!!  I was always tired.  I couldn't enjoy my friends!  I was always looked at as a weird person!!!		F	47	8  years250 mg. 4X D	6/19/2010
1	seizure worry	Exhaustion, staring, Do not take this if you can hold off. Depakote was better for me , however it causes weight gain.	Bad for the liver. Be very careful for this drug is no good for you.	M	48	1  years250 4X D	6/12/2010Email
1	grand &petit mal siezure onset 2/06	extreme dizziness, fatigue, loss of concentration and memory loss, depression, no matter how high the Dr raises my dose (currently 200mg 3 times daily) my blood levels do not show the dilantin, and have even been accused of NOT TAKING the dilantin. swollen gums, itchy face, mild body rash, nausia, constipation, water weight retention	i am unsure why my blood levels will not show the dilantin level i need, no matter how high the dose is.	F	36	3  years	5/5/2009Email
4	Seizure	Had a car accident and was knocked out. 10 days later had a bad seizure. Was given 1000mg of Dilntin and observed for 3 days in the hospital. Have been on 200mg once a day for about a month. Dont feel sleepy through out the day, have trouble falling asleep, and feel like im just in a zone alot. I do have the shakes at times. So far just feeling minor symtoms. I rather be feeling these, then having another seizure.		F	28	28  days	2/3/2009
1	Temporal Lobe Epilepsy	EXTREME fatigue, shaking, memory loss, just not myself	I can't even stay awake for a movie, play with my children, or eat out at a restaurant. Whether it be in the morning, day or night. If I sit down for fifteen minutes or more, I'm exhausted and dozing off. First thing in the morning, I get ready for my hour long drive to work, and half way , I'm fighting to stay awake. Same for the trip home. At my hour lunch, I sit in the car and take a nap. The shaking is progressing, but slowly, sometimes it's noticable to other people. I cannot concentrate at work or at home whatsoever. It is affecting my job, but I'm afraid to tell anyone (don't want to lose my job). I try hard to get my job done correctly, but my job performance isn't at all what it used to be. I have to make notes for everything, simple little things, like writing down my telephone extention on a post it, and putting it on the phone that I use 20+ times a day. I am almost unable to read and comprehend anything. (I used to be able to read an 800 page book within days). I have diff	F	32	7  months	7/16/2008Email
4	Brain Tumor - removed 1.5 yrs ago	Very few side effects initially.  Now 1.5 years later, I am shakey, trouble with speach (forced me to slow down), trouble typing, difficulty sleeping - even though I'm exhausted, the memory issue is causing problems.  I've developed some strategies to manage the short term issues (it's affected my work) I'm hungry alot and am having difficulty trying to lose weight. The shakiness just started and I have no idea how to control this or whether I need to see the doctor AGAIN. I had what I would call a mini seisure as a result of drinking an excessive amount of expresso (6 cups - no one ever mentioned this before- da)I'm drinking one small to medium coffee a day now, but may need to eliminate this altogether do to the shakey issues.  I just got my license back and don't want to jeopardize losing it.	I am on 500 ml a day - 200 in the morning and 300 at night.  I was feeling so well after my surgery that I cut back to 400 ml.  For 4 weeks I felt great - then had a gandmal seizure.  If you can switch from one med to another - please post the info.	F	57	1.5  years	4/21/2008
3	3 unknown seizures	tired all the time, hands shaking, loss of appetite, a lot of mood swings, slurred speech	I'm not sure why I had these seizures but I think its stress and anxiety they only happen while I am sleep.  I'm not sure if the meds are working or not but I do know that I don't like feeling like a drug addict. I have to stop typing because my hands are shaking as I type.	F	30	2  weeks	4/4/2008
5						 	2/17/2008
4	after a brain tumor at age 40	Take 300mg morning and 200 mg at night..Dental problems-receding gums but this medicine is my life saver. Any time my blood level gets low(i.e.forget to take it) I have seizures		F	49	9  days	2/4/2008
1	Grand mal seizures	Hodgkin's lymphoma	Would not recommend for extended use.  There are safer seizure drugs.  I took for 5 years and developed hodgkin's lymphoma. 6 months of chemotherapy and radiation. Now taking lamictal and it's great. Email us if you have any questions - please let us know if you have or have had lymphoma due to dilantin.	M		6  years	12/10/2007Email
5						 	11/24/2007
5	To control seizures	Gum recession; some reduction in energy	Have been on this for 16 years at 400 mg. daily.  Wonder what it would be like to not be on it.	M	60	16  years	11/2/2007
5	Epilepsy	Speech problems, Insomnia yet when i did go to sleep didnt wake up in the night, turning a bit yellow (not that bad though), always tired	I LOVE Dilantin! Although i am not yet completely seizure free,  i have had 100% improvement. went 20 days until my med. level dropped and had to raise the dose. I went from having 6-7 extreme seizures a day to having maybe one or two staring spells or simple partial seizures a day. On 600mg a day.	F	16	6  weeks	4/30/2007Email
4	Grand Mal Seizures	This drug has been a life-saver for me.  34 years ago I was in an accident that caused seizures to begin.  The only time I have seizures is if I go off Dilantin.  I take 100 mg in the am and 200 mg in the PM.  Until recently, I have always been able to maintain strong focus and memory.  I have been noticing some short term memory problems lately-(may be related to perimenopause) and some problems maintaining focus.  Again, not sure totally of the cause.  I DEFINITELY advise ALL of you to have your Vitamin D levels checked as well as regular Bone Mass Density testing.  Dilantin interferes with Vitamin D absorption and unless you are outside a tremendous amount, you may need a supplement in addition to your calcium supplements. Please consult your doctor before you start any supplements.   Also, it is important to NOT take your mineral supplements at the same time you take your dilantin.  Separate them by at least a couple of hours.  My Vitamin D level was 12-- normal is 35-100?  Do some		F	47	34  years	4/9/2007
4	3 Grand Mall Seizures	Fatigue / loss of energy, blurred vision, memory concentration	I was taking 5-100mg pills a night (made me too tired to take during the day). I am now trying to wean myself off of the medication---be seizure free for over 2yrs. Please let me know if you have also attempted this and what side effects you have had.	F	39	3  years	2/21/2007Email
