ESTROSTEP+21	RATING	 REASON	SIDE EFFECTS FOR ESTROSTEP 21	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
4	Moderate acne	The worst side effect was that I bled for 3 weeks straight during the first month taking it. I was off birth control pills for about 4 years because my acne got better. It wasn't excessive bleeding (good bleeding for about 1 week, then spotting for 2 weeks). For the second month, my period returned to normal.	Great with acne, I don't have breakouts any more.	F	23	2  months 1X D	4/6/2012Email
2	Birth Control and help Acne	Spotting, Unusually emotional, Breast pain, Either very hungry or not hungry at all	Mostly I hated this bc because my period became completely unstable. I normally get it like clockwork every 27 days and this threw it off completely, I wasn't spotting I was getting a period 3 times a month just shorter. It also made my boobs hurt REALLY badly, sad I was hoping it would work out.	F	21	2.5  months20 1X D	2/1/2012Email
5	Prevent pregnancy, control PMS	Altered period cycle -- almost all of my PMS symptoms (cramps, zits) occur the week BEFORE my period now. Period length was not shortened as much as other oral contraceptives have shortened it.	This was the ONLY pill that did not make me fat. Yaz and Ortho Tri Cyclen both made me go from 118 lbs to 140 lbs over the course of months. This BC allowed me to shed the weight immediately back down to 121 lbs. Helped control mood swings tremendously. Helped acne (except while on period). Helped cramps. Only downside -- period was not shortened or lightened as much as other BCs have and this pill is expensive (co-pay tends to run high, $25 for me, even for generic).	F	18	1  years 1X D	12/12/2011
1	Endometriosis	Wanted to put a gun to my head and blow my brians out. Cried over everything and nothing.  Became evil towards family and friends.	My GYN had switched me because I had been on the same pill since my endometriosis surgery two years prior and she wanted to make sure my system was maintaining. I finally realized, after having such a horrendous argument with my mother that I blacked out I was so angry, that it had to be this pill.  It was like being possessed! I have never had such erratic mood swings and crying jags.  It was a horrible, horrible month, especially the week before my period.  Went directly back on previous pill and have been too frightened to try anything else.	F	43	30  daysFE 1X D	9/25/2011
4	Lower estrogen birth control	first week i experienced numbness/tingling in arms and legs but this stopped the second week. start of third week i have been experiencing constant breast tenderness, very vivid dreams the entire month.	I switched to this bc because i was on ortho-tricyclen for several years and i had a lowered libido and frequently yeast infections. Although i have not had my period yet on this new bc i can say that i am happy with the switch. my breasts are sore and the vivid dreams are a bit annoying but i like some of the other effects. i have improved mood, less constipation, slightly higher libido and no yeast infection. it is amazing how switching pills can change problems that you never knew were associated with the pill. i would recommend this pill to women who are curious if higher estrogen might be behind some of their problems. I will update more after my period next week to give a full review of this product. So far though, i am happy with it.	F	24	3  weeks20,25,30 1X D	2/22/2011Email
3	Prevent Pregnancy	Negatives: Weight gain of 5-7 lbs so far. Breast size increase and constant tenderness. Slightly more tired. Major decrease in sex drive. Positives: Wonderful during period: No cramps, small headaches only 1 or 2 days, didn't make me nausated like most birth controls. (Was on generic Tilia Fe the first month and I would NOT suggest that to anyone. Constant headaches/migraines the WHOLE month I was on it. And an increase in anxiety; slight depression; more moody.	I was on the Nuvaring for 6 months and it was WONDERFUL! No side effects at all except extra discharge and shorter lighter periods. I had a slight discomfort during intercourse and knew mutliple people who had gotten pregnant while on nuvaring so I switched to Estrostep. I am going to continue it and I think my body will adjust for the most part, and working out will take care of the weight gain.	F	23	2  months 1X D	2/4/2011
1	prevent pregnancy	Crippling anxiety! This BC messed up so much, and I've tried several brands of hormonal BC. The anxiety and panic attacks stopped me from going about my life and eventually gave me IBS that I still have 5 years later. The month after I stopped taking the pills my anxiety levels went back to normal (but my stomach never did)	Wish I had never tried it!!	F	26	3  months 1X D	1/31/2011
3	regulate period	im 5ft3 and when i started taking it i weighed 120 and i am now 131..my boobs hurt so very bad to the point im going to call my dr to complain in the morning. im still in my 34d bra but i could probably use the next size up but i refuse to buy a new bra:) its not my entire boob that hurts just the outer part almost like they are growing full speed ahead:)my face is broke out really bad but my chest and back that use to be bad is as clear as a bell now:)go figure. im tired and forgetful all the time now. seem confused alot and my husband says im more moody. a real bitch according to him:)but guess what..it regulated my period, comes like clockwork now but is it really worth all the other side effects??? I THINK NOT!!!!!	WEIGHT GAIN, MOODY, FORGETFUL, TIRED ALL THE TIME	F	30	2  months 1X D	1/30/2011Email
5	Birth Control	Extreme hunger the week before a period.	I have used Estrostep off and on for the last 6.5 years.  I have had nothing but good results with it.  It decreased the severity of my cramps (I use to vomit due to the pain), I knew exactly what day I would get my period, my skin was clear, and I didn't get pregnant while on it.  I did switch to Mercett for 1 year to see if the B/C pills were causing my migraines (Turns out they weren't). The Mercett didn't even compare to Estrostep.  I will be using it for as long as I can.	F	25	6.5  years 1X D	9/27/2010
