LATANOPROST	RATING	 REASON	SIDE EFFECTS FOR XALATAN	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
1	Occular Hypertension	Constant headache, neck  and back of head hurts, tender scalp, joint and terrible back and chest pain, earache.  Went to the Dr. for that and she said my ear was not infected.  Hurts when I cough or sneeze, rashes on hands and stomach, itchy and blurry eyes..	I am taking the generic Lananoprost.  I called the Dr. and he said it's not likely that the medicine is causing these symptoms, ha, because I know my body better than he does because I live with me everyday.  He told me to stay on it until I see him next month and will will prescribe the brand name.  This generic crap is doing more harm than good.  Not worth it.	F	59	3  months0.005% 1X D	4/16/2013
2	Glaucoma	Terrible rash on torso and legs. Eye drops are the only drug I take, I do  not even take aspirins. Doc said it was the eye drops, xalatan. I was on a different brand before and no problems.		M	48	2  months 1X D	3/28/2013Email
2	high pressure both eyes,glaucoma	Pain over both my eyes-it felt as if someone punched me in the eyes, the back of my neck hurt so so bad & it radiated up the back of my head to my forehead down to my eyes & around my neck to my temples around to my eyes.I have migraines & the pain from using this drop super-ceded that  type of headache!! My eyes were sensitive to light. The pain got me sick to my stomach. My eyeballs felt bruised. My eyelashes  were falling out. I continuously had that gook in my eyes.Itchy eyes & my eyes were getting reddish around the outside of upper & lower eye lids. Sleep was a hassle cuz I could not lay down without pain getting worse & nausea setting in.	I MAY ADD I WAS USING THE GENERIC BRAND. I HAD DOUBLE LASER SURGERY IN NOV & DEC OF 2012.. MY EYES ARE WORSE NOW DUE TO THE DROPS. I STOPPED USING & I HAVE TO SCHEDULE APPT WITH A DIFF DR..	F	47	1  months0005% 1X D	2/16/2013Email
5	intraocular hypertension	Eyes seem a little dry when I wake up, I just use an otc mousture drop.	No complaints at all. This has been a godsend for me. I'd had red and painful eyes for quites some time and assumed it was allergies until the eye dr. check my pressure. I'm now around 15 for both eyes, they are clear and bright and I get fewer headaches. A+	F	36	4  months.005% 1X D	6/16/2012
1	glaucoma	With new generic Xalatan, constant watering from eyes, a slightly viscous fluid always present. Did not have this effect with brand-name Xalatan I used years ago.	I switched from Travatan ($42) to generic Xalatan ($8) for cost reasons. Within four months my eye pressures had risen from my usual 17-18 to an unacceptable 25. Back to Travatan. This result may not be typical, but users of generic Xalatan should be aware it is possible. Several companies offer generic latanoprost, and perhaps a different maker would be better, but my pressure control is too precarious to experiment.	F	70	4  months1 drop 1X D	5/6/2012
1	eye pressure/left eye	I could use Xalatan with no problems--have been on it for about two years.  BUT  I was asked if I wanted the GENERIC Latanoprost which just came out a few months ago and I said yes--to save money.  Every morning I would wake up with terrible pain in the back of my neck which would progress into a migraine every day!  This started happening within a week of starting the GENERIC.  I told my doctor and he put me back on the BRAND name (Xalatan) and within two days, my neck pain and migraines went away!		F	61	3  weeks1 drop p.m 1X D	7/29/2011
3	eye pressure	After six months I began experiencing shoulder pain and muscle soreness. I'd put drops in at 11 pm. At 2am I'd wake up with pain shooting down my neck and shoulder. I would get up and take an aspirin. I'd also use a vibrating tool. It would take me two hours before I could go to sleep. I went to my doctor after two weeks to check for signs of a heart attack. He checked me out and said it must be something else. A week later I started with a chiropractor to alleviate the pain. It helped some. I had to open a new bottle of Xalatan. I read the literature. I saw that 2% patients experienced muscle pain and joint pain. I called my opthamologist to tell him. We agreed for me to stop taking the drug for two weeks. Last night I slept through the night again for the fifth straight night after I stopped taking Xalatan. I still have some muscle pain, but it seems to lessen every day.	My opthomologist said he was not aware of any such side effects.	M	71	7  monthsone drop 1X D	6/12/2011Email
4	Control inner ocular pressure	Restasis was used for dry eye prior to using Xalatan.  Using Xalatan at night negated the effect of Restasis at night.		M	56	3  months 1X D	5/5/2011
4	High IOP	Blurred vision, long eye lashes, red eyes in the morning.	I got diagnosed with ocular hypertension in Aug 2010. I always get my eyes checked once a year, but during my visit this year I was told that I had an eye pressure of 38 on the right eye and 32 on the left. However, the doctor did not find any nerve damage and was surprised I didn't have any nerve damages with an IOP that high. I was put on Xalatan and after 2 weeks, my eye pressure dropped to 22 on the right eye and 20 on the left. The doctor was pleased with the results and wants me to come back in Jan 2011 for another eye exam. I was also given a visual field test and I passed it. The doctor commended me for getting my eyes checked every year and that is why we caught the problem early. The doctors aim is to get my IOP to 14 or 16.	M	32	4  months 1X D	12/20/2010Email
4	Ocular Hypertensive	Blurred vision, long eye lashes, red eyes in the morning.	I got diagnosed with ocular hypertension in Aug 2010.  I always get my eyes checked once a year, but during my visit this year I was told that I had an eye pressure of 38 on the right eye and 32 on the left.  However, the doctor did not find any nerve damage and was surprised I didn't have any nerve damages with an IOP that high. I was put on Xalatan and after 2 weeks, my eye pressure dropped to 22 on the right eye and 20 on the left. The doctor was pleased with the results and wants me to come back in Jan 2011 for another eye exam. I was also given a visual field test and I passed it. The doctor commended me for getting my eyes checked every year and that is why we caught the problem early. The doctors aim is to get my IOP to 14 or 16.	M	32	4  months 1X D	12/7/2010
5	glaucoma	Mild stinging when using, in fact notifies me if I am using 'old 'stock, none others that I am aware of.	Very rapid results in dropping pressures, from over 20 to 15 virtually immediately. Also have cataracts so don't need any other problems. Had laser surgery in one eye and very confident in treatment I am recieving.	M	62	5  months 1X D	11/10/2010Email
5	High eye pressure	When I started Xalatan: Eye redness, waking up with crusty eyes, runny nose, could taste the medicine.	Within two weeks, Xalatan dropped the pressure in my eyes from a 22 and 19 to 14 and 13! AMAZING!	F	23	2  weeks 2X D	11/4/2010Email
5	Fuchs Corneal Dystrophy	none so far	like night and day: when I started take this medication, the pain I experienced in my eyes decreased a lot.	F	63	17  days 1X D	10/26/2010Email
