MORPHINE+SULFATE	RATING	 REASON	SIDE EFFECTS FOR MORPHINE SULFAT	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
4	Lower lumbar pain due to RA	I feel overwhelming heaviness like someone is holding me down! Blurr vision. Helps with severe pain.		F	48	10  days15 mg x 3	4/26/2013
3	Back pain	Dizziness, insomnia, inability to pee,		M	42	1  days100 mg	2/8/2013
4	Ovarian Cyst Pain	Dizzyness, Dry throat, Hallucinating, Vomiting, Jumping in my sleep uncontrollably, Unable to balance when walking, Terrible nightmares. It definitely killed the pain but the side effects made me feel like I belonged in an insane asylum.		F	18	4  months10ml	1/10/2013Email
4	disc desease	Constipation nausea		M	55	10  years60mg sa	12/17/2012
1	neck	Constipation		F	49	6  days60 mg	11/5/2012
3	chornic pain,	Dry mouth, constipation	It does not help my knees or shoulder.  Complete rupture of thigh tendon of left knee and a left shoulder replacement.	M	73	3  years15 mg 3X D	10/15/2012Email
1	Pain reliever after surgery	I was given this after kidney stone surgery.  I had an allergic reaction at the injection site.  (I was given it intravenously).  Rash and swelling at injection site, ears ringing, tightness in back of neck.	The nurse immediately noticed the reaction and then gave me Benadryl (intravenously).  The rash disappeared after a short while.  The swelling, however, took a few hours to disappear.  Fentanyl, by the way, has caused no problems in me.	M	50	1  daysUnsure 1X D	10/2/2012
4	failed spine surgery	It depends on how much you take. (see comments)	I resisted going on morphine, but years of anti-inflammatory medication, Tylenol with codeine 3, and Vicodin for nerve pain caused severe acid reflux and a bleeding ulcer.  The ulcer healed after a few months of medication, but I will have the reflux for life.  I was put on morphine on the theory that I could take less of it to get the same effect.  I have been on morphine for seven years.  At first I took only 1/4 tablet a few times a week for flares; and it would put me OUT. My spine steadily worsened;  I am now on a maintenance dose of 15 mg ER/2X day.  I would have no life at all without morphine and a very limited life with it.  I have had some extremely severe flares of pain from my spine and trigeminal nerve pain, during which I doubled the dose I was taking and still had severe pain.  I went back down to my maintenance dose as soon as possible. At 15 mg/2X day, I have no significant side effects. I have some concentration problems at times, but I have that with severe pain as well. I drink lots of water and eat a high fiber diet; and that keeps things moving.  At double this dose, I have dry mouth, constant thirst, loss of taste, loss of appetite, constipation, cognitive problems, and apathy.  So my feeling about morphine is that it can be a good solution, depending on your situation and how much you take.  I am definitely acclimated or addicted, whatever you want to call it. But once you have a certain level of pain, it's not as though there's a choice.	F	67	7  years15 mg 2X D	9/24/2012
2	I have herniated disks	no side effects at all	I am in horrible pain and my doctor gave me these because the lortabs were not working anymore. I took it and nothing happened,no relief at all from my back pain.	M	51	1  days30 2X D	8/10/2012Email
4	Deg. Bone Disease, Fractured Lumbar	Itching, Headache, Sleep Disturbance, Constipation, Loss of appetite, Irritabilty, Felt ill a couple times (nausea)	My pain management Dr Prescribed me Morphine 15mg Release tablet 1 twice a day. The main problem I have had was the Itching. It keeps me up & driving me insane. I have gotten irritable also. It has helped with some of the pain in my back but not all of it. I have degenaritve (sc) Bone disease, Fractured my L-spine, 3 bulging disks, really bad scoliosis, all but the last was caused by an flipping a ATV down a beach, Except for the bone disease which runs in family. I am a kidney dialysis pt & have a lot of pain from hollowed bones, old breaks so. Opposed to what the dr wanted to give me (methadone low dosages) I have to rate this a 4 I am satisfied but some pain still there. Hopefully when I start my Cortisol injections I wont have to be on as much. I really cant stand the itching! I don't remember Morphine itching like this when I was in hospital for 6 months. Thats why I agreed to it. Didn't think itching this bad would be an issue. Oh well I'm hoping it subside a little after taking it a little longer	F	32	1  weeks15 mg ER 1X O	6/10/2012Email
5	ATN/TN/ON & Fusion/Discectomy/Lamin	30 MG .tid or 45 MG .bid - PRN(I generally don't do either. I usually take 60 MG once a day...twice if extreme pain is present)Severe constipation. Aporoximately 8 out of 10 times, it takes the edge off my pain for: bilateral Atypical Trigeminal Neuralgia (ATN) (Dx'd 1995 but had since 1986) bilateral Trigeminal Neuralgia (TN) (Dx'd 1995 but had since 1986)  Occipital Neuralgia (ON) (Dx'd 10-10-2011 after bilateral Gamma Knife Radiosurgery - GKR).  L4-L5 & L5-S1 Fusion, Discectomy, & Laminectomy (Dx'd 2008). Overall: 25 years of Severe Chronic Pain		F	42	2  years90 MG	5/9/2012
4	lumbar herniated disks/fibromyalgia	Severe constipation, itchy skin, dehydration, mild headaches and sometimes nausea.	The doctor actually gave me the option to take up to 2 - 15mg morphine sulfate IR every 4 hours.  The most I have taken is 1 every 4 hrs.  It does relieves my pain.  I have severe back pain, cervical and lumbar. The lumbar pains shoots down both of my legs and sometimes is unbearable.  The pain does not go away but it is relieved somewhat.  I am not taking even half of what my doctor prescribed due to fear of addiction.  Even though I dont get any high from it. I can function better with it than without the morphine.  I am an active person and always have been. But I have had 2 cancers on my hip, total hip replacement and chemo and radiation.  I tried so many pain medications but the only one that has given me pain relief is the morphine.	F	58	5  months15mg 3X D	4/23/2012Email
4	Spinal Stenosis, Degen Disc Disease	Sleep interference, dosage doesn't always control pain	Difficult to get rest if taking enough to control the pain.	M	60	4  years30MG 3X D	4/23/2012Email
