NARDIL	RATING	 REASON	SIDE EFFECTS FOR NARDIL	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
1	Major Depression	Dizziness, Extremely Low Blood Pressure/Fainting, Severe Constipation w/ Anal Fissure, Anxiety Attacks, Abnormal (for me) Thougts/Writing, Weight Gain, Night Terrors so frequent and traumatic that I became sleep phobic.  Feeling psychotic.	My tme on this drug was the worst six months of my life. Over time the psychiatrist was prescribing so many other drugs to combat the side effects; Florinef to keep my blood pressure up and stop the fainting, Sleeping pills and anti anxiety pills so I could sleep, vitamins for my electrolytes that were tanking and finally an anti psychotic!  I became more sick on this drug than without it.  After passing out and not coming to this time I was rushed to the hospital.  I saw a psychiatrist there who told me that my dose was too high and I was having a toxic reaction, not becoming psychotic.  He took me off the drug and while I still had to deal with the depression, all the side effects vanished and I didn't need all the other drugs. I was 19 years old and on 75mg per day.	F	19	6  months75 1X D	4/9/2013
3	Major Depression	Weight Gain, Constipation, Sexual Side Effects, Insomnia	I have been taking Nardil for almost three years - it made me gain about 30 pounds and I have trouble sleeping (I wake up 2 - 5 times per night).  However, it is the only drug (out of about 30 of the SSRI's, SNRI's, tricyclics, atypical antipsychotics, etc.) that has worked satisfactorily for me.	M	26	3  years30 Mg 3X D	2/27/2013Email
5	Atypical Depression/Social Anxiety	Anorgasmia, constipation, insomnia, dizziness, weight gain.  All of these except the weight gain went away after 2 - 8 weeks/	For crying out loud if you have tried and SSRI, SNRI, and Wellbutrin read as much as you can about aytypical depression.  If you truly beleive that you have it then you owe it to yourself to try Nardil.  Side effects except the weight gain and some mild constipation have all resolved.  This drug has helped me get my life back and given me the energy and mood stability to get into therapy which is making an additional world of a difference.  Depression is 90% gone and social phobia 65% gone with Nardil Alone.  I can get out of bed and naturally start thinking what I want to accomplish today.  My motivation to do things is back.  Nardil vs. the 8 other antidpressants I've taken is no comparison.  This drug is awesome.  Working my ass of with an expert therapist I'm getting both of these to near 95% gone.  MAOI diet is outdated.  Read the articles from the researches in Toronto who researched the tyramine levels these "restricted" foods using modern day food hygine production.  Never had any issues and I eat whatever I want except any smelly aged cheeses, soy sauce, tap beer.  I make sure to stay away from the contraindicated medicines that you can't take with it though.  Don't be an idiot and you'll be fine.  I had to bounce around psychiatrists and had to be assertive with each one to make my case for Nardil.  I finally found one that would work with me and we eventually tried it.  Thank God I did.  If you have trouble getting someone to write it keep trying and boun	M	33	7  months90 3X D	2/6/2013Email
5	panick attack, agoraphobia	constipation, urine retention	I feel so much better, i try few antidepressants,it's the bestt one. At start I feel lazy now i'm full of energy, I can drive almost anywhere, I stay alone at home with no fears. WOW, I loose 8 years trying to find the good antidepressant. I eat what I want, any cheese, meat... My heart beat is 80 instead of 120 beats per minute. My pressure is very good. Only panick attack per month instead of 5 every day. Thanks god i feel alive!!! Find the good dosage and be patient it take 6 weeks to work or little bit more...	F	34	2  months60 2X D	2/3/2013Email
1	Severe depression/social anxiety	Other than wanting to violently kill myself, none	I was so disappointed. I was so pumped to try Nardil but it gave me strong suicidal urges and I had to stop after just 8 days. :( Big downer.	M	19	8  days15 2X D	1/14/2013Email
4	Anxiety / Depression	Insomnia for about 2 weeks, which went away.	I began taking this when all other anti-depressants failed, and I could no longer tolerate the mental fog and apathy that Lexapro caused.  It has helped a lot with taking the place of Lexapro for panic attacks and general anxiety, and has given me some energy back so I can work normally again.  It hasn't been what I had wanted in an anti-depressant.  I still feel emotionless and dull most of the time, with brief instances of feeling.  I am planning to go up to 30 mg BID soon to see if this helps.	M	32	9  months45 1X D	12/4/2012Email
3	Treatment-Resistant Depression	Severe swelling of legs & feet; chills; insomnia; blood pressure in the 70/40 range; frequently close to fainting	I recently ended up in the ER as I fainted upon getting out of bed in the morning and did not come to for over 20 minutes by which time my husband had called an ambulance.  It was determined by consults with both psychiatrists and internists that this episode was caused directly by the Nardil and it was imperative I begin weaning off of it as it was far too dangerous for me to be on with the way I responded physically.   My heart rate was in the 40's and blood pressure when going from lying down to stand was in the 70's/40's.  A month previous to this I had lowered my daily dose to 45 mg and the swelling became minimal but the other issues remained.  And my mood and ability to function also decreased very noticeably.  So I am beginning to slowly taper off with no idea what I will try next as i have been on just about every other drug in every conceivable combination and dosage.	F		4  months30 mg 2X D	10/23/2012Email
5	social phobia/depression	the insomina made me give up, which i regret to this day , thast why im going back on it again, unable to orgasm, light headed first few weeks, staggering when walking sometimes	was the most amazing med ive tried, i have tried a lot this med at the low dose of 45mg per day brought me back to the young woman i once was, maybe even better, besides the side effects i was happy every day, i was confident, i looked forward to everything, i could do all my house work & felt good doing it, went off it and in a space of a month to this day im miserable.	F	36	3  months45mg 1X D	10/8/2012Email
4	Major depression	Weight gain, nausea, horrible taste in my mouth due to change in coating in 2003, dry mouth. Four hypertensive crises in 30 years due to eating spoiled chicken and/or ketchup.	The doctor who prescribed Nardil saved my life. I had been having panic attacks, deep episodes of depression, and heavy depersonalization. I have been on as little as 60 mg, but mostly maintained on 90 mg. I  would be lying if I said that it made me feel 100% better; it's more like 65-70%. The panic attacks are completely gone. I do suffer insomnia, however, and even moving the Nardil to earlier in the day has not helped. Yes, it took about 4-6 weeks to kick in. The way my doc described it was that my "depressed palor" had disappeared, but the greatest relief was that I no longer had severe panic attacks -- and those had been the worst of it. You have to be very committed to taking this drug because of all the food and drug interactions. There is a steep learning curve, but once you experience feeling human again, having to remember a lot becomes easier. If you're just starting on Nardil, please give it time. I promise it will work for you. If you need to, put up a wall calendar and mark off days. By around 4 weeks, it will start to kick in because the blood level of the drug will be growing. Remember, it IS worth the wait, and YOU are worth the time it takes -- even if you have to take a leave from your job or your life. I'm a cheerleader, but I hate Pfizer for changing the coating because it's cheaper to make that way.	F	55	30  years45 mg 2X D	7/9/2012Email
3	Social Anxiety	I really can't tell if it is helping, or not.  I hoping it will kick in soon.		F	35	7  weeks60 MG 1X D	6/28/2012Email
5	Depression	Slight weight gain (easily counteracted with exercise); mild fatigue (again, exercise); constipation in first couple months (eat fiber).	Saved my life. When Prozac stopped working, Nardil proved to be a miracle drug! Not only did it allow me to have a normal, outgoing personality, but allowed me to date, build relationships, and live a normal life. This drug is the reason I can live like anyone else.. I can live without the fog of depression. Each day feels like a positive, new day. And yet, it doesn't dull the emotions. I still feel great music, still have strong emotions, etc... it just takes away the awful, awful depression. So sad doctors know little about this drug. If only more people knew about Nardil.. if only.	M	27	2  years60 1X D	4/21/2012Email
5	Depression, anxiety agoraphobia	Nausea on starting low blood pressure	I was originally on nardil in the 1980's they changed my life completely. Now just gone back on them only been on 3half wks still feel nauseaus but hopefully that will cease soon!	F	49	 30mg 2X D	4/8/2012Email
1	Severe Post Traumatic Stress/Depres	As I increased dose fainting and seizures started becoming a problem. Ended up in the Emergency Room after having 2 bad episodes in the space of 3 hours. I naturally have quite low blood pressure 120/50 but my blood pressure was dropping to under 90. In the emergency room, through consultation with my GP and Psychiatrist it was agreed to drop dosage down to 30 mg twice per day. A week after being in the ER I had an unstoppable seizure, went from arms, legs and head flailing about uncontrollably to being stiff as a board, neck back. An ambulance was called, they were unable to stop the seizure so called for a second ambulance. They put a breathing tube down my throat in case everything seized up. By the time I arrived at the hospital I was unable to breath and the seizure contunued. I was placed in an induced coma in the Intensive Care Unit for 2 days and then was placed in the Critical Care Medical Ward for a further 2 weeks. I had one more seizure while undergoing rehabilitative Physi	Prior to all the horrendously bad stuff happening, when I was taking my full dose of 90mg per day I was feeling the best I had ever felt, certainly not 100% but soooo much better. When the dosage was dropped to 60mg per day, I noticed a considerable downturn in my mood and behaviours - Binging on food, feeling miserable again, terrified to leave the house, buying random things uncontrollably.Would I recommend Nardil? Yes I would, the things that happened to me was not the norm and before it happened I was feeling better.I had taken so many different other types of anti-depressants before this but nothing helped me.	F	42	6  weeks45 mg 2X D	12/17/2011Email
5	severe anxiety	nirvana	tried every med known to man. was ready to give up then tried Nardil	M	55	1  years45 3X D	11/27/2011
5	anxiety	weight gain	miracle med	M	55	7  years45 1X D	11/21/2011
