TYLENOL	RATING	 REASON	SIDE EFFECTS FOR TYLENOL	COMMENTS	SEX	AGE	DURATION/DOSAGE	DATE ADDED 
				F M	 	 	    
3	It's in the Vicodin my Dr. gave me.	After taking Vicodin for three years, it and any product containing Tylenol/acetaminophen now gives me a perfect 10 migraine which only ibuprofen will make go away. Before this happened it used to be the best pain reliever for me.	My Dr. had to switch me to ms contin due to my reaction now.Short term duration of this medication is the ONLY way it should be taken in my opinion.	M	51	3  years325 3X D	11/23/2012
3	Shoulder Pain	I received a headache about 30mins after taking.Also a very weak tingle in my arms, like they were falling asleep.I still have shoulder pain =/	I think I will stick to  ibuprofen when it comes to needing a pain med.Since I have never had a problem with that medication.I also notice when taking Tylenol I end up having to take more then I want to take. With ibuprofen I take 2-4pills instead of 6-8 of Tylenol. =(	F	27	1  days6pills@500 1X D	8/17/2012Email
1	headache	Paranoia	Anandamide reuptake inhibitor`?? Terrible addictive and gateway to hell. Maybe.	M	30	2  days1 1X D	1/2/2012
3	Headaches.	None.	Tylenol is good for a headache. One pill never does anything, two eases the pain, but it's never 100%. To get rid of the pain completely (for severe pain) I take ibuprofen.	F	19	14  years	11/28/2009
2	Headaches	None	Either im immune to this or it isn't very effective. I've taken it many times and always have to take more than recommended for anything to happen. It also takes a long time to kick in. Waste.	F	19	4  years	8/23/2009
1	Pain	None	Seems to be more of a mental drug, where it won't relieve pain but make you think it is working. If you are in pain, try something else.	M	19	 	8/16/2009
3	Headache.	It helped my headache but it too forever to kick in. I only got mild releif. I didn't expereience many side effects from this drug.	Good mild pain killer.	M	18	2  days	4/19/2009
3	arthritis	I get mild headaches and feel sleepy. I also feel lethargic.None of these side effects is listed anywhere, but I have been experiencing them repeatedly.	It helps somewhat with my arthritis pain. Aleve worked really well for me, but I cannot take it (and other NSAIDs) because of stomach problems and other side effects, so I am glad I can take Tylenol sometimes. But if I don't want to fall asleep, I just put up with the pain until it bothers me too much ... There don't seem to be any good choices for me.	F	57	3  years	2/26/2009
2	Pain (post-op)	Taking Tylenol elevates my blood pressure significantly.  I have experienced this numerous times.  Most recently hospital personnel tended not to believe me and administered Tylenol for pain after my aortic valve replacement.  They became believers!	I know Tylenol works very effectively for most people.  Unfortunately I and I am sure others have suffered significant side effects which seem to be met with doubt and denial  by well meaning health care professionals. My side effect is significantly elevated blood pressure.	M	63	1  days	12/13/2008Email
1	headache or pain	When this drug wears off, I am always very depressed.  I cannot take it.  Switched to ibuprofen with no problems.	Kind of scarey that this drug guarantees depression in me when it wears off!	F	46	10  times	11/30/2008
