Obsessive Compulsive Disorder	stillsick247, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	5	1	Female	19-24	6/12/2012 8:50:09 AM	 i have been taking this medication for quite some time and still has not worked for me. still have obsessive thoughts.  
Depression	john, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	25-34	4/13/2012 4:32:05 PM	
Obsessive Compulsive Disorder	25-34 Male  on Treatment for 1 to 6 months (Patient) 	4	4	2	Male	25-34	1/6/2012 1:27:31 AM	I started taking this medicine at the mid range dose about a month ago and I noticed better sleep patterns and less obsessive behavoir. I even lost weight as I tend to be a comfort eater when stresed. That being said. the first week I had terrible dizziness and my sensitivty to alcohol was exponentially increased(a half glass of wine made me faint). The only persistent side effect has been severe constipation; the worst of my life. I'm going to give it another month and then switch if this doesn't go away.
Obsessive Compulsive Disorder	Oli, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) 	4	5	4	Male	35-44	10/3/2011 12:21:25 PM	Improved OCD and depression significantly. I take 150mg.Can you guys tell me how much you take??
Obsessive Compulsive Disorder	jenae88, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	9/6/2011 12:14:48 PM	This is the best medication I have ever took I have a skin picking disorder and I barely pick now I am so happy 
Panic Disorder	Tony Michael, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	4	1	3	Male	45-54	7/26/2011 10:09:32 PM	Two months of many side effects like bad constipation to name one and stomach pain.  After that it worked, but it left me very very tired.  Also thirsty all the time.  Must watch diet or you will gain weight.  I drank lots of water.  I quit mainly because of the tiredness.  This one was a very hard one to start, so be careful and go up slowly or it might trigger a panic attack.
Obsessive Compulsive Disorder	BMP7272, 19-24 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	19-24	2/20/2011 2:02:13 PM	I was diagnosed with OCD when I was 7 yrs old.  I was on several medications including zoloft and prozac.  They would work for a while but they usually made me sick.  Anafranil was absolutely wonderful after the few weeks it takes to build up in your system.  Even if you feel better never stop this medicine on your own. I made that mistake as a teenager and the OCD usually comes back full throttle.
Obsessive Compulsive Disorder	Rome52, 45-54 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	45-54	1/31/2011 2:59:51 AM	This medicine has worked excellent for me for years for both obsessive compulsive disorder and depression. 
Obsessive Compulsive Disorder	35-44 Female  (Patient) 	5	5	5	Female	35-44	1/22/2011 1:58:46 PM	works well on my o.c.d.
Panic Disorder	umgriz, 35-44 Male  on Treatment for 5 to less than 10 years (Patient) 	4	4	3	Male	35-44	1/21/2011 12:20:05 AM	This medication packs a punch. I've been on it at 200mg daily for just over five years. It was very effective in treating my panic disorder and OCD symptoms, but I experienced all the side effects described above. The dry mouth is so bad I couldn't use my CPAP anymore. Over all I gained about 35 lbs that I could not lose not matter how hard I tried. I had constant thirst and excessive urination. My affect became flat and dull. I was rendered completely impotent. And over five years I was prescribed four other medications to treat the side effects. But I endured it all. Finally, after achieving some stability in my life, I am trying to get off it. It is a nightmare! I've been weaned off for five weeks, but the withdrawal effects are nasty: headaches; horrible depression (my worst ever); vivid, disturbing dreams; nausea. I've been essentially useless since I stopped. If I knew then what I know now, I never would have started taking it. It's side effects were horrible, and it's withdrawal effects are worse.
Obsessive Compulsive Disorder	a true believer, 25-34 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	25-34	12/29/2010 6:20:40 PM	This drug has been on the market for several years, I started taking it in 1989. It is a wonder drug as far as OCD drugs go. There is no other BETTER DRUG OUT THERE FOR OCD!!! It is a miracle drug. I took it starting at age 9 and quit taking it at age 20 when I got pregnant with my 1st daughter . I didnt need the medication anymore after that, not sure why but I have been free from ocd for years and I no longer take any meds, however this is the one and only best drug for OCD!!!  : )
Obsessive Compulsive Disorder	--, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	1	5	1	Female	45-54	12/28/2010 10:31:09 PM	level of OCD has not lessened at all
Obsessive Compulsive Disorder	mizzabbigail, 19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	19-24	12/21/2010 8:28:37 PM	minus a quick moment when we realized that when the dose was too low i was lots worse and that a certain dose was too high this medication has worked amazingly for me quickly reducing my anxiety and both obsessions and compulsions.i was very happy to finally find a med that worked for me.
Depression	55-64 Female  (Patient) 	3	3	2	Female	55-64	11/24/2010 8:31:03 AM	Serious dry mouth, constipation  -  went off med due to lack of saliva led to tooth rot at my lower gum line
Other	satisfied, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	4	4	Female	65-74	11/16/2010 10:42:40 PM	i've been taking anafrinal for 3 months and is is helping me overcome some of my ocd .  when i take a calcium and 2 potassium tablets with supper meal i don't have leg cramps or numbness in my leegs . also i am sleeping better now. i hope this information helps someone. i'm taking 25 mg. and may have to increase to 50 mg. according to my dr.to help more with the ocd. i'm so happy that this medicine  is helping me., 
Obsessive Compulsive Disorder	ocdgirl, 35-44 Female  on Treatment for 10 years or more (Patient) 	4	5	4	Female	35-44	8/19/2010 4:19:23 AM	When I first began taking Anafranil, I got really sick.  I stuck with it, and it is the only drug that helps me with my severe OCD.  The only side effect has been immense weight gain.  I never had a weight problem until I started taking this drug.
Anxious	19-24 Female  on Treatment for 1 to 6 months (Patient) 	4	3	2	Female	19-24	7/31/2010 12:11:44 PM	The medicine gave me the worst side affects at first. I was sweaty, shakey, I had a terrible dry mouth, and no appetite.( I lost 12 pounds on it.) I was on it for a month and even though the side effects were bad, my anxiety was tolerable, and the OCD was nearly gone. HOWEVER, by the third week, I was so depressed that I scared myself and took myself off of it, which made me so sick for a few days. I wouldn't take this ever again.
Depression	armybear, 45-54 Male  on Treatment for 10 years or more (Patient) 	4	4	4	Male	45-54	4/5/2010 12:13:37 PM	the only thing is since Ive taken this med is that Ive gained almost 100 lbs!!! I dont know if its from the meds or just me. I need help now for my weight!!! Can anyone help????
Obsessive Compulsive Disorder	StaceyAmber, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	25-34	3/8/2010 4:45:33 PM	I have a terrible time with counting and checking things and I have found this works great. I had to give it time to work. I have been on it for two months now and I am very happy. I have had some side effects i.e. sweating, weight gain about 15 lbs, and twitching, But I would rather sweat, twitch and be a little heavier than COUNT and CHECK everything in my house before I left. Give it time it works!!! You will feel better. Watch your eating habits and get exercise. Happy Journey!!
