&amp;quot;Change of Life&amp;quot; Signs	Carol, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	55-64	2/2/2012 6:43:08 PM	Cenestin works very well for me in every way,but the price seems excessively high.It was the only medication that gave me no side effects, and it gave me wonderful results. I actually felt better than normal.
Other	boo, 35-44 Female  on Treatment for 5 to less than 10 years (Patient) 	4	5	4	Female	35-44	1/25/2012 4:37:51 PM	
Other	Susie, 45-54 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	45-54	1/13/2012 9:36:55 PM	I had a hysterectomy 15 years ago and have been on Cenenstin since. I just recently stopped taking them,I was concerned about the length of time I have been on them and things have been horrible since I stopped, nite sweats,hot flashes,mood swings and NO desire. I'm ready to go back to taking them again. It worked wonders for me!
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	2	Female	55-64	12/30/2011 5:20:39 PM	It worked on my hot flashes within two weeks, after a few more weeks I began to have severe breast tenderness and trouble breathing.  Had to be tested for possible blood clot.  The test was negative but it still makes me nervous to think about continued use.
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	10/11/2011 10:58:58 PM	I started taking this the first day after my hysterectomy and have been on it for several years now and have never had any negative side effects nor have I ever experienced any menopausal symptoms.
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	4/13/2011 7:08:46 PM	
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	4/3/2011 2:49:00 PM	Most have not heard of Cenestin but it has worked great for me. Having had a hyst 7-8 yrs ago, I will fight you if you try to take me off. It has worked great and 'the change' is not anything I want to deal with now. I am 58 and so far...so good! We have to mail out meds into the insurance co...I pay the extra to be able to take them. I do not want to 'try' other brands...it works!!
&amp;quot;Change of Life&amp;quot; Signs	scruggs, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	2/28/2011 10:45:40 AM	It has worked extremely well for me, but the increase in the cost is going to make it difficult to continus use.
&amp;quot;Change of Life&amp;quot; Signs	Emmie, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	11/23/2010 5:37:04 PM	I have been taking cenestin for about ten years and have had great results. The times I have taken a break from using cenestin was very hard to deal with because of hot flashes, and sweating. It definately helps with post-menapause.It also helps with maintaing a healthy relation ship with my husband!
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	8/10/2010 4:54:11 PM	I  had a hysterectomy 8 years ago and been on this every since. I have had the hot flashes and night sweats taken care of. The only drawback for me is the really dark splotches on my face. I have freckles and this makes it worse. I have recently stopped taking it and the splotches have almost cleared up. I have been able so far to deal with the mood swings and hot flashes.
&amp;quot;Change of Life&amp;quot; Signs	jmklh, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	3/29/2010 8:32:03 PM	I have been taking Cenestin for several years and I have felt like a new person ever since. Mood swings, hot flashes and night sweats are gone. Intimacy has become improved considerably.
Other	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	3	4	2	Female	45-54	8/11/2009 5:07:33 AM	I had a hysterectomy and had to go on HRT because of the side effects. The Cenestin was great in keeping the emotions and hot flashes pretty much at a standstill, but I didn't know about the side effect of the dark brown spots that it would leave on my face. I now have to have a large spot, about the size of a quarter lasered because of the Cenestin. This does not happen with everyone, I just happen to be one of the unlucky ones. I've since changed to a different HRT and developed a dvt, so now I am no longer allowed to be on any HRT, so I have to deal with the emotions and hot flashes.
Other	Bobbie, 75 or over Female  on Treatment for 2 to less than 5 years (Patient) 	4	5	3	Female		4/27/2009 10:41:49 PM	Im under the impression it has caused meto gain weight. 
&amp;quot;Change of Life&amp;quot; Signs	Brandll, 45-54 Female  on Treatment for 5 to less than 10 years	5	5	5	Female	45-54	4/11/2009 1:43:47 PM	Had a hysterectomy 8 years ago been on this, worked great.Was off of it for a year.The hot flashes were ok to deal with after a while but the vaginal problems was getting bad, went back on cut pill in half.
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	3/17/2009 6:08:15 PM	I've taken Cenestin for several years and have been totally satisfied.  My symptoms have been controled and no side effects noted.  
&amp;quot;Change of Life&amp;quot; Signs	happytobeme, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	1/30/2009 2:08:26 PM	Have been taking cenestin for 6 years.  I've tried to wean myself off but the headaches and hot flashes were more than I could handle.  Back on it!
&amp;quot;Change of Life&amp;quot; Signs	65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	4	5	5	Female	65-74	12/10/2008 1:16:09 PM	
Other	becky, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	7/8/2008 11:55:25 PM	after my historectomy my dr put me on it and have had no adverse effects from it at all.
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	7/3/2008 1:22:55 PM	I have been taking Cenestin for six years along with prometrium. Eventually I would like to get off these meds, I'm not willing to deal with the awful symptoms I experienced without HRT. They have worked wonders. 
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	3/7/2008 8:13:58 AM	I have been on this med for 8 years with no side effects. very saatisfied
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 2 to less than 5 years	5	5	5	Female	55-64	2/19/2008 3:29:28 PM	I've been taking this medication for about 3 years and have been on hormone replacement treatment for 22 years.  I am also on prometrium. The combination has worked for me and I do not plan on getting off of the hormones any time soon.  For me...they have worked.  
&amp;quot;Change of Life&amp;quot; Signs	35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	35-44	12/3/2007 7:43:48 AM	
&amp;quot;Change of Life&amp;quot; Signs	 Female 	5	5	5	Female		11/25/2007 11:27:45 PM	
