Severe Difficult to Treat Nodular Acne	Bryce, 19-24 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	19-24	9/17/2012 1:56:20 PM	this medication is the best thing that's ever happened to me.
Severe Difficult to Treat Nodular Acne	HF_7, 19-24 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	19-24	8/1/2012 12:02:53 AM	I have been on this medication for a week today. I have had acne since 7th grade. Although it isn't deep nodular acne, small bumps cover my face. I can't remember the last time my face was actually smooth. I've been on every medication (ProActive, Murad, Minocycline, Doxycycline, Nelson's Pure and Clear, Differin, Epiduo, Tazorac, Benzoyl Peroxide) in every form (pill, wash, scrubs, creams) but nothing has cleared my skin. I'm entering my sophomore year of college and I want to be able to wake up and not worry about putting foundation on to cover up my acne/blemishes before anybody sees me each day. As far as makeup goes, I've been using Clinque Acne Solutions as a liquid foundation then apply Bare Minerals as a powder. My face is naturally really oily so I tried to steer clear of liquid foundations but the worse my face got, the more I needed liquid to cover up. After a week of Claravis (60 mg/day), my skin is very dry and peeling. I have not experienced any other symptoms so far. I have been applying Curel to my face at night. Curel is what I have always used and tends to not be as greasy. My mom was terrified for me to go on this drug due to the warnings and extreme symptoms it has caused but so far, so good. I'm very excited about seeing the progress in the future.
Severe Difficult to Treat Nodular Acne	Simone, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	4	3	4	Female	19-24	7/25/2012 9:49:27 AM	I have been suffering from acne for 12 years. Tried proactive, murad,everything over the counter, retin a,differen, benzaclin, spironolactone, tetra/mino/doxycycline,and even birth control. NOTHING worked. I decided to finally give Claravis a shot b/c my self esteem couldnt handle it anymore. The 1st month I started at 40mg and saw an amazing difference but with severe side effects(lips so dry they would crack and bleed)which I soon learned to control with increasing my daily water intake and Aquaphor. 2nd month, I was taking 30mg in the morning and at night, my acne came roraring back for about 3 weeks and then cleared up and only left behind FOUR pimples. I have been on this dosage for another month now and my skin feels SMOOTH. I am satisfied at this point but I do breakout a little around my period;it goes away very quickly. I should be on it for another 3 months and be completely clear by then.The med is also making the scars go fade away quickly. I have 2 issues with the med,1,it makes me wake up sometimes more than once to use the bathroom throughout the night and 2,I have developed mild eczema on my hands and arms, which my doctor gave me some cream for. If you have any questions about what type of moisturizer or makeup I use, or anything else please email me at simoneta6@live.com
Severe Difficult to Treat Nodular Acne	13-18 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	13-18	6/26/2012 3:55:11 PM	I just finished my Clavaris today. My acne before taking this was awful, I had cysts, blackheads, whiteheads, just about everything. Each month was a different dosage for me. It ranged between 40-60mg each month. While on Clarvais, I had the usual dryness, but I used aquaphor and cetaphil, it really helped! I also had bad lower back and hip pain, and I did not have a menstrual cycle AT ALL while on this. The first month and a half, I did have pretty bad break outs, but they started to clear up by the second and third month. Now, after 5 months of being on Clavaris, I am now looking at acne-free skin for the first time in years. I am so happy with the results! It can come with some harsh side effects, but it was worth it in the end. 
Severe Difficult to Treat Nodular Acne	29, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	5	4	Female	25-34	6/24/2012 11:48:04 AM	Day 55 - mostly clear with only a few new blemishes, dry puffy lips, dryer skin.  No mood changes, no soreness or aches as a result of Claravis.  Dry patches on arms have shown up.  (105 lbs. taking 40mg once per day.)
Psoriasis	jase 7121, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	65-74	6/12/2012 12:26:21 PM	my concern eye irritation and hair loss. it has helped my skin.
Severe Difficult to Treat Nodular Acne	ContinuedFromBelow1, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	25-34	6/6/2012 12:06:38 PM	Day 16,  I no longer have the sunburn sensation and my face isnt as red (my face looks like Ive been in the sun, but not sunburned).  My hair is still not oily and Ive found that I have to condition it at least every other day to keep moisture in it.  Best of all: Vaseline has worked wonders on my chapped lips.  Ive read that some users are buying over-the-counter strength lip balms, but Vaseline is cheap and honestly does the trick  my lips dont feel as numb nor do I have chunks of skin peeling off them every 5 minutes.   They sell a tiny plasic jar (about 1 inch by 1 inch), so you can take it everywhere with you an apply as needed...like every 20 minutes.Also, I recommend Cetaphil lotion for the dry skin.  It truly lasts a really long time and doesnt cause you to break out (which amazes me because I have never been able to apply any kind of moisturizer or lotion to my face because it clogs my pores).  The problem I have, though, is that it makes your face shiny.  I have been applying it at night to cut down on the drying, peeling skin that happens over night.  I apply it to my dry problem areas in the morning, but not to my entire face.   I then cover it with a powder made by Clinque that hides the redness.  It works.  Im female, but I bet a guy can use it too without anyone detecting he is wearing concealer.  It will give your skin a matte finish after you apply the lotion to your face.  Clinque is expensive (about $35 for the powder), but I bet Target or similar stores carry a yellow-based powder that cancels out the redness.  I had to stop using my Clinque liquid concealer made for acne sufferers because the combination of the makeup and the drug was causing a burning sensation from drying out my skin even more.
Severe Difficult to Treat Nodular Acne	Pwntheth, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	25-34	6/5/2012 3:07:34 PM	I have been on Claravis for 16 days now (60mg dosage per day).  Although I haven't been on the drug very long, I can already see results.  The first 5 days, nothing physically changed.  But as I reached Days 6 through 13, my side-effects were terrible.  First came the chapped lips.  If youre about to start this drug, be warned.  Its horrible.  They were chapped to the extent that I was trying every imaginable product sold by Target, and re-applying the balm every 5 minutes).  That same day I started having dry flakey skin on my face that would re-appear within 30 minutes after having just cleared it.  The next day (as the first 2 symtoms continued), I had a TERRiBLE sensation that my face was sunburned, especially my forehead.  I was also very red, despite not being outdoors for long periods of time.  Other minor side-effects are itchiness and dry eyes, but I havent had to use any additional lotions or eyedrops as it hasnt become annoying yet.My face did break out more than usual, but its only been like that for about a week and its starting to clear.  The sunburn sensation lasted about 5 days.  Within 10 days, though, the most amazing side-effect took place: non-greasy hair for the first time in my life.  I typically have to wash my hair every day, sometimes twice.  The other day, I woke up, went to get ready for my shower, looked in the mirror and realized, I dont have to wash my hair, it looks the same as it did yesterday  not oily at all! (although, I still took a shower because who wants to have beautiful hair yet stink like a pig?)  
Severe Difficult to Treat Nodular Acne	25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	5	4	Female	25-34	6/2/2012 10:49:35 PM	I'm a 28 yr. old female, and I weigh approximately 105 lbs. After several sporadic breakouts and then persistent daily breakouts, and at an odd age to have it too, I requested Accutane when nothing else seemed to work. (I'd tried Differin, Klaron, birth control, masks, Retin-A Micro, Pro Activ, Clarasonic, ... If I'd known Accutane (Claravis) worked so well with relatively few side effects, I'd definitely have insisted on it years before.) I was prescribed 20mg once daily for the first month and saw an improvement within the first week. By the month's end, my skin is clear - for the most part. I'll soon be taking 40mg once daily. Slathering layers of cream on at night help to counter the dryness. 
Severe Difficult to Treat Nodular Acne	ang28, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	2	4	Female	25-34	5/25/2012 1:09:09 PM	I am on the third month started out taking 30mg twice daily 145lbs.  lips are horribly dry i use neosporin oint and gloss rash on my hands and wrist, ACHE EVERYDAY and that is the hardest thing for me to push through just keep moving. More sensitive to the sun burn quickly i got 100 spf works great. I have never been so TIRED, headaches once in awhile take aleve i was fine. I get angered easier now but nothing to be conserned with just edgy at times. I have 0 pimples i haven't had a breakout since the last part of the first month i absolutely love it just hate the side effects i am pushing through it because when treatment is done it will subside and get better. i have been living in shame for 12 years so 6 months is nothing to me i am living with the pain so i can enjoy my life and start working on self esteem. Acne is no longer an issue its up to you to decide how bad you want it. 
