Prevent Blood Clot with Fast Irregular Heart Rate	mlkirkl, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	8/26/2012 3:27:54 PM	I was in the hospital on a heparin IV for a blood clot. They sent me home with Coumadin to help dissolve it. I had to quit taking it because my period was unbearable. I was passing clots every 10 minutes and the bleeding was horrendous. I am not willing to go through this for 6 months. There has to be something else out there. I ended up feeling very weak, dizzy, and tired. I will never take this medicine again.
Blood Clot	Jessica Lynne, 25-34 Female  on Treatment for 10 years or more (Patient) 	5	2	4	Female	25-34	8/7/2012 10:38:13 AM	I've been taking coumadin since I was 16, when doctors told me I would be on it for life. At first it was the end of my world. I had a disease at 16 years old. I had to wear those awful circulation stockings, which I always took off once I got to school. I hated it! I am 26 now and I'm still on the meds. The coumidin works. I'm the proof. I'm alive. I would skip it for a week or days or accidentally take it twice in 1 day.. All when I was younger, of course. I have had no side effects since I've been taking it. NONE! Except bleeding a little longer than normal, but it's a blood thinner. That's to be expected. I don't take the pill on the EXACT time everyday. I take it around bed time each night. Between 9pm and 11pm. My INR, which I go once a month is always around 2.5. I have been therapeutic for over 4 months. I eat all the green leafy vegetables that I want! I can't have cranberry pills or too much cranberry juice. Because of the blood thinner and now also anemic. I take iron supplements once a day! I will be on this drug for life. My only regret is that at my young age my thirst for adventure is cut short because of this drug. I have to be careful and I hate that. Plus, I'm an accident waiting to happen, as my mother says. I cut my self all the time. I bruise all the time! I'm still here. No internal bleeding, no clots. It's no the end of the world to be on this. 
Other	GGC-FLA, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	3	1	Female	45-54	8/7/2012 5:29:48 AM	I had a total left hip replacement &amp; was put on 5mg coumadin when I was released from the hospital. I had to set alarm to take it at 5pm every day because I would forget. It made my joints &amp; muscles achy and changed my personality. My husband said I was snapping at him and that isn't my nature at all. My gums bled terribly &amp; my taste buds were way off. Nothing I ate tasted right. My taste buds were a real eye opener because I had quit smoking &amp; everything tasted better until I took the coumadin. I stopped taking it my 4th week because it NEVER got regulated (and never would have-I believe) and I felt I didn't need it as I was up and very active to prevent any type of blod clots anyhow. I haven't had any issues since stopping it. Food tastes great, bleeeding gums resided and achy joints gone and aint snapping at my husband. I have to have my right hip replaced in a couple months and I will NOT be taking coumadin again. My doctor will have to find something else for me. 
Other	Hocumsurvivor, 65-74 Female  on Treatment for 5 to less than 10 years (Patient) 	4	3	4	Female	65-74	8/5/2012 8:40:06 PM	I took this drug for 7 years for Atrial Fibrillation. It did not affect my quality of life. You can eat greens, as long as you always eat greens, so they can set the dosage accordingly. Eight months ago I had open heart surgery at the Minnesota Mayo Clinic for Hypertropic Obstructive Cardiomyopathy and while there were in there, I asked them to do the Afib ablation. I have not had Afib since then, so I am off of almost all heart meds.Coumadin does work. Sometimes it may go off in one direction or the other, but you are so carefully monitored, those situations are easily handled. No side effects from coumadin for me.
Blood Clot	45-54 Female 	3	3	3	Female	45-54	7/26/2012 7:09:52 PM	
Severe Heart Failure	rich, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	3	5	3	Male	35-44	7/17/2012 9:48:08 PM	going to doctor every two days to get finger poke and sudden hair loss and so tired all the time
Prevention for a Blood Clot going to the Brain	fred, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Male	65-74	7/17/2012 9:45:25 PM	when I dont take the warfrin my pt is high for me it keeps my blood thin.
Prevent Blood Clot with Fast Irregular Heart Rate	wolf, 45-54 Male  on Treatment for 10 years or more (Patient) 	4	3	5	Male	45-54	7/2/2012 9:07:36 AM	
Heart Failure with Paroxysmal Atrial Fibrillation	Review Coumadin, 75 or over Female  on Treatment for 6 months to less than 1 year	1	1	1	Female		6/27/2012 11:14:03 AM	My wife was on Atenolol for an extended period.I was surprised as to all the side effects it can cause. In Dec.2010 She slipped and fell hitting her head &amp; was taken to emergency. No serous injury was found,however,they discovered that she had a slight stroke and how long ago wasn't known.Months later The decision was to put her on COUMADIN, since she also was found to have a rapid heartbeat and later diagnosed as AFIB. . Controlling the dose of COUMADIN was difficult/ very erratic.I researched AFIB &amp; antenolol.I found that long term use of Antnolol can lead to severe damage to the atrium valve of the heart &amp; Fragmenting/ weakening of the arteries. My wife was doing fine until she was put on Coumadin. She had a severe stroke caused by a blood vessel bleeding in the brain and was rushed to emergency.Nothing could be done since the bleeding caused severe damage to her brain. she went into a coma within two and four days later she passed away.The doctors were more concerned about her having a heart attack by blood clotting. However , my question is would she had a better chance to survive without Coumadin causing difficulty in controlling /stopping the bleeding? As I said she was doing fine until she was put on Coumadin. In less than six months on coumadin is now deceased.?? I am telling this because I believe she would of had a better chance of survival without COUMADIN. It also should be known to patients taking Atenolol of the long term use &amp; the  damage it can cause as stated in a research done.       
Blood Clot	 Female  on Treatment for 1 to 6 months (Patient) 	3	3	1	Female		6/6/2012 12:41:41 PM	VERY TIRED AND CANNOT GET THE RIGHT NUMBERS FROM THE BLOODWORK
Treatment to Prevent a Blood Clot in the Lung	scottrbennett, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Male	45-54	6/6/2012 10:46:53 AM	
Blood Clot in a Deep Vein	Bud, 55-64 Male  on Treatment for 10 years or more (Patient) 	5	5	5	Male	55-64	6/5/2012 3:42:18 PM	I had DVT in my right leg in 1995. Took Warfarin for a couple of years then quit. Got another DVT in the same leg now I'm on it for life. I haven't had any issues except that I have to watch out for the green veggies and take it easy with them. I can't take ibupofin or asprin but I'm a MMJ patient and the cannabis works great with no side effects. People living where it's legal that take warfarin should consider marijuana for pain applications when you can't take over the counter NSAID's. Weed doesn't change my IRN levels either.
Heart Failure with Paroxysmal Atrial Fibrillation	Catherine Jackson, 75 or over Female  on Treatment for 6 months to less than 1 year (Patient) 	4	4	2	Female		6/5/2012 12:12:42 AM	
Blood Clot	Pacer, 65-74 Male  on Treatment for less than 1 month (Patient) 	4	3	3	Male	65-74	5/14/2012 3:56:24 PM	I'm having shortness of breath. Sometimes more severe, but usually can catch my breath after several minutes.  Is any one having a breathing problem while taking coumadin?
