&amp;quot;Change of Life&amp;quot; Signs	had it with femring, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	55-64	9/13/2012 2:55:27 PM	sever stomach pain with  sever vaginal itching and burning...sent me to er x2 with symptoms of speech problem to racing heart came out of my body black in color!! I was toxic for several months on medicals still. 
&amp;quot;Change of Life&amp;quot; Signs	Brenda, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	2	2	2	Female	55-64	6/17/2012 8:15:36 AM	When I first used the ring, the vaginal atrophy disappeared and sexual intercourse became pleasurable again.  the ring was uncomfortable, though.  it felt too big and pressed on my bladder giving me the feeling of needing to urinate all the time. Those feelings got better but still I was always aware that the ring was there, slightly uncomfortable. After Inserting the second ring, I started having bleeding after sexual intercourse and had a very disturbing discharge. I finally went to the doctor and was given clindamycin to treat a vaginal bacterial infection.  I was told that the Femring had caused erosion in my vaginal wall and it was removed immediately.  the dosage was too high for me and the ring was too big for me....   I have been given vaginal cream now to help with the dryness.  hopefully, this works.   I loved that the Femring gave me sexual pleasure again but understand that every person is different and in the end, it did not work for me. 
Other	pilotmom2011, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	55-64	2/20/2012 2:53:21 PM	I had a partial hysterectomy at 35 and then my ovaries removed 4 years later.  I tried everything but until I discovered the Femring, there were no answers!  I had hot flashes, dry vagina (sex was miserable) and I always felt &quot;off.&quot;  Once I discovered the Femring and started using it, everything changed.  No more hot flashes, sex is incredibly fun again...I'm 55 years old and I have the sex drive I had at 25.  I am thrilled with the results; I have an active sex life; my boyfriend says that he can feel the ring occasionally but never enough to bother him and I never know it's in, except that intercourse is never uncomfortable anymore!  Greatest thing ever invented!
&amp;quot;Change of Life&amp;quot; Signs	artglassqueen, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	55-64	10/19/2011 11:27:06 AM	I have used t his to counter vaginal atrophy. Although I am 64 my husband and I still enjoy sexual activity. The Femring has enabled my vagina to regain the natural lubrication necessary for painless intercourse,
Vaginal Inflammation due to Loss of Hormone Stimulation	45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	8/26/2011 1:23:11 PM	
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	3	Female	45-54	2/6/2011 1:28:37 AM	I tried low-dose patches but they always fell off.  I have been on Femring 0.5 mg. for 4 months.  I just removed the Femring because I am breaking out all over my chin and feel very nervous - almost, but not quite like drinking too much coffee.  I think I'll go back to the lowest strength patch and figure out some way to keep it from falling off.
Vaginal Inflammation due to Loss of Hormone Stimulation	bturner1108, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	2/2/2011 1:26:25 PM	 My experience with Femring has been very effective and satisfying because it has really work for me. It has helped with my vagnial dryness and it has worked wonders for the my hot flashes. I really like using the Femring Treatment.
Vaginal Inflammation due to Loss of Hormone Stimulation	Wanda, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	1	Female	45-54	2/1/2011 3:45:13 PM	I am 54 years old; I have been using fem-ring for more than two years -- prescribed 0.5 mg -- changed ring every three months. This past month, I developed intermittent abdominal, low back, and side pain with occasional vaginal discharge; escalated into chronic abdominal pain with fever, chills, nausea, and skin rash, with constant discharge. I removed and discarded the fem ring. Pain, fever, and chills quickly subsided; discharge decreased. White blood cell count had escalated. Apparently, my body was rejecting the ring as it was trying to embed itself. My gynecologist has prescribed an antibiotic suppository treatment for infection. It has been four days since I removed the ring; I have been on the antiobiotic for only one night, and have not experienced the low back, side, and abdominal pain as before removing it.
Other	Shelsbud, 35-44 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	35-44	1/24/2011 4:16:28 PM	
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	4	Female	45-54	12/12/2010 5:42:03 AM	Started on the Femring in late October after a Total Abdominal Hysterectomy-Bilateral Salpingo-Oopherectomy the previous month.  Within days my hot flashes disappeared. It took about three weeks for the depression to go away. It's been relatively easy to use but don't have anything to compare it to since it's my first experience with HRT. There have been a couple of occasions when I was constipated and strained bowl movements caused the ring to almost slip out. (I now always check before flushing.)Frequent external vaginal yeast infections have been uncomfortable but I didn't link it to the ring until just recently; the informational sheet provided by the pharmacy lists it as a possible side effect.  A replacement ring is due in a few days and I'll be tracking the frequency of my yeast infections.  The infections seem to happen every couple of weeks and are controlled with external over-the-counter yeast infection treatments.
