Attention Deficit Disorder with Hyperactivity	dkeepper, 7-12 Male  on Treatment for 1 to less than 2 years (Caregiver) 	3	5	3	Male	7-12	9/5/2012 9:07:35 PM	This worked for several months but than it no longer lasted the entire day (regardless of how many times we raised the dose). The suppressed appetite was extreme. My son would not eat anything for atleast 8 hours after taking the meds. Also my son talked uncomfortable slow while on this medication.
Attention Deficit Disorder with Hyperactivity		4	4	4			7/27/2012 12:10:34 PM	
Attention Deficit Disorder with Hyperactivity	LA-ADHD, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	1	2	Female	35-44	6/30/2012 11:58:18 AM	Last year I was prescribed Concerta for ADHD, the constant mental state I've been in since childhood (I'm 40). Over the years, I adapted to the scatter-brained, distracted feeling of ADHD -- don't like it but I've used it productively, successfully (juggling lots of work and activity at once). The more destructive symptom of ADHD is the constant chasing a rush (of dopamine) and the anxiety and depression that follows when rush is over.Taking the meds doesn't help me focus as much as give me a euphoric high, it is speed after all. I feel like I'm on a smaller dose of a street drug like speed or cocaine. Can't imagine giving it to kids. 
Attention Deficit Disorder with Hyperactivity	3-6 Male  on Treatment for less than 1 month (Caregiver) 	2	4	2	Male	3-6	6/15/2012 8:54:38 PM	My 5 yr old son was just diagnosed with ADHD and this is his first drug he has been on. So far not sure how it is working. He is on the 5mg and I have to mix it into apple sauce since he can't swallow the capsule. The first day on it I thought it was working because I took him to a local fair and he was awesome. But that may have been because he was having fun riding rides. No different at summer camp that his teachers have said. Still having a few melt downs and being physical with peers. Going to give it one more week to see if it works.
Attention Deficit Disorder with Hyperactivity	7-12 Male  on Treatment for 5 to less than 10 years (Patient) 	2	4	1	Male	7-12	6/13/2012 1:30:08 PM	I don't think this drug really works for me.
Attention Deficit Disorder with Hyperactivity	angelface, 25-34 Female  (Caregiver) 	3	3	3	Female	25-34	6/12/2012 10:23:26 PM	i am a caregiver for focalin and am wondering how long until it fully takes effect .. it seems to be helping but seems to take a while to become effect ..
Attention Deficit Disorder with Hyperactivity	noemi, 7-12 Male  on Treatment for 1 to 6 months (Caregiver) 	4	4	4	Male	7-12	6/6/2012 1:07:03 PM	I started Sam on the focalin xr 10 mg he is now on 15mg. he started the 2nd week April so he has been on it 7 weeks.  I like this medicine but he has been complaining about stomach pain,soft stool and blurred vision. He also is a bit agitated for about 40 mint when it wears off and then he is hyper for about 2 or 3 hr I send him to play basketball during that time. But I think I am going to wait it out a few more weeks and see if the symptoms go away..My main concern is the blurred vision.
Attention Deficit Disorder with Hyperactivity	13-18 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Male	13-18	5/13/2012 12:38:51 PM	I was diagnosed with ADHD in 3rd grade. Before then I did poorly in school and had no ability  to focus. After I started taking Concerta my school performance increased. However, Concerta had very severe side effects. Quite often I would forget to eat some days because I did not feel hungry although I should have been. I switched to Focalin XR a few years ago (currently at a 40mg dose, combined with 5mg-10mg of short acting depending on the day) the school performance has still been great but now I do not experience the same level of side effects. I noticed that someone asked if when taking the medication you experience nausea. Yes, if you have nothing on your stomach you will experience severe nausea and stomach pain for about 1-2 minutes when the medication is kicking in. One other thing to note, my hands and feat sweat an abnormal amount when I am on the medication. But other than that, I am currently in all honors and AP classes and have a 4.5 gpa. I would not have this without the medication. The benefits outweigh the downsides in my mind. I would recommend it to anyone struggling with ADHD.
Attention Deficit Disorder with Hyperactivity	Desperate Parent, 35-44 Female  on Treatment for less than 1 month (Caregiver) 	2	3	2	Female	35-44	5/12/2012 3:58:33 PM	My six year old son has recently been diagnosed with ADHD. For the past six months he's not had one good day at school. The Dr. prescribed 5mg a day. The first day I saw a different child. We spent two hours in a waiting room and he sat quietly reading and playing his PSP. About six hours after the first dose, he complained of being very hot, so hot that he was going to vomit. After I made him more comfortable, he immediately came down with a migraine. Day 2 he crashed out only after a couple of hours and had increased anxiety. Scared of natural disasters and he made the comment that he did not feel safe with me. He felt as though I was going to leave him. He was very paranoid and scared to death of everything. I'm not giving him the meds on the weekend. I plan to try again on Monday and if he still has issues, I will contact the doctor to try a different medication. Anyone have any suggestions?
Other	13-18 Male  on Treatment for 2 to less than 5 years (Patient) 	4	5	3	Male	13-18	5/3/2012 5:39:15 PM	Don't give it to anyone younger than 7th grade, they WILL be suicidal. I promise you that. After then it works fine. at a low dose, i am fine. when the meds dose was 10mg i was an emotionless zombie. 5mg is fine. My ADD is almost gone now.
