Cancer of the Ovary	mom2cozmoe, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	4	3	Female	55-64	9/25/2012 1:31:51 PM	Have been fighting Ovarian Cancer for 3 years.  Have lymph node involvement since 2010.  Flare up after only 2 months post 6 infusions of carboplatin/taxol.  Only had two treatments in 2 months because of the neutrapenia.  This is my third round of chemo and all three have cause different side effects.  Hoping this works but the nausea all the time is almost too much.  Have lost 20 pounds since August 1st.   The doctor says I may be on Gemzar for the rest of my life.
Breast Cancer that has Spread to Another Part of the Body	majjers, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	3	Female	45-54	9/24/2012 1:01:49 PM	Gemzar/Carbo combination for 3Neg Br Ca mets to lungs. Worked great but too hard on my platelets. Took a 3 month break, have progression but can't go back onto this regimen. Tolerated it very well, no problems other than the platelet count. No Neulasta shots given.
Breast Cancer that has Spread to Another Part of the Body	Pitter Pat, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	2	2	Female	55-64	8/29/2012 9:13:37 AM	I've only had 2 doses so far.  The first time I experienced severe headache and nausea related to the head pain.  I was not given anything to boost my white cell production, so they could see how I would react. My white cell count dropped so low that I was hospitalized for 3 days. It took 4 weeks for my neutrophil absolute count to get above 1.5 to be able to get the 2nd dose.  The 2 dose was given with a Neulasta injection immediately following the infusion.  I started with a headache within 24 hour.  The pain included my eyes, bones of my face, my head and neck,  A nurse on my care team told me it sounds like a migraine.  It lasted, non stop for 5 days.  Today I am pain and symptom free. It is 6 days since my treatment.  It is too soon to know if it is working or if these symptoms will continue.  I intend to try it for 3 months before deciding if it is worth the pain.  My plan of treatment is to receive Gemzar every other week, since I reacted too severely to receive it 3 weeks in a row, then one week off as originally planned. 
Non-Small Cell Lung Cancer	lora, 55-64 on Treatment for 1 to 6 months (Caregiver) 	3	2	2		55-64	4/24/2012 1:14:12 AM	I think my mother is alergic to this drug. tumor got smaller but still has high activity. After treatments she has very bad sob, weak, panic from no air.Has taken antibiotics and prednizone for the breathing to no avail so I think she is reacting to the gemzar in a negative manner.
Non-Small Cell Lung Cancer	guidepost, 65-74 Male  on Treatment for 1 to 6 months (Caregiver) 	4	4	4	Male	65-74	1/6/2012 12:21:24 PM	my husband has been taking this for 3 months and his last ct scan showed a decease in size of the tumor.  He does not get any side effects and is tolerating it very well so far.  He has been on several chemo drugs and I hope this will get the cancer under control.
Non-Small Cell Lung Cancer	45-54 Female  on Treatment for less than 1 month (Patient) 	3	3	3	Female	45-54	6/22/2011 5:07:16 PM	
Cancer of the Pancreas	Mt Olive BC, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	1	5	4	Female	65-74	9/24/2010 1:54:33 PM	Have been on Gemzar for 1 year; tumor has shrunk and remained stable. Have has no nausea or side effects except for occassional low white or red blood counts. I get one shot and am ready to go next time.I take G. for 3 weeks on &amp; 1 week off. Get a CT scan every 3 months; also my CA19-9 level has came way down and I feel so much better than before starting chemo. Have even gained back my weight but appetite is good so I'm not ready to diet yet. Tumor was too close to celiac artery for surgery so don't know what's down the road as far as surgery goes. Energy level isn't quite as high as it used to be but it's pretty good. I give all the glory to God and the prayers on my behalf, that Gemzar has given me another year of life. My oncologist thought I was dying a year ago, but he's very caring and knowledgeable.  
Non-Small Cell Lung Cancer	 Male  on Treatment for 1 to 6 months (Patient) 	4	4	3	Male		9/11/2010 1:25:36 PM	I have experienced severe swelling of the knees and sometimes ankles, two days after treatment, lasting about three days.  Very dibilitating and can,t walk.  Does anyone else experirence this.  I do have gout but uloric keeps it under control except when I receive treatment.
Cancer of the Pancreas	david, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	3	3	2	Male	65-74	2/7/2010 3:25:22 PM	I've been on Gemsar for about 3 months receiving is through intervenious once a week.  Several times I had to skip the treatment in view of low blood counts and platlets.  Had to go for transfusions and then the procedure could be done.  N0 other side affects,except dirrehea,poor appetite, and cramps.  I hope it all works out for me. 
Non-Small Cell Lung Cancer	mtridley, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	3	3	3	Male	65-74	1/31/2010 12:21:01 PM	Working well with me.  No problems so far. Overall I am satisfied with this medicine
