Bipolar I Disorder with Most Recent Episode Mixed	steele, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	45-54	10/1/2012 5:24:33 AM	This is the absolute worst medication I have ever been prescribed.  I have every  side effect in the book and I've only been on it for two weeks. Gained five pounds in two weeks!  Stopped taking it and went back to the Abilify (which I initially stopped because, over time, it was causing gradual weight gain.) Actually, I took two Abilify when I stopped the Geodon.   Felt less ANGRY, but still haven't slept in two days and I CANNOT get rid of this constant headache.  When I was on it, the fatigue at work actually caused me to fall asleep on my break and miss a meeting (I'm a TEACHER!) Not good.  Started taking it at night instead.  Had the worst indigestion I've ever had.  Like my solar plexus area was on fire to the point that I almost threw up.  Belching, pressure, constipation, crying, DRY MOUTH, peeing every 20 minutes, rash and hives.  THIS STUFF SHOULD NOT BE ON THE MARKET.  It is absolute poison.  Abilify was the greatest thing ever for me, other than the weight gain.  Got to figure out how to overcome that- hopefully with more exercise and less food, because I'm going back to it.  Hope I get some sleep soon.  How long are these withdrawal symptoms going to last after only two weeks on the meds I wonder?
Schizophrenia	pinkcottoncandy, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	55-64	9/27/2012 5:05:15 PM	Unless They make something better, this is the drug for me so I don't hear voices.
Bipolar Depression	butta_flygurl84, 25-34 Female  on Treatment for 5 to less than 10 years (Patient) 	1	1	1	Female	25-34	9/22/2012 11:41:22 PM	I used Geodon for 5-6 years, and I hope this drug is taken off the market completely! It is dangerous! I find that doctors give this medication out too frequently to people who do not have the correct symptoms for needing the drug. I had serious side effects including severe tremors, night sweats, tardiv dyskinesia, hallucinations, and irregular heartbeat. It was a nightmare. I did not in fact need this drug. I immediately asked to be taken off, the doctors refused. I hope this drug is looked into more and problems fixed for the patients sake. People suffering mental problems like schizophrenia and bipolar disorder deal with enough heartache that they cannot help! And after 13 years of suffering, I was reevaluated as an adult, I am NOT bipolar at all.    
Bipolar Depression	Gee-ma, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	55-64	9/6/2012 2:15:35 PM	I've been on many meds for depression and bipolar but this was the WORST for side effects. Nausea,terrible insomnia,decreased urination, constipation, sweating,edema of legs and hands, and blood sugar up 100 points. Could not reach my Dr so stopped it after only 3 days. This was POISON for me. AWful, awful. Too bad it did lift my spirits a bit but side effects WAY not worth it!!!!!!
Bipolar Depression	WhisperSofly, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	4	5	Female	45-54	9/6/2012 1:45:58 PM	so far great results ...lately very &quot;off&quot; so an increase was given from 160 to 180.  All in all has helped me.
Bipolar Depression	tayterbuhg, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	3	5	Male	45-54	9/4/2012 1:44:40 AM	I am bipolar male.  I have been on various drugs for 4 years.  Before I started taking geodon, I was a zombie.  At first, I had moreenergy than I had in years, better concentration, much less depression and manic episodes, and good sleep.  I missed one day and had TERRIBLE WITHDRAW symptoms.(Brain Zaps, chills, and sweating.) Started at 40mg a day.  Upped to 120 mg a day.(80 at night). It has been weight neutral for me.  I have slight dry mouth when taking geodon.  Make sure you carry the medicine with you at first.  Brain Zaps start affecting me after about 10 hours between doses. Dr. may have to up dose again.   I still think it is a miracle drug for me at this juncture.....  
Schizophrenia	45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	8/28/2012 12:25:08 PM	since taking geadon my symtoms have decrese.
Bipolar I Disorder with Most Recent Episode Mixed	BAMAJCI, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	3	5	3	Male	35-44	8/25/2012 1:25:37 AM	GEODON HAS BEEN A GOOD DRUG. HOWEVER , IT IS IMPORTANT TO MAKE SURE YOUR HEART IS TOLERATING THIS MEDICINE AS IT CAN BE EXTREMELY DANGEROUS. KEEP UP WITH YOUR DOCTORS TAKE AN E.K.G. IF POSSIBLE. I TOLERATE MUCH BETTER AFTER TAKING A LOWER DOSE. A GOOD DRUG. BE CAREFUL.
Other	ldlkmrwdt3, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	25-34	8/23/2012 9:40:42 AM	I began taking Geodon after I was misdiagnosed as Bipolar &amp; was on this for between 6-8 months. The side effects were horrible! If I went even an hour without my dose, I would be getting what I was then describing to my doctor as &quot;Volts of electricity running through my brain&quot; I see now on here for this &amp; other similar meds, people are calling them brain zaps. My doctor said that this was not an actual side effect of the drug &amp; that it was literally &quot;All in my head&quot; The only reason he willingly took me off of this medication despite my pleas, was because my face had begun to freeze in one position. I looked as if I'd had a stroke &amp; it took almost 6 months of being off of the Geodon before I was able to move all of the muscles in my face again. Coming off from this was terrible because of these &quot;Brain Zaps&quot; I did not know what was going on half of the time (constantly in a dazed state) &amp; was a single mother of 2 children at the time. I am so thankful that my mother was living with us at the time to help with the kids while I dealt with all of these side effects &amp; withdrawals. If you have a choice to take any other medication but this one, my advice would be not to take the Geodon!
Bipolar I Disorder with Most Recent Episode Mixed	big red, 35-44 Male  on Treatment for less than 1 month (Patient) 	3	3	1	Male	35-44	8/7/2012 7:06:00 AM	it made me dizzy and have blisters on my tongue and also increased abdominal pain
Bipolar Depression	abretok, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	2	5	2	Male	45-54	7/26/2012 8:50:45 PM	I have been on Geodon for 4 months and just recently I have been extremely nervous and depressed. I'm on 40 in the morning and 80 at night. Saw the Doc today and he added Lithium. I'm in fear of losing my job because of the depression (crying and anxiety). I can't stop because the withdrawals are horrendous. I guess I'll wait it out and see if things get better.
