Schizophrenia With Mood Changes	amanda, 25-34 Female  on Treatment for 1 to 6 months (Caregiver) 	4	4	4	Female	25-34	7/12/2012 1:14:38 AM	My mother just started taking this after being on countless medications for years that didn't work. She's been in a mental hospital for 7 years. Doc put her on Invega and I feel like we finally got our mom back! She thinks clearly, has no delusions nor hallucinations. AMAZING. So amazing I could cry.
Bipolar Disorder in Remission		1	5	1			7/6/2012 7:44:52 PM	
Bipolar I Disorder with Most Recent Episode Mixed	Cafe, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Male	45-54	7/3/2012 2:40:02 PM	Wisconsin guy, I too have bipolar 1. I use to have hallucinations and loose touch with reality. With in three days after taking my frist Invega 12mg+3mgs tablets at one time per day.I knew I was on my journey home.   
Schizophrenia	45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Male	45-54	6/25/2012 11:50:34 PM	i have been on invega injection for a year. the ease of once a month injections is fantastic. also it is a cleaner drug. the medicine is designed to bypass your liver function. a lifesaver i believe for many people.
Bipolar Depression	flower, 35-44 Female  on Treatment for 1 to 6 months (Patient) 	4	3	2	Female	35-44	5/22/2012 12:41:46 AM	Invaga worked for me the first two months  Then just recently I gained weight in my abdomen area real fast and am suffering other side effets. They are extreme fatigue, feeling anxious,very worried,depressed, numbness in hands and feet, sore muscles, blurry vision and frequent urination. I am not sure why this has occured. I am going through a really hard time also. My father is not feeling good at times and I get so upset cause he is very important to me. Also my hus band says he will be leaving me to go home to his country which will leave me in charge of finances and a new place to live. They say stress can cause depression. I am seeking the help of my psychologist and my aunts,Dad,cousins,Uncle and my sister.  I think also my sleep schedule is off. I don't go to bed until real late and sleep in alot. The weight gain from the invega worries me the most its about 40 pounds. My doctor told me Invega is not a weight gaining drug and that is not true bcause I WAS VERY THIN IN THE BEGINNING. My husband puts me down cause of my weight and that makes me depressed. I really was doing better when I was fourty pounds less. I had more energy then. But that was also before I got the news of my Dads serious condition and my husband saying hes leaving in the future. Im going to review the effectiveness of Invega and side effects with my Pschiatrist as soon as possible. I have appointment on June  6.
Schizophrenia With Mood Changes		1	5	1			5/10/2012 8:45:52 PM	just prescribed for my daughter and i am wanting to get some more information
Schizophrenia	Amanda, 19-24 Female  on Treatment for less than 1 month (Patient) 	3	5	4	Female	19-24	2/6/2012 8:27:27 AM	Helps with voices and visions, but makes me agitated and sleepy. Found out the hard way I cannot take Tylenol Cold Medicine while on this drug. Made me swell in the feet, ankles, and hands. Went away in 4 hours, so not bad. Have been on for 3 weeks, so not bad so far for the positive it does. I just have to live with my cold.
Other	Michelle T, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	25-34	2/5/2012 3:02:00 PM	Stay away from this drug don't take it it caused me massive weight gain and when I got off of it I had horrible stomach medical conditions for 6years that never went away this pill really messed up my stomach when discontinued this drug should be taken off the market it was so bad wish I never took it know u know I wouldn't take it or recommend anyone taking this crap just a warning
Bipolar Depression	doinmybest, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	35-44	1/30/2012 8:38:31 AM	This medication is a life saver for me. It controls my deep, dark depressions, paranoia, and delusions. I was initially taking Risperdal, which caused me to develop tremors.  Invega provides me with the same results as Risperdal without the side effect of tremors. I was initially taking 6 mg a day but started to suffer from mood swings and paranoia. I am currently on 9 mg and am doing fantastic. I am very pleased with the effects of this medication and would recommend it to anyone suffering from bipolar disorder. I initially gained 20 lb while taking it but I am now carefully watching what I eat and exercising and the weight is slowly coming off.
Bipolar Depression	wade4367, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Male	35-44	1/7/2012 9:26:36 AM	I found that this drug really &quot;calmed down&quot; the voices I was hearing. 
Bipolar I Disorder with Most Recent Episode Mixed	35-44 Male  (Patient) 	3	3	3	Male	35-44	11/23/2011 4:23:40 PM	
Bipolar I Disorder with Most Recent Episode Mixed	45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	11/17/2011 10:20:24 PM	I have read comments here and on another site that stated that Invega causes increased appetite. This has been the opposite for me. Invega actually suppresses my appetite. Plus I have very strange dreams. 
Schizophrenia	 Female  on Treatment for 1 to less than 2 years (Caregiver) 	5	5	3	Female		11/17/2011 8:46:42 PM	Completely eliminated hallucinations and paranoia in my teenage daughter. Her confusion cleared as well. She switched to a different medicine because Invega gave her ocular dystonia, constipation, and her breasts increased 3 cup sizes due to heightened prolactin levels.
Bipolar Depression	45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	45-54	9/22/2011 3:31:14 PM	I was dx with paranoria a year ago and tried this medicine the first time out of the gate.  What luck that it was the one that caused this condition to go away. It happened almost immediately for me, very strange indeed, but it is the truth. RG
Psychosis caused by a Disease	45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	5/21/2011 6:12:40 PM	Keeps voices under control
Bipolar Depression	nightrockerplus, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	3	4	3	Male	45-54	4/14/2011 10:43:21 AM	I have been on Invega 9mg for about 3 years now. I am 49 and have had bad bi-polar since I was 7.  I have literally tried all the drugs out there.  This is the only one, besides Depakote (1750mg daily,) and Klonopin (6mg, daily) to slow my manic episodes down.  I don't like the weight gain, as I have gained 25 lbs. even with heavy exercise.. When I have low points I add in 100 mg of Pristiq and I am fine for about 6 months.  It's a balancing act that I fall off way too often.
Bipolar I Disorder with Most Recent Episode Mixed	BipolarChick, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Female	25-34	4/12/2011 9:41:30 PM	Invega was the only drug to make me sane again.  I have been on it for 3 years, and I have had no episode.  In fact, I am happy most of the time.  I did gain a lot of weight at first.  I gained 40 lbs initially, and now I am 25 lbs overweight.  It just increases your appetite.  Watch what and how much you eat, exercise, and you should be fine.  It saved my life!
Schizophrenia With Mood Changes	college student, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Male	25-34	3/29/2011 11:11:51 AM	While taking 6mg of this drug I was doing very well until stress in my life happened and I started to become very paranoid again and have extremely intrusive and bizarre thoughts. Was switched to 9mg and the thoughts and my attitude have drastically been affected positively. I also take zyprexa (low dose), I have not seen any weight gain from Invega. Invega makes me very drowsy initially after taking the pill so I take it at nighttime. Underlying drowsiness throughout the day. I am able to go to college and do all my work well. Do not feel like a zombie like on other anti-psychotics. Has been a good experience for me. Earned a 3.7 GPA last semester in upper-division classes. 
Bipolar I Disorder with Most Recent Episode Mixed	Dreamweaver11, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	5	1	Female	25-34	2/18/2011 2:06:11 PM	As someone with Bipolar disorder and P.T.S.D.,I find this drug usefull in the short term for acute episodes. However, after 3 months of use the sise effects have taken a toll on my health as risk of heart failure and stroke have become an issue not to be ignored. Wanting relef fom side effects plagueing my helth along with the stubborness of some doctors to discontinue is astonding! Fluid meds have been prescribed to combat this .Also, used in combination with another medication for aniexty whose side effects cause dehydration. Th paradox has become a &quot;living nightmare&quot;. J
Bipolar Depression	mom, 13-18 Female  on Treatment for 1 to 6 months (Caregiver) 	5	4	4	Female	13-18	2/1/2011 5:50:31 PM	
