Abnormally Long or Heavy Periods	Great Pill, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) 	5	4	5	Female	35-44	9/24/2012 4:44:35 PM	As a 35 yr old woman, I have tried many pills to combat my heavy, painful, and frequent periods. This is the only one birth control pill on the market that has worked! And has controlled my periods without side effects. In the begining there was some break through bleeding (a month long of off-on days) and some breast tenderness. Now a year later, I can't imagine taking another drug. Its expensive but when you break out the cost per month and factor in all the pads and tampoons and advil you won't need, it works out well.
Birth Control	t.e, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	3	2	Female	25-34	5/9/2012 12:50:33 AM	I am on my first pack and I have been spotting for the first 2 months, almost every single day... What is the point of having your period every 3 months if you spot every day!? Considering a new method because this is too high maintenance!
Birth Control	25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	25-34	5/2/2012 3:44:58 AM	I have had very poor experiences with Bc in the past.  Found out I'm very sensitive to the high hormones meds.  My doctor put me on the once a month lodose Bc and I was very happy with it.  When I found out about the same med for 3 months at a time I was more than willing.  I had some spotting for the first pack and some Pms symptoms around when I would have stopped before.  After that my periods are light and only a few days when they're supposed to happen.  I love it.  Very happy. It's not for everyone but you need to find what combo works for your body.  Oh there's also a generic now. Yeah! 
Birth Control	kelliejo1211, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	5	3	Female	25-34	4/19/2012 2:12:08 PM	I have been on seasonique for many years, and it has been great, really light periods and weight loss- the perfect drug.  This past cycle, I was accidently given seasonique lo, not a good experience, I gained weight and I have had non stop spotting.  Fortunately my pharmacy is switching out my packs today so I can go back on the seasonique.  The seasonique line is great, but the seasonique lo is not for me.
Other	sw, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	5	1	Female	19-24	2/29/2012 9:31:18 PM	I am currently on my 3 week and a half of my period on this birthcontrol. I have been on lo seasonique for 8 months now. There has been 1 month out of 8 that I have had a normal month, otherwise I have pretty much had a continuous period. This is rediculous.
Birth Control	LoriBug85, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	4	5	Female	25-34	2/22/2012 2:40:51 PM	I have been on LoSeasonique for 6 months now, and I absolutely love it. I have lost 25-30 pounds since I started taking it, have only had two periods in the last six months, and no evident side effects. The ONLY downside for me is that it is so expensive! For one three-month pack it is $188 at my pharmacy, but when I started taking it there was a discount card given to me by my gyno, which made SIX months around $80! Talk about disappointing when I found out they discontinued the discount card! I have never had such a great BC before, I think I'll just have to shell out the cash!
Endometriosis	SammyK, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	1	Female	25-34	2/7/2012 9:15:43 PM	Started this for endometriosis &amp; abnormally long periods. I now have 3 week long periods EVERY month. I just stopped taking this because the nauseousness was out of control. Not a huge weight gain, but an obnoxious 5 lbs compared to other types of bc. I will say I have had trouble with every type of bc I've ever tried, but this tops my list. Not to mention I'm super moody! I'm NEVER moody!
Birth Control	lodose, 19-24 Female  (Patient) 	5	5	4	Female	19-24	1/30/2012 5:31:10 PM	I really have enjoyed taking this medication.  It never made me moody like past BC pills. I didn't notice weight gain unlike in the past, I even dropped a few pounds.  A reason there are so many comments about bleeding is because it is a low dose.  It may not be strong enough for some women, but for those of us who don't need it strong it works great! My periods have been lighter and I love it! only down fall is that it is super expensive!
Birth Control	KimInGA, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	5	1	Female	25-34	12/20/2011 11:54:41 AM	I've been using 13-week-cycle birth control pills for 5+ years now - Seasonique and Jolessa. My doctor recently switched me to Lo Seasonique and it's been terrible!!  2 weeks after starting, I began to spot.  It never stopped until I took a week off from the pills and let a period come.  Then I began taking them again and lasted 3 weeks before nonstop spotting (nearly as heavy as a period) once again forced me to take a week off.  I guess you are supposed to just keep taking the pills and deal with 3 months straight of having a period?!?  Right, and I would explain that to my husband HOW, exactly?  Plus 3 months straight of cramps and PMS-like extreme annoyance -- it just gets better and better!  And did I mention the weight gain?  The only good thing I can say is that I didn't get pregnant, although it's basically destroyed my sex life with the nonstop bleeding so I'm not sure there was even an opportunity to get pregnant.  The minute I can get my doctor's office to call me back, I'm switching to something else, ANYTHING ELSE!
Painful Periods	RuthAnn24, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	4	3	Female	19-24	12/13/2011 12:45:06 PM	So the first pack I loved got my period a week before the placebo week. I still have really bad cramps so it didn't really help that but it was nice only getting one period.. I started the second pack and it was perfect until the second month. I started bleeding at first nothing but a panty liner but then it changed to full on bleeding for 2 months literally 2 months until I got to the placebo week it got really bad with the cramps again.. Then I'm on my third pack now and no bleeding.. I'm going to stick it out with the third pack just to see if my body is finally adjusting.. And I hadn't gotten ahold of my doc pretty much useless in helping non pregnant girls. but I have had some positive side effects I have lost a lot of weight I weighed 127 when I was put on it and now way 114 I'm 5'10 so that alot for me.. my skin is really clear also.. 
