Yeast Infection of Vagina and Vulva	sammay1224, 19-24 Female  on Treatment for less than 1 month (Patient) 	3	4	1	Female	19-24	8/6/2012 1:54:08 PM	Bought this product in order to get rid of a mild yeast infection, I have used monistat 3 and 7 before and they worked fine, however this product resulted in an intense amount of burning. It helped to lay down for the burning but I took it in the morning and I had to get up eventually.  All I can say is that it was extremely PAINFUL and that I will never use this product again. 
Yeast Infection of Vagina and Vulva	 (Patient) 	3	5	1			8/2/2012 12:37:16 AM	I would not suggest using this product. Shortly after using there was severe burning! Feels like it's on fire. Definitely will not use again.
Yeast Infection of Vagina and Vulva	Lady000097, 25-34 Female  on Treatment for less than 1 month (Patient) 	4	5	5	Female	25-34	7/29/2012 2:45:22 PM	I think it works great! I am on vacation at the beach and I wasn't gonna be fussing with 7 days of medicine...my yi is very mild and I'm not really that uncomfortable with the medicine.
Yeast Infection of Vagina and Vulva	Keyquia , 19-24 Female  on Treatment for less than 1 month (Patient) 	2	4	1	Female	19-24	7/25/2012 1:27:54 AM	Im so happy i read these comments I thought something was wrong with me. The YI was mild and i decided to take this because it was one day. Worst decision of my life. I literally feel the burning sensation all day. Granted the infection is gone but this burning is worst i might just make a visit to the ER 
Yeast Infection of Vagina and Vulva	Sara, 19-24 Female  on Treatment for less than 1 month (Patient) 	4	5	5	Female	19-24	7/24/2012 9:33:31 PM	After reading several reviews I noticed that many of the women who complained about Monistat 1 were first time users or had never had a yeast infection before. Unfortunately I suffer from frequent yeast infections, possibly due to genetics since my mom has the same issue, and although I have changed my diet and take extra good care of my lady parts, I still have problems. I've used Monistat 7 in the past but I decided to use the 1-day to save the aggravation of using the cream for 7 days. Like many women said in their reviews I did feel some burning and a warm sensation as the medicine began to work, however it was nothing compared to the discomfort of a yeast infection. I think that this product is definitely stronger than the 7-day formula and it does take some getting used to, but for women who have used over the counter yeast infection creams it really isn't anything different from the 7-day formula. Also, Vagisil helps a lot with the external itching since it tends to have a slight numbing effect that dulls the itching. I usually use both products together.  
Yeast Infection of Vagina and Vulva	RNSK, 19-24 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	19-24	7/22/2012 12:34:19 AM	This &quot;medication&quot; was the worst thing that ever happened to me. I was mildly uncomfortable and thought it would help because I had used a product similar to it before. I went from mildly uncomfortable to crying because I was in so much pain from the burning. It went from a mild yeast infection to a nightmare. The Monastat seemed to feed it rather then cure it. Please spare yourself the agony!
Yeast Infection of Vagina and Vulva	19-24 Female  (Patient) 	1	2	1	Female	19-24	7/18/2012 5:06:47 PM	OMG I will NEVER use this again. I have had UTI's before but this is my first yeast infection. I wish I could rewind to a few hours ago before I bought Monistat 1, the burning and itching I had before using it is nothing compared to what I am experiencing now. I am itching and BURNING like crazy! Ive put a cold rag on it and even sqwatted in front of a fan to try to relieve the burning and nothing is working :/ DONT BUY IT! Its horrible, I have NEVER felt this bad. Cant walk, hurts to sit, and had to have my manager take me off of the schedule for tomorrow because there is no way I can go to work like this :/
Yeast Infection of Vagina and Vulva	ell, 35-44 Female  on Treatment for less than 1 month	2	3	1	Female	35-44	6/21/2012 9:03:49 AM	DO NOT USE THIS DRUG. It hurts to even sit down. I felt mild discomfort before the application. After the application I felt like I was on fire.  I am so worried right now.
Yeast Infection of Vagina and Vulva	onepatient, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	45-54	6/18/2012 1:27:56 PM	It was easy to use and slept all night. No burning sensation. 
Yeast Infection of Vagina and Vulva	25-34 Female  on Treatment for less than 1 month (Patient) 	3	5	1	Female	25-34	6/17/2012 5:38:55 AM	Oh here I am wide awake because my croach is on fire. I can't sleep. I've taken a shower to try and rinse off but no luck, still burning and itching. I came online to see if this was normal. Seems like I'm not the only one suffering from intense pain. This is sooo not worth it, I won't use this product again.
Yeast Infection of Vagina and Vulva	Jada, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	25-34	6/12/2012 11:27:24 AM	Please stay away from this drug!.. the burning is unbearable. I just got back from my GYN and Monistat 1 left burns inside my vagina. The product is veryyy acidic and NOT recommended by gynocologist!
Yeast Infection of Vagina and Vulva	bonnie_, 19-24 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	19-24	6/11/2012 2:46:24 AM	Thank god there are sites like this. I seriously though something was VERY wrong. Apparently it's normal for this drug to make you feel like your vagina is being burnt off from the inside. DO NOT USE THIS. Go to your family doctor.
