Birth Control	25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	25-34	9/4/2012 7:40:39 PM	I started taking Natazia in march of this year (2012) and after 6 weeks I did not have a period.  I went to the doctor and she confirmed I was not pregnant and my uterine lining looks fine, just thin, which she attributes to the hormones in the pill, and says is a very rare side effect.  I have mild cramping towards the end of the pack and slight breast discomfort but nothing too bothersome. Best of all I never got the nausea and headaches I traditionally had when taking other types of the pill.  I have no complaints about Natazia and after nearly 6 months on it it seems to be working for me great!
Abnormally Long or Heavy Periods	19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	4	Female	19-24	8/28/2012 11:58:33 AM	I have tried at least 5 different pills all having different side effects such as spotting throughout the month or 2 weeks straight, but I have not experienced this with Natazia at all! The first month I did have a week where I was a complete psycho but that went away in month two. The only thing is that I get a headache a few days before it starts. Now I can pinpoint my periods to almost the minute that I should get it and it lasts about 4 days. Love it! Hope it stays like this! 
Abnormally Long or Heavy Periods	jhm2012, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	4	2	Female	25-34	8/16/2012 8:21:33 AM	I was put on Natazia to stop weeks-long heavy bleeding that just wouldn't stop. While that condition was scary, the first two pills of Natazia were worse. I felt like walls were moving around me. The next few were better. But about a week and a half into the month, I started getting insane migraines and regular chest pain. I decided to get off of this pill pretty quickly even though it stopped the bleeding like it was supposed to. There's another issue you should know about. With other pills I've taken, if you miss one, you can generally resume. With this there's a good week where if you miss even one pill by more than 12 hours, you have to stop the entire pack. And of the pills I've taken, this is one of the more expensive -- so you certainly don't want to throw away almost half of an unused pack. I'm having surgery for my underlying issue. And then my husband and I hoping for children. So I won't likely be back on pills anytime soon. But if I ever do, it won't be Natazia.
Abnormally Long or Heavy Periods	PalmerKS, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	1	3	1	Female	19-24	8/6/2012 11:23:32 PM	My doctor prescribed me Natazia after trying about 4 other birth controls for continuous bleeding.  I am 22 and bleed for months at a time and then have a few days off then start again.  We have tried various BCs but nothing works.  This like the other BCs didn't work but did stop my cramps.  After a few weeks on this pill I began to become very anxious for no reason and I couldn't figure out why.  About 3 months into the pill I began to have very severe panic attacks, again over nothing.  I finally discovered that all my anxiety problems/panic attacks started after I began taking this pill and immediately stopped taking it.  With my other BCs I rarely had side effects.  After having the panic attacks I completely stopped all BCs out of fear of having such side effects again.  About a week after stopping Natazia, all my anxiety was gone.  I know people react differently to BCs but I would NEVER recommend this to anyone!  The panic attacks and anxiety cause me to have to quit my new job.  Its just not worth it!
Disease of Ovaries with Cysts	25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	3	4	Female	25-34	7/10/2012 8:56:35 PM	I was suffering from excessive bleeding non stop and i mean non stop as in months at a time. the doctors could not find any medication to work. i just kept resisting the meds.  this was my 3rd doctors plan B.  I stopped and the cramping stopped, the 1st time i went the full month toward the time of my period i did get emotional but compared to the emotional stress i was going through before this was nothing.  I'm on my 3rd month of it now and I'm still quite happy with the medication and its effectiveness.  I do have a problem forgetting to take my pill but other than that i'm happy with it.
Birth Control	19-24 Female  on Treatment for 1 to less than 2 years (Patient) 	5	4	5	Female	19-24	7/9/2012 6:40:06 PM	My personal experience with Natazia is amazing. Previously I used Nuvaring, which made me extremely moody and irrational, lowered sex-drive, and gave me leg pain, which made me feel like I was always on the verge of a blood clot. With Natazia I have had no symptoms, and I rarely get my period, even on the white pill days. At the most I get a little spotting and cramping on those days. After my experience with Nuvaring, I was very resistant to try anything else because of how deeply it effected my relationship with my boyfriend. But Natazia seems to be the right pill for me. My advice to everyone out there is to try everything until you find something that works for you. We all have different bodies, so something that works for me may not for you, and vice versa. 
Disease of Ovaries with Cysts	NOV1989, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	19-24	6/15/2012 10:14:19 AM	I am a Type 1 Diabetic who was prescribed Natazia to treat PCOS.  I took it for just under 2 months @ which point I took myself off of it for the following reasons:1. Extreme Mood Swings: I rarely cry, yet on Natazia, I started crying -in public- for no apparent reason, and I couldn't get it under control.2. High Anxiety: There were times I was so anxious I couldn't sleep and there was no cause for my anxiety, no source.  This isn't the norm for me.3. I started getting migraines even without my period.  **4. Consistently high blood glucose, markedly higher resistance to insulin.**5. Cardiac changes: a fluttering feeling in my chest accompanied by a dropping sensation.  I think the fluttering/change caused a quick drop in blood pressure, causing the falling sensation.And finally...6. I gained 10 lbs. in the 7 or so weeks I was on Natazia.  That's more than a pound a week!  Even with my healthy diet &amp; exercise.  And 1lb/wk is very extreme &amp; unusual, signaling a problem. Because of all of these significant &amp; life-disrupting problems, I took myself off this pill.  The heart fluttering has stopping, as have the mood swings and intense anxiety.  All I'm left with now is the excess weight to drop, but hopefully that will be easier in the pill's absence.  I strongly DO NOT RECOMMEND NATAZIA. 
Disease of Ovaries with Cysts	19-24 Female  on Treatment for 1 to 6 months (Patient) 	4	5	1	Female	19-24	6/4/2012 2:17:49 PM	I began taking Natazia last month as means to deal with ovarian cysts. I've tried other birth control pills (Yaz, Junel, etc) and have gotten extremely sick from them within the first week. At first I only experienced sore/larger boobs. Other than that I felt great. Within the first week of starting a new back I've experienced NO sex drive, NO appetite,fatige, terrible nausea and HORRIBLE headaches lasting as long as 5 hours. Even as I'm writing this my head is THROBBING. I will be stopping this pill IMMEDIATELY. I hate having to choose between pain from a cyst or feeling like crap from birth control pills.
Other	buzzpusher, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	4	3	Female	25-34	5/29/2012 12:35:23 AM	I am taking Natazia to get my crazy heavy period under control. I have been on it for almost a year. It makes my period very short and light. I have had a few instances of light breakthrough bleeding. This pill does give me mild acne on my face. It also made my breasts go up one cup size. The most surprising side effect I have had has been lactation. My breasts will feel sore. If I go to massage them my nipples will lactate a clear, bitter fluid. My gyno said she is not concerned about this.
Birth Control	19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	1	Female	19-24	5/25/2012 10:53:40 PM	I started taking this pill as a method of birth control, as well as persistent problems I've had with maintaing a regular period..Like I was told, I started the pack of pills on the first day of my period. I was unable to finish a week's worth dosage of this pill..the side effects were unliveable! I cried constantly for absolutely no reason whatsoever, and the smallest and most irrelevant comments made to me by anyone instantly ticked me off. My worst episode happened the day I decided to stop taking the pill..i am NOT a violent person whatsoever and never raise my voice to anyone. I had a major freakout that day, which led me to have a panic attack that lasted about an hour or so (which by the way, has never happened before...) After that, I did not take the pill that night. Within 2 days after stopping the pill, I feel like myself again! I am SO much happier and definitely notice a difference between my personality while on the pill and after. I know every person's body has different reactions to every type of pill, but with the experience I had, I do not recommend this pill to ANYONE (that's how bad of an experience I felt I had...)
