Other	Linda G., 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	5	2	Female	65-74	9/16/2012 5:09:03 PM	I just had my second shot of prolia.First 6 months was easy, but since having second shot have been having severe back pain, ringing in my ears and an overall feeling of tiredness.  Dr. said should get over problems in a couple of weeks.  If this continues don't know if I will take thrid shot.  Don't have any energy and lymphadema seems worse. Would like to know how to contact others taking this medication to learn of side affects of others and how long they lasted.
Other	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	45-54	9/4/2012 7:40:25 PM	I have been taking this medication regularly for a year and a half following treatment for breast cancer.  I have no side effects.  This medication has not been found to cause many of the symptoms that others have reported here.  Possibly they are experiencing symptoms completely unrelated to this medication.
Other	22fish, 55-64 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	55-64	8/29/2012 6:03:00 PM	My oncologist ordered Prolia due to chemotherapy related bone loss.  Had my first shot last Wednesday.  Almost immediately began having heart pounding,indigestion, and minor nausea.  Waited it out to see if I was imagining the symptoms.  When the symptoms did not subside a week later I called my doctor but she does not believe they are related. I trust her but I can tell something is different.  I'm going to follow up with my family physician so we might monitor what I am experiencing.  I will also keep a journal.  I know I will probably put off my second injection to see how I feel off the drug. I hope this drug is a good one but only time will tell for me.  I would like to know if anyone else has had these syptoms.  
Decreased Bone Mass Following Menopause	HappyNActive, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	8/14/2012 6:07:14 PM	I had the Prolia Shot over 3 months ago, absolutely no side effects at all, My main concern was Prolia affecting my immune system, because of serious underlying issue.I took the risk, But it didn't affect me at all.I have a little low bak pain, but the gym helps so much &amp; stretching.. My labs are excellent, i workout at the gym 4 times a week, i swim daily, I feel great !! I feel&quot; Staying active&quot; and &quot;strong mentally&quot; is the Key, keeping my self busy, I don't even think about it.. Im 51 and having fun!! Don't believe all the negative reviews,I truly believe Prolia is an amazingmedicine  &amp; Looking forward to my next shot in Nov.Im a strong willed gal and continue to stay that way.. Thanks 
Decreased Bone Mass Following Menopause	Linda Sutton, 65-74 on Treatment for 6 months to less than 1 year (Patient) 	1	1	1		65-74	8/4/2012 5:24:33 PM	I have been  thinking  I am dying and would like to go on record saying  this drug should be pulled off the market!!!!!!!  I have suffered intense back pain..my right arm and fingers are so messed up...the shortness of breath has me worried about a heart attack..i have been so weak I have trouble doing my housework...some one tell me when will this be out of my system  if ever!   Linda sutton,  Cleveland, ga.  
Other	CAS4061, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	65-74	7/31/2012 8:30:40 PM	On January 26, 2012 I had the Prolia shot.  In February, I began having back problems, along with sciatica pain.  Twenty years ago, I suffered 2 herniated disks in my lower back (diagnosed with an MRI) and this pain now is just like that pain.  Following recovery 20 years ago, my back has been in remarkably good shape and I am in excellent health.  My last two bone density tests have shown no osteoporosis in my back and a slight bit of osteopenia in my hips.  I have had 21 physical therapy sessions so far and there has been some improvement in that I can now roll over in bed without excruciating pain, but walking seems to be getting worse.  I can sit in hard-backed chairs and lay on the floor on my back and be fairly comfortable, but when I stand and start to walk, I can take 20 to 25 steps and the pain down my leg gets bad and continues to get worse each step I take.  I can think of nothing that might have caused this pain, and then I remembered that one of the side effects of Prolia shots was the back pain.  I cannot think that would be this severe, but I do wonder if the Prolia could aggravate the back pain, and I'm hesitant to take the second shot.
Decreased Bone Mass Following Menopause	still discouraged, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	55-64	7/27/2012 11:40:44 AM	I have now been diagnosed with adhesive capsulities (frozen shoulder) for both shoulders. The only thing I have done differently was taken a Prolia shot January 2012. I highly caution others before using this drug.
Decreased Bone Mass Following Menopause	55-64 Female  (Patient) 	1	1	1	Female	55-64	7/13/2012 12:08:14 PM	I have started a Discussion Group and would appreciate any comments/solutions fellow participants post.  I have been having severe issues with my arms since January 2012 - which is when I took the Prolia injection.Thank you.
Decreased Bone Mass Following Menopause	dena, 75 or over Female  on Treatment for 2 to less than 5 years (Patient) 	3	3	2	Female		6/7/2012 3:53:55 PM	I now have a cracked tooth and 3 dentists are uncertain about removing it due to possiblity of not healing from Prolia. I keep having infections and need antibiotics to keep the pain in check.ONe DDS called Amgen.
Decreased Bone Mass Following Menopause	Sheba, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	65-74	6/4/2012 10:46:05 PM	I am having my 2nd injection of Prolia and have not had any side effects from the injection - so easy!  I am one of the lucky ones as I was also aprehensive after reading some of the posts on here.  I am beginning to think that some of the reactions that others may be experiencing may have occured regardless of the Prolia injection and may not even be connected to the injection.I attended a seminar on osteoporosis recently and after reviewing all of the medications (by pharmacists), Prolia was touted as the drug with the least side effects.They had it classified as almost the same as the placebo. The clinic that I attend are doing a number of injections with no adverse effects.  
Decreased Bone Mass Following Menopause	65-74 Female  on Treatment for 1 to 6 months (Patient) 	1	2	1	Female	65-74	5/29/2012 10:50:50 PM	I had breast cancer 15 years ago and had a healthy and happy life afterward. I had one injection of Prolia five mponths ago with horrible side effect and I just found out that I have recurrence of BREAST CANCER.IT is a CRIME to prescribe this medication. Shame on  to DR. Angela Cheng who prescribed this medication to me.
Decreased Bone Mass Following Menopause	cleo, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	4	1	Female	55-64	5/29/2012 5:09:42 PM	After 2nd injection experienced horrible abd pain x3 days recurred 1 week later for 3 days. Testing notyet completed though.
Decreased Bone Mass Following Menopause	?, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	5	1	Female	65-74	5/28/2012 9:11:02 PM	Have back pain, have sciatica pain, have a sore mouth inside all over, have a little trouble sleeping even though I use a CPAP machine, have a chronic cough, chronic sneezing and coughing and chronic tiredness
Decreased Bone Mass Following Menopause	oceanbreeez, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	5/26/2012 9:15:39 PM	I am 50, I was recently diagnosed in January 2012 with Osteoperosis in my hip, Osteo-penia also.. I had the Prolia injection a week ago &amp; I feel the best i have felt in a long time. No side affects at all!!  I was so scared to do the Prolia at first, Now i was worried over nothing! Excellent medication. By far the best of all available. I highly recommend Prolia. I feel like i am 40 again! 
Decreased Bone Mass Following Menopause	Dixie, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	65-74	5/4/2012 10:46:15 PM	I am about to receive my 2nd injection of Prolia and have not had any side effects. 
Decreased Bone Mass Following Menopause	patricia, 65-74 Female  on Treatment for 1 to less than 2 years	4	5	5	Female	65-74	5/2/2012 2:37:26 AM	I have had nno ill effects from the injection I have been on this drug for 18 months 
Decreased Bone Mass Following Menopause	Lois, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	65-74	4/27/2012 12:39:03 AM	I had my first Prolia injection Dec. 2011 and will have my second June 2012.  I have had absolutely no side effects. It has been just like the flu shot - once you get it you don't think about it and life goes on.  Not like the Fosamax!! I was at a osteoporosis forum last weekend and Prolia side effects were very similar to placebo. I am glad that I had the injection but before I went ahead I did have some reservation like everyone. My clinic has now given a number of injections without any side effects.  
Other	judy, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	1	1	1	Female	65-74	4/15/2012 2:26:41 PM	
Other	jeanb, 45-54 Female  (Patient) 	5	5	5	Female	45-54	4/6/2012 8:25:12 PM	I've been on prolia for 18 months now and I have no side effects at all. Fosamax made me ill and it was inconvenient. This is so easy. I didn't like taking pills so often.
Decreased Bone Mass Following Menopause	Osteogirl, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	2	3	1	Female	55-64	4/1/2012 8:43:21 PM	Boniva infusions made no difference to my osteopenia or osteoporosis.  Took first Prolia injection 4 months ago - awoke in the middle of the night with excruciating spine and bone pain throughout my body.  Flu like symptoms - no fever.  Dr.'s diagnois is fibromyalgia - prescribed meds to inhibit pain receptors to brain - still have some pain and constant drug hangover.  Not sure I will take upcoming Prolia injection.  Has anyone else had this problem?
Decreased Bone Mass Following Menopause	thenikki64, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	3/26/2012 8:08:33 AM	I received my first injection last week and have had no side effects. The oral osteoporosis medcations I tried made my gastroesophageal reflus disease much worse even though I take Nexium daily. I am not post menopausal, but genetics and the Nexium have made me osteoporotic. So far, so good, I highly recommend this medication for those who cannot tolerate the orals.
Other	toba55@aol.com, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	5	1	Female	65-74	3/18/2012 6:05:59 PM	Caused serious side affects, Doctor never mentioned side affects, if I have known, I would not have agreed to have this injection. I have no osteporosis, just fractured my wrist.   It was only after Prolia has sent me a letter that the nurse told me to go to ER she feared I was having a stroke. Had cistitus, reflex acid, sore throat, very sore spine, rashes, lumps, itchiness, very hot and cold during night, not sleeping well, been over 6 months, have not received another injection, also had cat-scan for head, have water in the ear, the new bones growing over the old teeth and won't go away - dentist told me. Might lose a tooth.  Sore all over and very tired.This is a dangerous drug.  If it helped anyone, they must be very lucky. 
