Genital Herpes	lucious, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	3	3	Female	45-54	8/29/2012 6:24:26 PM	I have only been taking Valtrex for a month I have had 2 outbreaks both painful. I need more time on the drug to see if it is right for me. 
Cold Sore	Thankful, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	25-34	8/28/2012 10:31:17 PM	Starting at a young age I was getting reoccurring HSV1 sores in random areas on my face. Every few months I would get an outbreak on my face that was so swollen and painful I didn't want to leave the house. About 2 years ago my entire face; cheeks, nose, and forehead broken out. I was devastated! I went to my doctor and he was very worried about my eyes since the blisters were so close. HSV1 can cause blindness. After prescribing Valtrex, and taking one 500 mg tablet a day, I have been outbreak/side effect free. I thank God and my doctor for this drug. It has done wonders.
Cold Sore	lil10, 13-18 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	13-18	8/24/2012 1:55:53 PM	i use this all the time for cold sores... usually if i already got it when i wake i take the medication in about 2 days its gone... if i take it before i actually get the cold sore (i take it because i feel it coming) i dont get the cold sore
Genital Herpes	UnknownAlways, 19-24 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	19-24	8/20/2012 10:54:52 AM	This prescription has worked very well with me since I found out I had it. I have had Genital Herpes since I was 15 when I lost my virginity, but I did not know for sure for sure I had it until I was 17 and pregnant with child. I am glad that this pill works well with pregnant women and non-pregnant women, and just people all around. I would recommend this pill to anyone and everyone who is able to take it or may have Genital Herpes.
Genital Herpes	ana, 35-44 Female  (Patient) 	5	4	3	Female	35-44	8/18/2012 11:15:12 PM	
Recurrent Genital Herpes	Desperate, 55-64 on Treatment for 5 to less than 10 years (Patient) 	3	3	3		55-64	8/13/2012 5:32:26 AM	I have had herpes on my lower back since 2007,after not being sexual active for 15 years. I was given valtrex 500mg, for 3 days and it seemed to control it till recently. Now, a couple of days after my dosage it starts again. Valtrex is being taken on a regular basis and is causing side efects of abdominal pain, extremely high blood pressure, bruising,pinpoint blood marks,stress, and hair loss. Help
Genital Herpes	ms.deb, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	7/11/2012 9:08:35 PM	I have no problems taking Valtrex. I forgot to send for my refill which has been 8 days now and I am broke out from my knees up to my chest. Has anyone experienced this? 
Shingles	55-64 Female  on Treatment for less than 1 month (Patient) 	4	3	4	Female	55-64	3/27/2012 9:12:00 AM	I have been on this med for seven days. It helped the rash but did nothing for the pain. I had no problems taking it. No side effects.
Cold Sore	rhonda, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	3	3	3	Female	45-54	3/25/2012 12:33:50 AM	
Shingles	ShingleLady, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	4	Female	35-44	3/18/2012 8:40:06 PM	I have shingles and have been on the medicine for 4 days. I have been experiencing extremes joint pain, confusion, and I am unsteady when I walk. The plus side is my shingles is clearing up quickly. The side effects are nothing compared to the pain of the shingles, which is on my neck, ears, and inside of my ears.
Genital Herpes	65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	5	Female	65-74	3/2/2012 3:28:36 PM	I contracted genital herpes about 35 years ago and had regular outbreaks for several years. Then I didn't have an outbreak for c.30 years. From out of the blue it came back with a vengeance and I was having outbreaks c. every few months. I was prescribed 500 mil. of the Valtrex generic once a day. Since then I had been herpes-free for 10 months. I have now started an outbreak. The dr. said when I sensed an outbreak coming on, I could take 4 a day (2000 mil.). Has anyone else been given this advice from your dr. and taken 4 a day during an outbreak? PS: The 500 mil. a day causes me no side effects.
Shingles	luckygirl, 65-74 Female  (Patient) 	5	5	5	Female	65-74	3/2/2012 2:12:55 AM	I have been given this medication 8times over a period of 5 years I have had the Shingle shot, but have gotten them 4 X's since,mine are stress related, but this time the valtrex gave me stomach cramps, and the predisone was harder on me.
Other	m123, 25-34 Female  on Treatment for less than 1 month (Patient) 	4	3	4	Female	25-34	1/16/2012 5:34:22 PM	
Cold Sore	BettyB, 25-34 Female 	2	5	1	Female	25-34	12/30/2011 12:42:11 PM	I have been suffering from cold sores since childhood. My doctor prescribed Valtrex and instructed to take 4 pills as soon as I felt an outbreak, and then 4 pills exactly 12 hours later.. My doctor and my pharmacist both assured me that most people will not even get an outbreak if taken within an hour of the first symptoms.  Yesterday around 5:00 I noticed a slight red bump on my lip, I knew instantly that a cold sore was brewing on my lip and took the Valtrex right away, 12 hours later I took the remaining dose. It's been about 20 hours since I noticed the red bump and I can see a blister forming. I don't think this medication will work and I'm still going to have to hide until the cold sore has run it's course. Thought this was going to work but it looks like I just wasted a lot of money and hope. Not sure why this drugs has all these amazing reviews on here.  
