Infection of Intestines caused by Staphylococcal Bacteria	attley1, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	1	3	1	Male	65-74	10/2/2012 6:22:27 PM	I was on two different treatments with vancocin hcl 250 MG.It Did NOT work at all.
Infection of Intestines caused by Staphylococcal Bacteria	45-54 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	45-54	6/21/2011 3:58:31 PM	Rx works as directed. I am all clear. I had no side effects. I made sure I took a dose every six hours.  Very expensive if you do not have good health coverage. Insurance paid $3,000 for 15 day treatment.  
Infection of Intestines caused by Staphylococcal Bacteria	nancy, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	11/16/2010 6:40:21 PM	initally prescribed flagyl,made my symptoms worse.my pcp recommened vancocin,and after 10 days was immediately cured! thank-full for this medication.nancy
Severe Bloody Diarrhea from Antibiotics	55-64 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	55-64	6/25/2010 10:27:01 AM	
Infection of Intestines caused by Staphylococcal Bacteria	35-44 Female  on Treatment for 1 to 6 months (Patient) 	2	3	1	Female	35-44	4/20/2010 5:18:37 PM	I was hospitalized on 3/01/10 and have taken 4 weeks of flagyl and now on vancocin. starting to wonder if i will ever get to go back to work, or even spend just a normal amount of time in the bathroom. isnt there more effective treatment out there?
Severe Bloody Diarrhea from Antibiotics	vancocin, 45-54 on Treatment for less than 1 month (Patient) 	1	1	2		45-54	4/4/2010 1:21:30 AM	
Infection of Intestines caused by Staphylococcal Bacteria	katy 2 , 55-64 Female  on Treatment for less than 1 month (Patient) 	3	1	1	Female	55-64	2/15/2010 1:52:28 PM	 I WAS HAVING BOWEL MOVEMENTS ALL MOST 24/7 &amp; I TRIED FLAGYL &amp; IT ALMOST KILLED ME! i AM ON VANCOCIN 125MG 4X A DAY NOW &amp; STILL HAVING ABOUT 3-4 MOVEMENTS A DAY, I HOPE IN THE 41/2 DAYS LEFT THAT I GET OVER IT!! THE BURNING IN MY TUMMY DRIVES ME NUTS11
Severe Bloody Diarrhea from Antibiotics	Nate, 19-24 Male  on Treatment for less than 1 month (Patient) 	1	2	1	Male	19-24	2/1/2010 4:26:18 PM	Been on vancocin for three weeks and still bloody diarrhea.  Have lost 35 pounds and going on diarrhea for six weeks now.  Tests show I have C-diff but doctors don't know why the meds are not working.  Very tired, no energy.
Infection of Intestines caused by Staphylococcal Bacteria	None, 65-74 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	65-74	12/27/2009 6:01:08 PM	I am taking 250 mg with cholestyramine and florastor capsules. I'm halfway through the three week treatment.  So far so good after 4 mos. of no luck with other treatments.  Hope it is effective after treatment is completed.
Other		2	2	2			9/28/2009 4:57:26 PM	
