Other	mowoman, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	45-54	8/29/2012 1:44:13 PM	Totally relaxed me to the point on losing the ability to stand or move.  Caused swelling of feet and legs.  Plus affected my bladder contol.  No longer could lie down completely.
Other	ToniW., 35-44 Female  on Treatment for 1 to 6 months (Patient) 	5	4	5	Female	35-44	8/29/2012 11:07:31 AM	I like this medication! It has really helped me with my spasims in my back, legs and neck. And also helps me sleep. I do not get any weird dreams from it, the only side effect I get from it is the nausea (but it only lasts for a little while then it passes) This drug is very helpful for me because I have MS and Fybro, so there are days when the pain and musle tightness is so bad I can not function at all! (and for those that have these problems too, know exactly My doctor neurologist started me on this medication when I was in the hospital because of the weakness and stiffness in my arms legs and back, so much to the point I was unable to walk, and this drug is really helping me. I highly recommend this medication! Very very helpful!
Muscle Spasms caused by a Spinal Disease	prettygirlrokk, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	4	4	Female	25-34	8/29/2012 1:36:42 AM	this medicine along with mild pain relievers has dramatically improved the pain i experience due to the disease i have..
Other	mittens, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	65-74	8/28/2012 4:41:31 PM	I have very weird side effects, I drop things, nod off at any time and have very weird vivid dreams.
Muscle Spasms caused by a Spinal Disease	Peter B, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	55-64	8/19/2012 10:09:16 PM	I have been treated with this medication for quite some time now. I suffer from spinal stenosis,back pain,lumbar chronic,degenerative joint disease,cervical spine canal narowing  at the c-4 and 5 level.I had a brain subarachnoid hemorrhage in2003, which left me with short term memory loss,spasming of the left arm and neck area along with involuntary muscle movements of the left hand. The use of this medication has relieved the muscle spasms in the neck and left hand. I take this medication 4 times a day and have recomended it to several people who have post operational pain that normal pain medications don't seem to help.
Muscle Spasms caused by a Spinal Disease	MaxAmerican, 55-64 Male  on Treatment for less than 1 month (Patient) 	3	5	1	Male	55-64	8/18/2012 9:18:49 PM	Baclofen is crap. I blacked out while driving and wrecked at low speed. I was confused on it. It gave me nightmares. How did this sh#t pass a clinical study? I would like to put it my Doctor's coffee. I am going to ask to go back on Soma.
Muscle Spasms caused by a Spinal Disease	Cj, 55-64 Female  on Treatment for less than 1 month (Patient) 	2	4	2	Female	55-64	8/5/2012 6:06:28 PM	I was prescribed 5 mg at night for terrible charlie horses in my right leg after spinal surgery which fused L456. It didn't do anything except knock me out at night from the beginnng. A couple of weeks later the horrible charlie horse in my right leg decreased to 4X/wk instead of 7. BUT, at week 3 I broke out in hives head to toe! Not knowing it was the baclofen, I took Benadry with no decrease in hives! I was told not to stop too quickly, but how fast can I taper? I am also having general malaise and tight chest!Guess I'll call the Dr tomorrow :(I am very active and am trying to swim daily to get the nerves to calm down. Anyone else have a solution to the hives????
Other	AmyRClem, 35-44 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	35-44	7/19/2012 6:31:08 PM	I was prescribed this medication after spraining my back at work. I only took it for 3 days and the forth day when I didnt take it I was very dizzy and drunk feeling. It was so bad I had to leave work and didnt get off the couch all day. Withdrawls after 3 days ?? 
Facial Nerve Pain	75 or over Male  on Treatment for less than 1 month (Patient) 	4	4	4	Male		7/14/2012 8:54:53 PM	felt better.talked a lot more.day four grab my wife throat,and pinched.laugh. a lot.6pm did not feal as wellseeing double more,corrected if left eye shut.
Other	babsey, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	7/4/2012 3:34:48 PM	I have been taking Baclofen for several years to control muscles spasms due to Cerebral Palsy. This medication has worked very well for me.
Other	Carol'sDelima, 65-74 Female  on Treatment for less than 1 month (Patient) 	2	5	1	Female	65-74	6/29/2012 11:18:58 PM	On Baclofen 4 days and wound up going to ER.  Doc prescribed it for shoulder pain that resulted from MRI machine.  I have HBP and am on Diovan.  Baclofen gave me weird dreams, made me loopy,got agressive, made me sleepy during day.  My BP shot up to 219/116 usually around 120/80.  Also had terrible swelling in feet and legs. The ER doc gave me all the tests related to my condition(even tested for blood clots).  He said that blood clots were one of the side effects.  Thank heaven I din't have that.  He gave me Lisinipril and my BP dropped to 160 thank goodness. The moral of this story is watch out for this drug if you have HBP.  It may save you a trip to the ER.
Other	Mowoman, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	45-54	6/29/2012 5:45:50 PM	Was like a heavy sedative.  My feet and legs swelled up immediately.  It relaxed my bladder muscles so much,  I had no control anymore.
Other	55-64 Female  on Treatment for less than 1 month (Patient) 	3	4	4	Female	55-64	6/28/2012 11:25:52 PM	Just starting treatment for decreasing use of fentanyl
Muscle Spasms caused by a Spinal Disease	35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	5	4	Female	35-44	6/16/2012 8:14:32 PM	
Other	undrdg, 45-54 Female  on Treatment for less than 1 month (Patient) 	4	5	5	Female	45-54	6/9/2012 10:20:31 PM	For fibromyalgia, migraines and long term history of neck spasms (40 yrs, always in spam), only second day on 5 Mg 3x day. Spasms in neck have partially resolved and FM pain is almost under control (also on lyrica, savella, percocet 10/325 mg, diclofenac and zolpidem). Can't wait to taper up to  10Mg, wish Dr would have given these to me instead of soma so many years ago! Have had some sleeplessness and fatigue, some anxiety, 1 out of body dream (kinda cool) and q incidence where I thought I saw a spider in the shower but  wasnt one... Not a big deal for me cause I was aware of hallucinations as one of the side affects so I talked myself out off panicking.
Other	Matt Pijan, 25-34 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	25-34	6/9/2012 3:01:18 PM	Prescribed for Sciatica along with Prednisone Oral and noticed reliefe with in a half hour of taking both medications. Cannot say exactlY how much of my relief comes from this medication vs. the Prednisone but I've been very happy with the combination!
Muscle Spasms caused by a Spinal Disease	papi0757, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	1	5	1	Male	45-54	6/7/2012 9:38:58 AM	i have knee pain and still get spasms
Muscle Spasms caused by a Spinal Disease	soma, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	2	2	4	Female	35-44	6/4/2012 9:53:10 AM	i am havin a problem identifying the difference between my generis 350 mg of soma and my trazadone due to my vision what is the difference between the two
Other	Grayone, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	65-74	5/28/2012 6:51:53 PM	This medication usually does very well for me.
Muscle Spasms caused by a Spinal Disease	jyntl, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	2	2	2	Female	45-54	5/23/2012 7:51:48 PM	
Other	Sciatica pain, 65-74 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	65-74	5/13/2012 1:33:10 PM	Prescribed for sciatica nerve pain but no relief; hilucinations when ceased after 5 days. Resorted to Chiropractor (first time)for pain relief. 
Muscle Spasms caused by a Spinal Disease	lorilee, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	45-54	5/10/2012 2:40:49 PM	Taking 10 mg 3x daily for muscle cramps from ALS.  Still have some cramping when overuse my muscles, but are greatly reduced &amp; I can now sleep through the night without waking 2-4x from severe leg cramps.  Only side effect I notice is that I am much more sensitive to caffienne - have had to reduce my coffee intake from 4 or 5 cups to 1 cup (or decaffeinnated).
Other	cyclonebill,  on Treatment for 6 months to less than 1 year (Patient) 	4	4	4			5/10/2012 2:11:18 PM	I take this for alcholism. At first I took too much and had insane open and closed eye hallucincations similar to 2cb and cousins(2ce,2ci,25i-nbome).I abused it at times.But the hallucinations fade out quick and left withe nasty stupor. Now  taking low low doses under strict supervision(10mg TID) Helps craving and some anxiety.Taking Klonopin (low dose) for HPPD from the baclofen ODs The HPPD seems gone now. Baclofen is a lifesaver for me since i dont drink anymore. Never OD or titrate to fast dangerous business and can real ODs--seizuers,hypertension and coma/death.
Other	Tfav, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	3	4	1	Female	45-54	5/8/2012 3:44:44 AM	Has anyone else had severe hair breakage and loss?i take this med for pelvic floor dysfunction 
Other	35-44 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	35-44	5/1/2012 11:37:28 PM	I have extremely severe Irritable Bowel Syndrome, to the point of needing a Fentanyl patch, Hydrocodone, and a neurostimulator to function barely normally.I was given a Baclofen rx a few weeks ago during an ER visit for muscle spasms caused by the neurostimulator and have found that the Baclofen has cut my use of Hydrocodone in half without any problems with withdrawal.I have some problems with sleepiness, and notice that others have reported hallucinatory visual or auditory effects. I've studied neuropsychology (phd) and think this may been related to the sleep effect. Lack of sleep can cause hallucinations by essentially causing a person to enter a dreaming-type state while still awake. This happens to me at around 50 hours of being awake.I've noticed that with less than 7-9 hours of sleep, I will slip into that sleep/dream state since taking the Baclofen. I just deal with emails sitting down after waking up, but think that the hallucinations that others are reporting could be related to taking the medication and not getting enough sleep, or taking a higher dose.I would suggest monitoring your mental state when going on this drug, and to be aware of potential effects related to sleep, especially when being active. Hallucinations can be an extremely disturbing side effect, but they are less frightening if you know that it is likely a dream-type situation rather than a serious mental health problem. If you do experience these side effects, try getting more sleep before calling a psychiatrist.But so far it has been a great pain reliever for me, and should be investigated further for IBS patients, especially those who aren't helped enough by Donnatal or Amitriptylene or other -triptylene drugs. Flexeril and Robaxin have no effect on my IBS pain, only Baclofen seems to help.
