High Blood Pressure	MsPea, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	1	Female	65-74	7/29/2012 8:52:33 PM	I have been on this medication for 7 months and have developed severe visual problems.  Light sensitivity and seeing blotches and just not being able to see properly... Anybody else?
High Blood Pressure	wendell, 65-74 Male  on Treatment for less than 1 month (Patient) 	5	5	3	Male	65-74	5/9/2012 5:09:47 AM	I am 71 yrs male, diabetic on pills, BP=135/70. Took pill and BP=103/65 &amp; in 48hrs got this result. Got light headache. Concern with yellow pee but will monitor if due to not drinking enough liquid. If not will go in to consultation. Got followup visit in 30days. 
High Blood Pressure	Chalice, 45-54 Male  on Treatment for 1 to 6 months	5	5	5	Male	45-54	5/5/2012 3:08:38 AM	I have been taking Benazepril 20-12 htcz for a month and it has worked well for me. BP dropped from 190/112 to 94/78. For the first few days, I developed severe headache but no longer.
High Blood Pressure	55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Male	55-64	1/14/2012 5:59:08 PM	This drug has been effective for me for the last 3 years. I had the dry cough for about a month but now I am not bothered by it at all. I found that eating right and exercise add greatly to my overall blood pressure reduction.
High Blood Pressure	smarinowilson, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	3	3	Female	55-64	11/10/2011 8:40:49 AM	have heart palpatation.can not eat any caffeine or sugar products.causes side affects for me
High Blood Pressure	45-54 Female  on Treatment for 1 to 6 months (Patient) 	2	5	1	Female	45-54	10/14/2011 1:55:16 AM	I have been on this med for 2 months i have a constant dry cough cant sleep at night going to change meds immmediately.
High Blood Pressure	Whatworks, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	1	4	1	Male	45-54	4/13/2011 10:17:56 PM	49 yr old male, diabetic. This medication does not do anything to my BP. BP stays the same while taking this, however my Dr insists that this is the med for me and all diabetics. Going to switch Doctor and see if I can get a med that will work.
Chronic Heart Failure	0-2 Female  on Treatment for less than 1 month (Caregiver) 	3	3	2	Female	0-2	4/6/2011 8:06:45 AM	
High Blood Pressure	patient, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	4	1	Female	45-54	3/9/2011 5:08:11 PM	I started this med and immediately started with the dry cough, coughing so much at night that i am throwing up, i gave it 3 weeks then called the dr to change. I was also having problems with lightheadness.
High Blood Pressure	35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	35-44	12/20/2010 8:05:09 PM	
High Blood Pressure	65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Female	65-74	11/19/2010 10:29:47 PM	
Other	jennifer adona, 19-24 Female  on Treatment for 1 to 6 months (Caregiver) 	2	2	2	Female	19-24	10/13/2010 6:21:28 AM	
High Blood Pressure	35-44 Male  on Treatment for 1 to 6 months (Patient) 	2	2	2	Male	35-44	9/19/2010 2:36:29 PM	Iam having weird side effects, hot then cold,etc.
High Blood Pressure	JAB, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	45-54	9/10/2010 9:27:01 PM	blood pressure used to be 190/90 in feb.2010. now 9/2010 blood pressure is 128/78. great stuff! 
High Blood Pressure	Wadedd, 55-64	4	3	3		55-64	9/9/2010 8:26:34 PM	rash around my neck. also have to take it twice each day.
