Accumulation of Fluid Resulting from Chronic Heart Failure	Reddevilsurvivor, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	35-44	9/11/2012 10:00:18 AM	This pill is like magic at removing the fluid.  I take 5mg and was instructed to use it no more than once a week (because it strips all electrolytes also). I take spironalactone 50mg and demadex 60 mg daily also. My instructions were to take the metolazone I hr before the other two diuretics. When I take the metolazone I pee like crazy for 3 days. I also have to take prescription potassium to keep from getting severe leg cramps. It works wonderful for my condition.
Other	The Doc, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	35-44	7/10/2012 10:32:57 PM	I take this along with Bumetanide and it works fantastic! Metolazone could get water out of a rock. I do however have much lower potassium from taking this, so if you are thinking of taking it make sure to to have your Dr. check your levels regularly, I take 800MG of an OTC Potassium Chloride (make sure it's Potassium chloride as other types of potassium will not be enough to make a difference no matter how many you take) daily and it seems to keep my levels within normal range.
Other	Pam9427, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	55-64	6/23/2012 9:32:15 PM	I went to my MD because I had 2+ pitting edema in my lower legs. He instructed me to take it every other day.  Day 1 NO increase in urination Edema up to 3+. My ankles now hurt due to the edema.  
High Blood Pressure	Paytonsgrandma09, 45-54 Female  (Patient) 	5	5	5	Female	45-54	5/11/2012 6:20:47 PM	This medication got my BP down and my edema in ankles and feet are gone. Thank Goodness!!!
Other	inkey, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	4	3	Female	65-74	6/13/2011 11:24:49 AM	the medication appears to be working yet there seem to be a lot of side effect tomeney for it to be safe for long tern use.
Accumulation of Fluid Resulting from Chronic Heart Failure	Arlene, 65-74 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	65-74	7/11/2010 10:01:29 PM	This drug was added when I needed additional help.
Accumulation of Fluid Resulting from Chronic Heart Failure	rex, 55-64 Male  on Treatment for less than 1 month (Patient) 	4	5	4	Male	55-64	1/9/2010 11:08:08 AM	it seams to be working
Accumulation of Fluid Resulting from Chronic Heart Failure	25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	5	3	Female	25-34	12/29/2009 10:00:13 PM	no problems with it i take it with lasix and aldactone for congestive heart failure it worked a little bit but im on a real low dose 2.5 mg so it may just need to be uped overall it makes the bloating go away by a pond or pond an a half with in 2 days
Accumulation of Fluid Resulting from Chronic Heart Failure	55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Male	55-64	12/18/2009 9:32:30 AM	I take this drug along with lasix. I have stage 4 kidney failure and I also have COPD and congestive heart failure. If I want my heart and lungs to work I take the combo of drugs until my blood work shows that my kidneys are failing then I stop the duo for a couple of weeks.
High Blood Pressure	55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	55-64	12/8/2009 12:29:54 AM	
Other	ruby, 65-74 Female  on Treatment for 1 to 6 months (Caregiver) 	3	4	3	Female	65-74	10/4/2009 9:11:52 PM	this pill has a letter 'M' and the #645 on one side of the pill and blank on the other side and suppose to be for depression and my daughter doesn't know if it is the right pill
Other	mandysmother, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	5	1	Female	55-64	8/15/2009 10:57:55 AM	My Dr. put on this drug for edema. I have no other problems relating to the use of this med. Lasix is not fully effective but seems to work better. I am also uncomfortable taking a drug for med. conditions that do not exist. 
Other	25-34 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	25-34	8/4/2009 7:25:31 PM	My physician placed me on 120mg of prednisone for an immune disorder.  I immeditely began swelling, picking up over ten pounds in just a few days.  He tried me on lasix, with no results.  The day after taking my first 5mg dose of Metolazone, my ankles and feet were back to normal, and I was 2 pounds lighter.  The next day, my face had nearly returned to normal, and I was only 4 punds heavier than before the prednisone.  This medication worked wonderfully for getting rid of the fluid.
Other	mandysmother, 55-64 Female  on Treatment for less than 1 month (Patient) 	3	5	2	Female	55-64	7/18/2009 9:05:53 AM	I am taking this drug for edema. I have no kidney problems, no lung problems and no heart problems.  It has helped some but not a lot.
Other	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	4	4	4	Female	55-64	5/22/2009 10:16:51 AM	I'm taking this medication along with spironolactone. Apparently, it also helps whatever you take it with to work better.
Other	METOLAZONE, 55-64 Female  on Treatment for less than 1 month (Patient) 	4	4	3	Female	55-64	5/1/2009 10:33:36 PM	
Accumulation of Fluid Resulting from Chronic Heart Failure	65-74 on Treatment for 1 to 6 months	1	4	1		65-74	3/28/2009 3:24:36 AM	I seem to retain fluid in shortening time frames
Accumulation of Fluid Resulting from Chronic Heart Failure	65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	3	3	1	Male	65-74	3/18/2009 1:56:33 PM	It has a serious effect on the kidneys.
Accumulation of Fluid Resulting from Chronic Heart Failure	ddwidget123, 45-54 Female  on Treatment for less than 1 month (Patient) 	4	4	4	Female	45-54	1/13/2009 2:18:45 AM	I have only taken one dose of this medicine, and already lost 6 pounds of fluid in 2 days. Will only take twice a week as addition to lasix I take daily, but already getting results just from the first dose. 
Other	gavinaca, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Female	55-64	8/1/2008 3:47:43 PM	Contributes to dry eye syndrome.  
Accumulation of Fluid Resulting from Chronic Heart Failure	Roy1951, 55-64 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	55-64	7/19/2008 8:21:19 AM	This has proven to be a miracle med for me.  I also suffer from acute kidney failure.  This med has greatly helped to reduce the generalized edema I have, nearly 25 pounds if water weight loss has been realized in just four days!  I breath easier...can move about easier.  I feel so much better it is amazing.  I will likely take this med along with Lasix daily.  It clearly helps to potentiate the effects of Lasix.  
Other	 on Treatment for 1 to 6 months (Patient) 	4	5	5			4/17/2008 12:50:30 PM	
