Vaginosis caused by Bacteria	Sherri, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	55-64	9/5/2012 6:32:10 PM	I started with the oral medication and it made me so sick,I couldn't function.So the doctor changed it to the gel,OMG I'm having the same side affects.And have been in bed for two days...
Vaginosis caused by Bacteria	RDash, 25-34 Female  on Treatment for less than 1 month (Patient) 	2	5	2	Female	25-34	7/24/2012 6:59:41 PM	I have used this gel twice. The first time it work great and like everyone else I experienced the white cottage cheese discharge, which is normal when using this product. The second time using the gel did not help at all. I experienced irritation throughout and after the treatment. I had no noticeable side effects while using this product. I am starting treatment with a different product tonight, hopefully it will work great. Some of the previous reviews discussed, how they thought they were getting or got a yeast infection while on this product. According to my gynecologist, yeast infections often develop when vaginosis caused by bacteria is present, so a prescription for a yeast infection is something you might want to discuss with your doctor as well.
Vaginosis caused by Bacteria	BodyCare11, 35-44 Female  on Treatment for less than 1 month (Patient) 	3	4	3	Female	35-44	3/19/2012 10:00:22 PM	I am taking the vaginal gel prescribed for 5 days at bedtime.  On the 3rd day I noticed a heavy white cottage cheese discharge.  No itching, no burning, no smell.  No other side effects either.   But just like any other antibiotic, I think it is causing me to have a yeast infection.
Vaginosis caused by Bacteria	35-44 Female  on Treatment for less than 1 month (Patient) 	4	5	3	Female	35-44	12/30/2011 12:13:55 PM	
Vaginosis caused by Bacteria	frusterated189, 19-24 Female  on Treatment for less than 1 month (Patient) 	1	2	1	Female	19-24	7/13/2011 3:08:39 PM	The gel was somewhat easy to use although it seemed like a lot of gel. But about a half hour after applying severe burning and cramping began the burning faded after about 6 hours the extreme cramping is still happening 13 hours later. The side effects are much worse than the actual infection.
Vaginosis caused by Bacteria	kreata27, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	6/28/2011 12:52:43 AM	
Vaginosis caused by Bacteria	pagie32, 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	4	1	Female	25-34	5/19/2011 1:29:58 PM	I have taken metronidazole  4 times initally the infection goes away then always comes back.  Additionally it lefts me very irriated
Vaginosis caused by Bacteria	dj1852, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	25-34	4/20/2011 8:04:11 PM	I've just completed my 5 day treatment, and like most others, am experiencing heavy discharge of white cottage cheese like substance. I'm just wondering, does anyone know when will it end?
Vaginosis caused by Bacteria	MM6381, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	4	1	Female	25-34	4/20/2011 11:29:45 AM	I had to take the vaginal cream because I was first prescribed the oral version of this medicine and it made me extremely sick.  Within 1/2 hour of taking it I had terrible heartburn and indigestion, which has yet to go away even after I stopped taking the oral pills.  The vaginal cream is easy to use with the inserts they provide and convenient since you're supposed to take it right before bedtime.  But I too noticed a white discharge after I started using the cream.  It seems like the cream is working but overall I haven't liked how I felt since I started taking this medicine. I continue to have heartburn/indigestion, an upset stomach and extreme tiredness.If my doctor tried to prescribe this again I would ask for another kind of medication. 
Vaginosis caused by Bacteria	Marie, 25-34 Female  on Treatment for less than 1 month (Patient) 	2	4	2	Female	25-34	3/22/2011 10:20:31 PM	I experienced a brownish red discharge the next morning. By that evening I noticed the discharge was becoming more of a period and I seemed to bleed everytime I urinated. Every time I wiped there was a brownish powdery discharge. I'm a little afraid to continue my second night of treatment.
Vaginosis caused by Bacteria	13-18 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	13-18	11/7/2010 10:19:00 AM	I didn't experience any headaches, dizziness, or bad taste, but have had large amount of discharge after every use. Does this go away?
