Other	75 or over Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female		8/20/2012 9:04:57 PM	I have had two back surgeries, one disc related, other one scar tissue from first surgeryl  Also, arthritis in neck, hands and back.  Cannot and do not want to take any type of narcotic pain medicatiion.  I did use Vioxx, but had a reaction to it, so back to salsalate - it was called Monogesic when I first started taking it.  Doctor said it would be easiest on my somewhat sensitive stomach--and since 1986 it has worked.
Joint Damage causing Pain and Loss of Function	dwbvab, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	2	3	2	Male	55-64	8/7/2012 11:39:22 PM	with having only 18% OF MY SMALL INTESTINE AND NOTHING else left. I think I am not getting the full dose nabsorbd into my system.
Rheumatoid Arthritis	55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	4	5	Female	55-64	1/31/2012 10:25:47 PM	It seems to help me alot.
Joint Damage causing Pain and Loss of Function	55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	5	1	Female	55-64	10/22/2011 3:33:15 PM	Have tried all kinds of things and haven't found anything yet that really helps
Other	Kim, 35-44 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	35-44	9/14/2011 6:38:15 PM	 It works for me with no side effects.I take 750mg three times a day for Still's Disease.
Rheumatoid Arthritis	Coffeeaddict, 35-44 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	35-44	9/2/2011 10:38:07 AM	I was in pain for most of my joints. Ibuprophen worked ok, Dr changed to this he feels is less risky. I have had significant results on 750mg 2x a day. It has made the pain tollerable and I am able to do much more than before. However, there is a lapse in between when I am hurting. I would recommend this to other meds such as prednisone, celebrex, etc... I think those have higher risk of heart attack and stroke.
Rheumatoid Arthritis	LittleRedLioness, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	4	4	4	Female	55-64	7/22/2011 6:50:21 PM	
Other	MATTDOUCETTE22, 25-34 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	25-34	6/13/2011 11:24:59 PM	MAKES ME TIRED
Joint Damage causing Pain and Loss of Function	RMKAN59@AOL.COM, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	55-64	3/1/2011 2:27:50 PM	I HAVE TRIED OVER THE COUNTER PAIN MEDS.THAT DID VERY LITTLE FOR ME.MY DR.PRESCIRBED SALSALATE &amp; IT HAS WORKED GREAT FOR ME.DID NOT HAVE ANY SIDE EFFECTS FROM USING THIS.IT HAS  INCREASED MY MOBILITY.WILL COUNTINUE USING.
Other	S from Redlands, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	3	3	3	Female	55-64	2/9/2011 2:56:04 PM	Feb. 9, 2011I have Fibromyalgia and have been on 750 mg once a day (along with Prozac 10mg) for 5 years. Three weeks ago I began experiencing ringing in both ears. Since this was a new symptom I had my ears checked for wax build up and then washed. However the ringing is still present in the left ear. I am extremely in tune with my body and am in  good shape. But after reading up on the side effects on Salsalate, and the included &quot;postings&quot; from others, I feel that this medication might be the culprit. I see an ENT specialist today and will repost those results. I too have noticed that Tylenol and regualr caffeine free Asprin work just as well, however, I am concerned about the long term side affects of those over the counter pills as well. Any advice?
Joint Damage causing Pain and Loss of Function	55-64 Male  on Treatment for less than 1 month (Patient) 	1	5	1	Male	55-64	12/20/2010 1:50:44 PM	I think a baby aspirin would offer more pain relief than this does.  Just doesn't work for me.  Went to Ibuprofen.
Joint Damage causing Pain and Loss of Function	Savannah, 55-64 Female  on Treatment for less than 1 month (Patient) 	4	4	4	Female	55-64	11/17/2010 4:50:58 PM	But now I am having stomach pain and excess gas, loss of vision and the Dr.s think this may be one of the culprits.
Joint Damage causing Pain and Loss of Function	PCD, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	4	5	4	Male	35-44	9/7/2010 7:02:59 PM	I have taken it for a couple of months for arthritis pain in my neck and back.Initial results were very quick.  Pain eased and mobility increased right away.  Since then, it has continued working, but slowly and gradually.  Overall, the medication is clearly working.My biggest problem is that it is not covered by my insurance.  It has not been a big deal, as it has only been $12.00 per month.  However, when I went for my last refill, it is suddenly $48.93 for a month's worth.  Pharmacy claims that the manufacturer raised the price.I am asking my doctor for an alternate.
Rheumatoid Arthritis	65-74 Female  on Treatment for less than 1 month (Patient) 	1	4	2	Female	65-74	6/22/2010 1:44:30 AM	Loss of balance and fell, could not get up.
