Yeast Infection of Vagina and Vulva	crizzzzzy, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	25-34	9/16/2012 1:33:04 AM	still have a little itching and burnning dont know if it worked or not intill thur-day have doctors ,,9-20-12
Yeast Infection of Vagina and Vulva	meeeeeeeeeeee, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	5	3	Female	25-34	9/15/2012 9:08:16 PM	
Yeast Infection of Vagina and Vulva	cleo, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	8/25/2012 9:00:38 PM	This is the medication that works for me.  No side effects... just relief.
Yeast Infection of Vagina and Vulva	cac, 35-44 Female  on Treatment for less than 1 month (Patient) 	4	4	2	Female	35-44	7/21/2012 9:02:41 PM	Wow I thought I had pulled a muscle in my shoulder then my elbow next my ribs felt like I broke it. Then it hurt to breath. I thought I was really loosing my mind. After ready this I'm not alone thankfully I'm done tonight. I will skip the last one and chance it returning. Never would I have thought this RX was the culprit
Yeast Infection of Vagina and Vulva	Anonymous, 19-24 Female  on Treatment for less than 1 month (Patient) 	3	2	2	Female	19-24	7/8/2012 7:56:54 PM	I have been battling a resistant yeast infection for the past 2 months.  I have been given fluconazole pills every few days, but since that wasn't working, I was given something stronger. My doctor wanted me to try terconazole 7 day treatment. It is strong, a lot stronger than fluconazole and the side effects are like nothing I've ever experienced  before.  Extreme abdomen bloating and pain, body aches, chills, and headaches. I never knew a medicine could have these side effects. This medicine was awful to use, but I think it worked pretty well. Tonight is the last night, and I hope I do not have to take this again.  It has been a rough 7 days. 
Yeast Infection of Vagina and Vulva	25-34 Female  on Treatment for less than 1 month (Patient) 	4	3	5	Female	25-34	3/14/2012 2:31:44 AM	i am 30 weeks pregnant and have experienced a persistant yeast infection, after using monistat, and diflucan, my obgyn perscribed this and after the first night it has worked great for me, yes it is messy, and i have to use it every night for 7 nights, but it's well worth it, hopefully i'm done with the infection for good
Yeast Infection of Vagina and Vulva	35-44 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	35-44	2/25/2012 3:37:45 PM	I experienced intense body pain, fever, chills, and a slight headache after one day on this medicine. I quit using it after symptoms persisted on the second day and I realized that the conditions were a consequence of the medication. 
Yeast Infection of Vagina and Vulva	Andy (Patient) 	1	5	1			1/13/2012 9:31:42 AM	1st time using this drug. Did not help to reduce the itch. And gave me flu like symptoms. My entire body ached. Also caused hives, swelling of the lips, acid reflux and stomach bloating. Stopped taking it after the second treatment. 
Other	Bri, 13-18 Female  on Treatment for less than 1 month (Patient) 	5	3	4	Female	13-18	11/28/2011 9:31:06 PM	I just used this 20 min ago and it is already feeling relieving. I'll update for day 2.
Yeast Infection of Vagina and Vulva	25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	10/1/2011 12:04:42 PM	
Yeast Infection of Vagina and Vulva	Sweetkatness, 19-24 Female  on Treatment for less than 1 month (Patient) 	1	4	2	Female	19-24	9/20/2011 2:34:13 AM	Unlike others I had no side effects minus slight headache first night. However with that said it helped my yeast infection slightly the first night and second but by third night yeast infection was back to normal, never actually got rid of it only covered the symptoms temporarily. 
Yeast Infection of Vagina and Vulva	Maura, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	4	4	Female	35-44	5/23/2011 11:30:41 PM	I've used this med bfore with no troubles, and good results.  This time though, I developed major body pain after the second night.  It didn't occur to me that it was an adverse reaction until I read the paper that comes with the medication.  I was releived to atleast know what was causing my pain...and after the last night of treatment and alternating tylenol and advil...thankfully I am back to feeling better....yeast infection going away by the hour.  Will definitly be hesitant to use it again tough because of the body pain...I felt like I was steamrolled.  Yet it worked on the severe yeast infection I had.
Yeast Infection of Vagina and Vulva	19-24 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	19-24	5/19/2011 8:12:55 PM	hurts worse than inf itself. had to stop after one use!
Yeast Infection of Vagina and Vulva	19-24 Female  on Treatment for less than 1 month (Patient) 	5	4	5	Female	19-24	1/19/2011 1:47:54 AM	Despite all the bad reviews, it actually worked well for me. No awful side effects, and it got rid of the yeast infection. Very pleased. I only used the 3 day treatment.
Yeast Infection of Vagina and Vulva	maranday, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	2	1	Female	45-54	12/22/2010 10:39:19 AM	Dr. prescribed this product for a yeast infection that would not clear with Diflucan. It caused itching and burning that was FAR worse than the yeast infection. I will NEVER use this product again. Apple cider vinegar diluted with water seemed to soothe the burning.
Yeast Infection of Vagina and Vulva	TS, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	4	1	Female	45-54	6/23/2010 5:51:27 AM	I developed a skin rash after two days of use and had to stop, but it did start to help after those two days. Dr. prescribed Diflucan instead.
Yeast Infection of Vagina and Vulva	chocomom5566, 35-44 Female  on Treatment for less than 1 month (Patient) 	4	4	4	Female	35-44	2/28/2010 8:42:24 AM	I am a woman with a recurring yeast infection.This medicine work very well within days of treatment.
Yeast Infection of Vagina and Vulva	19-24 Female  on Treatment for less than 1 month (Patient) 	3	3	3	Female	19-24	1/18/2010 6:56:19 AM	It didn't burn me at all. My symptoms cleared up within the first two days of use. However, I did have a continuous headache while on the treatment. 
Yeast Infection of Vagina and Vulva	Ramona, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	45-54	11/12/2009 7:33:09 PM	Used at bedtime, by morning burning, developed a high fever (103), severe joint pain for eight hours, after that I was fine, very scary and never had problems with any kind of cream or suppositories before...will never use this product again.
Yeast Infection of Vagina and Vulva	447, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	25-34	6/18/2009 8:23:43 PM	My Doctor prescribed this cream after my yeast infection didn't respond to Diflucan.  Within minutes of inserting this cream, I experienced horrendous burning and pain, WAY worse than the symptoms of the yeast infection itself.  It lasted for five hours, and kept me up all night. Not satisfied. 
Yeast Infection of Vagina and Vulva	yvette8682@sbcglobal.net, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	6/14/2009 11:28:08 AM	i dont feel a hundred percent better will see when l finsh the medcation.maybe i need something stronger. but it mostly likly will help l hope. if not l have to call  the doctor back.yvette
Yeast Infection of Vagina and Vulva	irritated, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	5/12/2009 1:35:34 AM	I am due to deliver my baby next week.  I developed the third yeast infection of my life (I'm 29) last week - had to wait three days to see my OBGYN and was prescribed this topical cream.  I was anxious to be rid of the itching sensation, applied it according to the directions and spent the last hour in pure agony from burning and itching beyond ANY infection imaginable.  My whole body itches.   I am miserable and can't sleep.  I want to scream at my OBGYN right now, I washed as much as I could off and it's still burning!  This is terrible.  Why would a medication prescribed for vaginal itching and irritation have a side effect of BURNING AND ITCHING???  This is one scrip I will never get filled again!
Yeast Infection of Vagina and Vulva	jnf, 19-24 Female  on Treatment for less than 1 month (Patient) 	2	5	1	Female	19-24	4/13/2009 1:24:45 AM	Gave me horrible side effects including a headache that lasted all day for the three days I used it, fever, and joint pain. I had to stop taking it and go back to the doctor.
Yeast Infection of Vagina and Vulva	55-64 Female  on Treatment for less than 1 month (Patient) 	1	2	1	Female	55-64	1/5/2009 11:54:51 PM	I was prescribed this medication to treat my recurring yeast infection. I'd developed my infection after using antibiotics to cure an earlier upper respiratory infection.I immediately had an adverse reaction upon application. Burning of at the site, as bad as the infection itself. After about 20 minutes, my skin began itching all over. This product is also very messy because it leaks.  If you can use it, you will need padding of some type to catch the leak. 
Yeast Infection of Vagina and Vulva	25-34 Female  on Treatment for less than 1 month (Patient) 	4	3	2	Female	25-34	12/17/2008 12:34:50 AM	My yeast infection went away while using this drug but my only symptom was a discharge.  I didn't have any itching or burning prior to use.  This drug is messy and you have to wear a sanitary napkin while using it due to it running and being messy.  While using it I experienced massive cramping which is a side effect.  I tried OTC to relieve the cramping to no avail.  Between the messy usage, cost(insurance only covered a small portion) and cramping I will try another drug next time.
Yeast Infection of Vagina and Vulva	ceekay7, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	4	1	Female	45-54	11/25/2008 3:56:40 AM	I was prescribed this when Monistat failed to cure my vaginal yeast infection. It's easy to use - the same as any other ovule-type anti-yeast medication. Unfortunately, I developed side effects requiring me to stop treatment - burning, itching, and inflammation that was worse than the original infections. It is therefore easy to see why it failed to be effective and why I'm not satisfied with it.
