&amp;quot;Change of Life&amp;quot; Signs	Pam, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	8/1/2012 6:36:46 PM	I am 62 been on this 10 year. I suffered terrible night sweats, didn't sleep and headaches that went on for weeks, and was always irritable. All these symptoms completely went away after a month. My question is when do I ever go off? My internist said I should go off my GYNO said no problem you can stay on them as long as you're having no problem. Do I stay on these till I die??? 
&amp;quot;Change of Life&amp;quot; Signs	Deb, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	2	1	Female	55-64	7/29/2012 1:25:19 PM	Been on for 3 weeks, and am miserable.  Night sweats are still awful, and now I am sleeping even worse because of anxiety.  Nausea is horrible, and have lost weight. So nervous, and feel so much worse. Have gone off today.  
Vaginal Inflammation due to Loss of Hormone Stimulation	carol,  Female  (Patient) 	2	5	2	Female		6/20/2012 7:16:02 PM	I have vaginal spotting, and vaginal cramping, almost like having a period. I am 57 years old- not ready to take on the cramps of menses. Will consult with my gyno on this.
Other	itsme2258, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	2	2	Female	45-54	5/9/2012 10:06:23 AM	The risks of breast cancer were not fully explained. I have been diagnosed with breast cancer and the only thing I have to indicate any risk is taking estrogen. There is no history in my family, however there was ovarian cancer. I should have never been prescribed this drug.
&amp;quot;Change of Life&amp;quot; Signs	bulby, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	3	1	Female	45-54	4/18/2012 10:51:24 AM	feel sick increased headaches. weight gain and bloat.
&amp;quot;Change of Life&amp;quot; Signs	pbjmorrison, 55-64 Female  on Treatment for 10 years or more (Patient) 	3	3	3	Female	55-64	2/6/2012 11:50:45 PM	I have taken this drug for probably close to 10 years. For the last few months began not feeling well. Lots of anxiety and some minor hot flashes at night. Went into dr for anxiety and had blood test done showing my body was no longer absorbing the estrogen. My level were as low as without any hormone treatment. Just curious if anyone else has experienced this.
&amp;quot;Change of Life&amp;quot; Signs	I forgot, 55-64 on Treatment for 5 to less than 10 years (Patient) 	5	5	5		55-64	2/6/2012 7:03:03 PM	I took this drug for 5 yrs. I wasn't certain I still needed it, so I stopped for a while. WRONG!! The hot flashes and night sweats returned with a vengence! Went back on the meds. Then, the insurance co. insisted on the generic instead. OMG! What a difference! Moody, depressed and miserable! Now I have no meds and again experiencing the hot flashes and night sweats! I'm 63. Took various HRTs for 15 yrs. Will this EVER be over?
&amp;quot;Change of Life&amp;quot; Signs	one hot momma, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	45-54	2/6/2012 3:51:56 PM	I have been on this medication for one week with little to no improvements to my hot flashes. The night sweats actually seem to be worse. I am just wondering how long it takes for this medication to &quot;kick in&quot;. Will continue for another week but if no improvement will call Doctor.
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Female	45-54	1/11/2012 8:43:59 PM	I'M 54 AND IN FULL BLOWN MENOPAUSE..I WENT 6 MONTHS WITHOUT ANYTHING AND HAD TO GO ON THIS BECAUSE OF TERRIBLE HOT FLASHES..THIS MEDICATION HAS REALLY HELPED..THE ONLY PROBLEM IS THE EXPENSE..I'M ON A GENERIC FORM BUT IT IS STILL $50 CO-PAY!!! I GUESS THAT'S NOT A BAD TRADE OFF TO GET RID OF THE HOT FLASHES
Post-Menopausal Osteoporosis Prevention	dee2242, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	4	1	Female	25-34	10/20/2011 9:36:27 AM	I started taking this after the Combi Patch made me bleed for 3 months. I relieved all my hot flashes and night sweats but after taking it for 3 weeks, I noticed heartburn and a VERY bad Ingestion. Also, I got a aching pain under my ribcage. I stopped taking this medicine asap. Side efffects were awful. 
&amp;quot;Change of Life&amp;quot; Signs	elleshabai, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	5	1	Female	45-54	10/18/2011 11:12:57 AM	I ran out of my prescription and have been off this for over a week.  The last 9 months I have been very moody and irritated.  Quick to anger specifically to my husband.  The last week I have been so calm and loving.  I feel like myself again.  I am in the beginning stages of menopause, maybe 1-2 periods a year at the most.  My doctor decided I needed to be on this at the beginning of the year when I went for my annual check up.I have been wondering why I am so quick to get mad and my emotions have been all over the charts.  Being off this for a week has been an awakening and a gift from God.  I am doing just fine, better than I have all year.  I never even had symptoms of menopause other than missing some periods.I think doctor's just put us on things and we just accept that we need it because they prescribe it.  I'm off this for good and my husband couldn't be happier.  It's remarkable the difference in my personality without this drug in my system.  I honestly couldn't figure out the change in my personality and now I know.  Drugs change you and not always for the better!  
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	10/17/2011 2:04:59 PM	i have used this drug for 10 + years with no problems. I do have some minor ovarian pain and am now curious if it is related to the activella use
&amp;quot;Change of Life&amp;quot; Signs	Ruth, 3-6 Female  on Treatment for 1 to 6 months (Patient) 	4	5	3	Female	3-6	9/19/2011 9:48:15 PM	Easy to use. Certainly addressed the night sweats and hot flashes. But I have had almost non-stop bleeding and breast tenderness.
&amp;quot;Change of Life&amp;quot; Signs	ROUCHON, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	9/8/2011 5:46:39 PM	THIS TREATMENT WORKED WELL WITH ME.
&amp;quot;Change of Life&amp;quot; Signs	cooler, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	55-64	8/21/2011 11:22:13 PM	have been in menopause for 4 years-doctor says-hot flashes for many more years, some night sweats.  Started Activella 5 months ago and hot flashes were better after 2 months-now only minor.  Didn't think had side effects until reading others-but have had bloating.  Now have had light period for the last 2 months-only a few days but..first time in 4 years!  Had a D&amp;C 20 months ago to remove 3 small cysts(before Activella)so not sure if the bleeding is med related or cysts again.  Making doctor appointment Monday.  My insurance company changed me to the generic form in June w/o me realizing it.  Symptoms came back-fast!  When I asked the pharmacy what could be wrong, they told me about the change.  My doctor made the call and I'm back on the original Activella.  It only took 2 weeks on it this time and symptoms were better.  Now if bleeding is NOT related to Activella-I'll keep taking it, but if it is..I lived with the hot flashes for years, hated them, but at least I will live. 
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	45-54	8/21/2011 12:34:31 PM	I have been taking this med for 8 days now because of hot flashes and night sweats.  So far not relief and seems night sweats are worse.  I will give it a full month try before I make a decision to continue.
&amp;quot;Change of Life&amp;quot; Signs	Creston, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	4	Female	45-54	8/21/2011 11:21:29 AM	I went off YAZ low dose birth control (took for low iron issues and it greatly helped) due to monthly 3 day headaches.  I'm 47 and went into hot flashing, so Dr. put me on Activella. Experienced immediate relief, and feel more calm...like my nerves have been coated with oil. NICE.  But have scalp acne now, losing hair, and may be getting headaches again.  Also, losing my grip and dropping things ALOT - dropped a coffee cup just walking down the hallway.  Anyone else having this symptom? I fear going off it due to the irritability, nervousness, and hot flashing symptoms returning, BUT what is this stuff really doing to my BRAIN ?? 
&amp;quot;Change of Life&amp;quot; Signs	chris, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	45-54	7/26/2011 7:28:16 PM	ever since I started taking these I have had headaches and have no energy plus am very emotional, will be getting off them real soon.
&amp;quot;Change of Life&amp;quot; Signs	NAWNEE4, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	45-54	7/7/2011 4:20:48 PM	HOT FLASHES SOOO MUCH BETTER ALMOST ALL GONE, OAB TOTALLY GONE, MOOD MUCH BETTER, EVEN WITH THE RISK I DECIDED QUALITY OF LIFE IS WORTH IT!!
&amp;quot;Change of Life&amp;quot; Signs	Diane, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	3	3	Female	45-54	7/6/2011 2:24:32 PM	My ob/gyn let me go straight from a low dose of the pill (which I had been on since 40 due to perimenopause sysmptoms) to Activella 9 months ago.  First thing I noticed was hair loss, lucky I have a thick full head of hair.  Scared me but it subsided after a couple of months. Sleeping didn't really improve and hot flashes are minimal.  Great libido my entire life has virtually disappeared.  Last 3/4 months I have been having a lot of joint pain and have definately gained at least 10/15 lbs.  I've always had an hourglass shape and now I feel thick and bloated thru the middle.  I'm considering going off to see what happens just want to make sure I do it the right way, and if I feel worse can I go back on.  I don't want to yo/yo but I'll have to wait and see. Actually, I felt better and thinner on the low dose pill but those days are over. I may look into herbal remedies if needed. 
&amp;quot;Change of Life&amp;quot; Signs	45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	2	5	Female	45-54	5/28/2011 5:31:52 PM	THE HRT ACTAVELA HAS WORKED VERY WELL FOR ME, HOWEVER, GETTING THE PILLS OUT OF THAT PACKAGE IS ALMOST IMPOSSIBLE.  OTHERWISE, I HIGHLY RECOMMEND IT.
&amp;quot;Change of Life&amp;quot; Signs	oliveoyle42004, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	5/17/2011 10:38:36 AM	I am very satisfied with Activella Oral,before use I had terrible hotflashes,night sweats.Now I may have one hotflash a day!and the night sweats are gone.I am very satisvied.
&amp;quot;Change of Life&amp;quot; Signs	Indymom, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	45-54	5/13/2011 12:24:04 AM	I'm 48 yrs. old and was told I had entered meno at 38. Symptoms didn't really start till age 43. Dealt with everything for as long as possible, but the last 6 months have been hell. I've always had baby fine hair and have been &quot;shedding&quot; off/on for awhile. This was a major concern that I shared with my dr. She put me on activella. At first I thought it was great, stopped immediately with hit flashes, helped panic attacks. By week 2 had severe sinus infection, have had back pain. By week 6-7 started having severe anger issues, not even a short fuse! By week 8 I'm ticked at the world and losing a ton of hair!! I called my dr. and explained my symptoms but didn't get a call back. I'm also having eye problems and depression. I'm stopping immediately and not trying any form of hrt. These symptoms are no better than menopause. I pray what hair I have left still stays put and what I've lost comes back. I do not recommend, if you couldn't figure it out...
&amp;quot;Change of Life&amp;quot; Signs	karen, 45-54 Female  on Treatment for less than 1 month (Patient) 	4	4	1	Female	45-54	5/8/2011 6:37:34 PM	I took this drug or 20 to 25 days.  the night sweats stopped but I gained additional dfficulties which included:  irritablitiy, extreme cramping during ovulation (which started back up) , extreme back cramps, unknown bruises in my lower leg appeared, gained weight.  I stopped and went to a nature store and begain taking a natural supplement and it is working well.
Post-Menopausal Osteoporosis Prevention	Mustang1, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	3	2	Female	45-54	5/6/2011 8:21:41 PM	After 3 weeks on Activella, I am so depressed I can hardly function; plus my skin itches in various places at random times. I tried the prempro first and it affected me the same way. I stopped taking this yesterday.
&amp;quot;Change of Life&amp;quot; Signs	karen, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	5	1	Female	45-54	4/27/2011 5:06:48 PM	I took this 4 days short of a month.  In the first week I became paranoid, fearful and felt very lonesome.  I quit taking it!
&amp;quot;Change of Life&amp;quot; Signs	uncadiane, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	5	1	Female	45-54	4/10/2011 11:44:09 AM	I have only been on the med for 5 days.  The hot flashes have reduced, but mentally I am irritable, agitated, feeling fogged; plus I had a bad headache that last all day on the second day of treatment.  I'm going to stop and see if these things disappear.
&amp;quot;Change of Life&amp;quot; Signs	lor12, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	5	2	Female	45-54	1/26/2011 10:30:13 AM	Gained 10 pounds in three weeks and in the first week was fine then began having extreme hot flashes, headaches, and nervousness. Stopped today and hoping I will regulate back to what was normal for me before the HRT.
&amp;quot;Change of Life&amp;quot; Signs	55-64 Female  (Patient) 	4	4	5	Female	55-64	1/25/2011 8:32:36 AM	I began treatment 6 weeks ago for hot flashes, brain fog/confusion,and lack of sleep. I'm noticing positive changes in all areas.  I feel much better!
&amp;quot;Change of Life&amp;quot; Signs	barbi, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	2	Female	45-54	1/16/2011 9:57:42 PM	Taking this for 'brain fog,' and it has helped quite a bit.  One month in, I have bad chronic lower back pain and leg pain, which are listed as side effects. I'm going to try 1 more month to see if the pain subsides. I am also doing excercises and stretches for my back. If the pain is not better a month from now, I'll talk to my doctor about stopping or switching medication. 
&amp;quot;Change of Life&amp;quot; Signs	kountrythyme, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	5	2	Female	45-54	12/22/2010 10:08:15 PM	I've been on this for about 2 weeks, I have not really had a bad time with hot sweats but the mood swings and ravenous appetite is awful..also the libdo is GONE. So far the Activella has helped a bit, the mood swings are still there...I'm hoping it's just the holiday thing. Otherwise I'm doing fine, no side effects...fingers crossed!
&amp;quot;Change of Life&amp;quot; Signs	jhubbert, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	4	1	Female	45-54	12/18/2010 1:09:43 PM	I was fine for about 4-6 weeks then started noticing little annoying thing like breakthrough bleeding, head aches, sleep disturbances. The side effects worsened, increased in number abruptly to the point I had to call an ambulance. I thought I was having a heart attack. I quit taking them and I feel fine. I'm expecting the hot flashes to start and the dryness to be a problem again- but I'll deal with it naturally. Better to be around with menopausal symptoms than not be around at all. HRT's are definately off my list.
&amp;quot;Change of Life&amp;quot; Signs	happierforachange, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	4	Female	45-54	12/8/2010 7:28:57 AM	I have been on this for 6 months and it's been very helpful! I thought I was losing my mind and it was very scary before taking this. Within a few days I could see the difference. The hot flashes and migraines are gone. Memory is getting better and foggy brain is much better. Vaginal dryness and alot of breast tenderness, painful actually. I feel anxious but not sure that is the med. Libido is down quite a bit but it beats feeling crazy. I don't think I could live without this.
