Major Depressive Disorder	Pnwrighteous, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	45-54	6/30/2012 8:39:41 PM	My shrink switched me to 522 mg of Aplenzin from 300 ml wellbutrin and 60 mg cymbalta. I've been on it for a year. And I've never felt better. I'm finally losing weight and have a sex drive again. I've had major clinical depression for 26 yrs now. This is the best medicine I've taken so far. 
Depression	lyksherry8, 65-74 Female  on Treatment for less than 1 month (Patient) 	2	2	1	Female	65-74	4/4/2012 11:07:16 AM	I am having Nausia, headaches, dizzy, eyesight blurry, heat
Depression	klinkaz, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	4	Female	25-34	3/2/2012 11:01:12 PM	I switched from Prozac to this drug a little over a year ago.  I was on Prozac for about 10 years, but wasn't happy with the lack of libido.  I have been taking 174 mg of Aplenzin 4 days a week and 348mg three days a week for a little over a year now. I have never felt better.  Unfortunately, I think it's causing severe acne. About 3 months after I started taking it, I started getting terrible breakouts.  I'm 32 and have never had acne problems.  I have spent the last year battling cystic acne and literally trying every single treatment/remedy I can think of.  All my hormone levels are normal, so I know that isn't the cause.  I've started analyzing all my supplements and medications to see if there is a link.  I'm just realizing that Aplenzin may be the primary cause (given the timeline).  Unfortunately, I haven't seen it listed among the side effects and was curious if I'm the only one having this problem.  possible.
Depression	DWMAH, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	4	4	Male	55-64	2/7/2012 6:24:59 PM	Went over to this from Lexapro due to Lexapro side effects getting worse over time.  So far so good only one month, generally feel better, more energy, less appetite, no mood swings. 
Depression	65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Male	65-74	7/12/2011 6:45:16 AM	seems best formulation ive tried
Other	25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	5/15/2011 10:57:04 AM	Crap!  I took this medication for 3 weeks and my hair started falling out. Every time I ate something I would have severe abdominal cramps. I also had severe headaches and eye pain.  Crap! Crap! Crap!
Other	 Female  (Patient) 	4	5	5	Female		2/19/2011 12:42:35 PM	It took awhile to work, but it made a difference in my life. Much better than Wellbutrin.
Depression	35-44 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	35-44	1/9/2011 2:06:54 AM	I have had an increase in hunger that comes on suddenly and strongly. Did not have any decrease of symptoms so far.
Bipolar Depression	apenzin, 45-54 Female  (Patient) 	5	5	5	Female	45-54	12/9/2010 11:56:46 AM	
Attention Deficit Disorder with Hyperactivity	35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	12/8/2010 1:05:56 PM	I started seeing results in one week!
Depression	B, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	3	4	3	Female		11/29/2010 11:08:25 PM	Still do not feel 100%
Depression	jennerationb, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	25-34	11/19/2010 2:04:23 AM	I've been on different anti-depressants for about 10 years now. I had recently been on Effexor XR but noticed weight gain and constant trembling in my hands.  I switched over to Aplezin about 1 month ago and it's been great. I feel happier than I have in a long time, and I now have to remind myself to eat because I have little to no appetite.
