High Blood Pressure	65-74 Male  on Treatment for 5 to less than 10 years (Patient) 	5	4	5	Male	65-74	6/20/2012 6:39:29 PM	
High Blood Pressure	natjewelry@aol.com, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	1	4	1	Female		1/11/2012 11:55:38 PM	I started having hot flushes=4 per day.  now have gone up to every 2 hours.  blurred vision.
Other	Ferris123, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	9/18/2011 9:32:06 PM	I am taking this for migraines am female, and after two days I have not had a migraine even with some specific triggers. I hope this keeps the migraines away forever.  So far no side effects &amp; I don't have to worry about a prostate.
High Blood Pressure	75 or over Female  on Treatment for 6 months to less than 1 year (Patient) 	2	5	2	Female		6/24/2011 6:48:16 PM	my blood pressure is better regulated, but I hava swollen ankles
High Blood Pressure	pete, 75 or over on Treatment for less than 1 month (Patient) 	2	5	2			6/7/2011 11:14:30 PM	Swelling in legs and feet
High Blood Pressure	65-74 Male  on Treatment for 10 years or more (Patient) 	4	5	4	Male	65-74	6/6/2011 6:23:50 PM	I have been on 4mg of Cardura for over 10 years.  I stopped and my BP elevated but returned to normal after startin again.  I was told that this medication in addition to controlling my BP was to help in limiting the number of times I need to urinate in the evening.
High Blood Pressure	dartonman, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) 	2	4	1	Male	35-44	6/3/2011 11:08:18 AM	I have real issues with this med, it does not last as long as it should, and my hbp is still not under control...Im not a fan of this med, and will be consulting doctor for other choices
High Blood Pressure	Gaudium, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	65-74	3/27/2011 11:41:21 AM	Watch out during your first dose, my pressure dropped from 188/110 to 90/60 in 20 minutes. This was not a problem in later doses. 
High Blood Pressure	Sharon, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	2	3	Female	55-64	2/27/2011 2:39:42 PM	
High Blood Pressure	gemdr, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	3	1	Female	45-54	2/23/2011 9:00:52 PM	I Feel more dizzy than before. I also have blurred vision. anyone else have this? 4mg.
Enlarged Prostate	beanlover22, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	4	5	4	Male	45-54	1/10/2011 4:27:13 PM	I was taking terazosin for my BP:H, but my doctor switched me over to cardura and boy that was a godsend!  I only take it at night once daily (because it drops your blood pressure quickly) and I wake up feeling fine!  I used to have to get up 5-6 times per night with the terazosin, but I'm going to stick with Cardura for a very long time!
Other	justfeathers, 75 or over Male  on Treatment for less than 1 month (Patient) 	1	5	1	Male		10/14/2010 12:05:04 AM	I am not sure that it was this drug that has caused his problem's today, but I am not giving him this drug tomorrow until I consult with his doctor. Within an hour after taking his first pill he became sweaty, confused, pale, low BP, labored resporations and low pulse. He has other conditions that could contribute to this, such as diabetes, but his blood surgar was 121, so that was ruled out as a contributing factor. These symptoms has continued throughout the day in a lesser degree. Putting into mind his medical condition, and the fact that the only new medication he has taken in this drug, I feel confident in questioning this drug until I speek to his Primary Care, and his Cardiologist, before continuing treatment.
High Blood Pressure	dale, 65-74 Male  on Treatment for 10 years or more (Patient) 	4	5	4	Male	65-74	7/16/2010 11:26:26 PM	
High Blood Pressure	45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	4	5	5	Female	45-54	7/12/2010 1:17:48 PM	
Other	3-6 Male  on Treatment for less than 1 month (Patient) 	5	3	4	Male	3-6	5/17/2010 8:50:25 AM	My son started taking this medication about two weeks ago for a bladder issue.  He use to wet through his diaper, pjs, and sheets everynight and now that he has been on this medication he has been dry in the morning for about 10 days.  we are even looking forward to potty trainng now that he can controll his bladder a bit better.  
Other	35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	3	2	Female	35-44	4/14/2010 12:28:59 AM	I was put on this medication for my kidneys by my urologist. Ive suffered from kidney stones for over 8 yrs. I believe he thought that it would be this miracle drug for me. it was hard to adjust to and had raceing heard and nausea for 9 days into takeing it. nearly three weeks in and my head was still spinning and horrible headaches. want to give a fair shot but have now started with swelling in my ankles and it doesnt nothing for it. stil have dizzy spells alot of the time. seriously want to get off of it. 
High Blood Pressure	65-74 Female  on Treatment for less than 1 month (Patient) 	1	4	1	Female	65-74	3/10/2010 12:44:26 PM	I have been taking candesartan for 2 years, but my blood pressure has recently risen. I was prescribed 1mg doxazosin to use with the candesartan. I suffer from epilepsy which is controlled. I took one tablet only and had a seizure that same evening. I read all the drug information in the leaflet and searched the internet before taking doxazosin, but no mention was made regarding epilepsy. I have spoken to my usual pharmacist and understand that this will be reported. 
Enlarged Prostate	pcpleathercraft, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	4	5	5	Male	65-74	2/17/2010 7:28:11 PM	with Cardura i can pee----without it i can't
Other	Teritha, 45-54 Female  on Treatment for 6 months to less than 1 year	4	5	3	Female	45-54	2/3/2010 11:55:17 AM	I have been taking this drug for 9 months.  It has been very effective for my diagnosis.  However, I now have a severe rash covering 80% of my body.  Has anyone else experienced this?
High Blood Pressure	brokenold48, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	4	4	Male	55-64	1/30/2010 3:19:15 PM	My BP was going up on Cozaar and HCTZ after three years so this was added at 1mg. So far my BP is in check and I am urinating better too.  No side effects noticed so far after one month.   
Other	flyingfish182, 55-64 on Treatment for 5 to less than 10 years (Patient) 	5	5	5		55-64	1/30/2010 12:17:49 PM	Prescribed Cardura 10 years ago, post brachytherapy.  Medication works well to ease urination.  Any time I have gone off it, symptoms of weak, intermittent urine stream and not empty bladder sensation returns.
Enlarged Prostate	deano, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	3	4	1	Male	45-54	1/25/2010 9:55:16 PM	Taking for both HBP and prostate. After only 1 month it has affected my sexual desire, ability to maintain an erection, caused a dry mouth, sleepiness, fatigue, and heart palpitations. After about 2 weeks, I have also developed a persistent dry cough. 
High Blood Pressure	eleazer, 75 or over Male  on Treatment for 1 to 6 months (Patient) 	1	1	1	Male		1/2/2010 2:12:55 PM	cardura is a dangerous drug for me.  dr. wants to lower edema in ankles and lower blood pressure.  in fact it has lowered edema, but created new pain in groin and testes; last night my blood pressure went to 199, with 4 mg dose in am and 4mg dose in pm.
Enlarged Prostate	ekyhill, 75 or over Male  on Treatment for 5 to less than 10 years (Patient) 	3	3	3	Male		1/1/2010 9:46:41 PM	
Other	lucy, 35-44 Female  on Treatment for 1 to 6 months (Caregiver) 	2	2	2	Female	35-44	11/17/2009 6:36:30 PM	my husband started this 3 months ago for urinary urgency. no enlarged prostate or high BP. since then, he has become a different person. extremely depressed. hopeless, a complete change in personality. he has a horrible temper and seems as if he is someone completely different in all aspects of his personality. he also takes this medication with massive amounts of supplements. has ANYONE else had this reaction. i am desperate for an answer.
Enlarged Prostate	vair 13, 65-74 Male  on Treatment for less than 1 month (Patient) 	4	5	5	Male	65-74	11/16/2009 4:40:55 AM	will have seed surgery for prostate cancer this week so far so good dry mouth, dizzyness at times  seems to calm me [lower BP ?]
High Blood Pressure	65-74 Female  on Treatment for 1 to 6 months (Patient) 	3	2	2	Female	65-74	11/7/2009 12:38:17 AM	since my cardura was increased from 4mgs i have been having swollen feet  had anyone else?
High Blood Pressure	Gaudium, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	5	3	5	Male	65-74	9/6/2009 2:36:41 PM	Doctors tried many drugs to lower by BP without success. I was placed on a 2 mg dose of Cardura.  After my first dose of Cardura my pressure dropped from 190/94 to 116/60.  I was weak and tired for about a week then life returned to normal.  The Daily 2 mg dose of Cardura maintained my BP for almost two years, pressure increased to 180/88 and again doctors attempted to lower it with many other drugs without success.  My Cardura was increased to 4 mg each day and my pressure lowered to 136/76.  I have some of the side effects listed by others including edema of the lower legs but would rather have the side effects than be deceased.  Just a note to the record I am also taking a combination of drugs for the control of my blood pressure this combination fails the minute Cardura is withdrawn.   
High Blood Pressure	EMERSON2D, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	2	1	Female	55-64	8/21/2009 1:21:15 AM	I have been on 4 other HBP medications prior to the Cardura.  Not working to lower, so doc added Cardura.  This is probably the worst med I've been put on-----Side effects are horrendous, ie.  Extreme dizziness, nausea, insomnia, and extreme lethargy and overall bad feeling.  And no lowering of HBP.
Enlarged Prostate	noscreenname, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	5	3	Male	55-64	8/2/2009 12:38:17 PM	Did not notice advertised dizziness, etc.Ramped at 1MG to 2MG to 4MG. 2MG seemed OK short term, 4MG had issues. 4MG completely negated and reversed Androgel treatment for low testosterone, also getting up 2-3 times during the night to urinate. Backed off to 2MG per Dr. At 2MG long term noticed I wake up with &quot;long lasting&quot; hard erection. I also usually sleep through the night w/2MG. All dosages, noticed drowsy-groggy when waking up, slow to wake. Will consult Dr and probably stop treatment. Possibly back to Flomax.
Enlarged Prostate	ELMO, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	4	4	3	Male	45-54	7/7/2009 11:39:20 AM	
High Blood Pressure	joyce, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	5	3	Female	55-64	4/26/2009 2:07:04 PM	I have been taking this med for several weeks and I now have a burning sensation in my mouth and throughout my body.  Can this be from the Cardura?
Enlarged Prostate	65-74 Male  on Treatment for 1 to 6 months (Patient) 	3	5	5	Male	65-74	2/12/2009 8:50:20 AM	
High Blood Pressure	newmiccat, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	2	5	2	Male	55-64	12/3/2008 5:57:34 PM	Medication appears to do nothing even in combination with other BP meds.
Enlarged Prostate	bph, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	3	4	5	Male	65-74	10/17/2008 12:46:43 AM	
Other	Bobcat, 65-74 Male  on Treatment for 1 to less than 2 years (Patient) 	3	5	3	Male	65-74	10/16/2008 11:52:07 AM	Found myself having anxiety attacks,have to lie on my back,and take deep breaths,and they would go away.Been taking Cardura for over a year,and just started having these attacks recently.
