Attention Deficit Disorder with Hyperactivity	Kimberly Todd, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	3	2	2	Female	25-34	8/22/2012 9:56:55 PM	I have been taking Concerta for just over 2 years. Prior to my pregnancy I was taking Adderal. Once I started the Concerta I noticed my eyes seem misaligned and I get a weird blinking/ eye rolling tick. I still get agitated at times and overly anxious but it doesn't interfere with my appetite quite like the Adderal did. My weight has remained the same where the Adderal had me down to 89 Lbs, 10 Lbs too light for my height. I am also just finding out I have a combined type ADHD which causes anxiety so I may be looking at a med change soon. Hopefully the next medication will be on the first tier of my pharmaceutical plan so I can pay a $10 copay instead of $40. This new doctor is going to have a difficult time with me because I don't generally allow them to tell me what I am going to take, I research the medications and tell them what I am willing to try. I think the Concerta was given on false pretense since my old doctor in Tennessee told me it was a new kind of Ritalin. It probably time to try Dexedrine with an anti anxiety drug.  
Attention Deficit Disorder with Hyperactivity	Andretti19, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	35-44	7/18/2012 8:16:38 AM	I was diagnosed iwth severe ADD a year and a half ago and started out on concerta (36mg x 2 / day). At the time I was on a PPO health plan which allowed me to get this med at $35 co-pay. Two months later I switched to an HSA with a $3,000 deductible. Having never checked the true price of the drug before I switched, I discovered that it's over $300 a month out of pocket. Not good... So, my doctor put me on Vyvanse which was half the cost, then Adderall. My results were mixed - Vyvanse was good but severely dehydrated me. My eyes, my mouth...I couldn't drink enough water during the day. Additionally, my sex drive evaporated. And when I did have sex, I was done in two minutes. NOT GOOD. I even had my testosterone levels checked and they were very good. Adderall had less side effects but wasn't as good as Vyvanse and still far less effective than Concerta. In the end, I went with concerta and for eight months I paid the $300+ a month out of pocket. Now, back on a PPO, I take Concerta and have actually increased my dosage as my body has &quot;settled&quot; into the medication. I now take three 32mg pills a day and it is working as it did when I started.  In the end, all I can say it that it's changed my life.  (FYI - I am 38, 6'5&quot;, 245)
Attention Deficit Disorder with Hyperactivity	playingam, 19-24 Female  on Treatment for 1 to less than 2 years (Caregiver) 	5	5	5	Female	19-24	7/8/2012 12:45:35 PM	After trying many medications with his pediatrician we went to a psychiatrist that prescribed this medication.  Since then he has been a totally different person.  He is more relaxed and less angry at the world.  It controls his tempers and his outbursts and has helped him through school to stay focused in class. The only thing that I would say bad about it is that he now has picks at his finger nails that are already short enough.  I have to keep telling to stop picking his nails or hes going to make them bleed.  But WE LOVE THIS MEDICATION.. HE just turned 8 yrs old. 
Attention Deficit Disorder with Hyperactivity	7-12 Male  on Treatment for less than 1 month (Caregiver) 	1	5	1	Male	7-12	7/3/2012 12:16:23 PM	My 7 yr old son only had one dose and I had to take him to the ER because his behavior was irratic. He was running around like a &quot;mad man&quot; when the med was wearing off. As the med was wearing off, we noticed his heart was racing and he was rambling on and on about non-sense. IT DID NOT WORK FOR US, EVERY CHILD IS DIFFERENT!!!!!!!!!!!!
Attention Deficit Disorder with Hyperactivity	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	4	4	Female	45-54	6/30/2012 12:36:55 AM	
Attention Deficit Disorder with Hyperactivity	TDoyle, 13-18 Female  on Treatment for 2 to less than 5 years (Patient) 	5	4	4	Female	13-18	5/30/2012 8:29:13 PM	I have been mostly satisfied, but it gives me a loss of appetite and I never want to eat lunch, I have lost a lot of weight physically but a big part of it is that Concerta dropped my BMI too fast in a unhealthy way.
Other	Broberts, 7-12 Female  on Treatment for 1 to 6 months (Caregiver) 	5	5	5	Female	7-12	5/23/2012 10:50:22 AM	ADD. No hyperactivity. 12 yr old daughter. Went from shy, quiet, low self- asteem to outgoing, talkative &amp; a major boost in confidence. On the 27 mg. Grades improved from C's &amp; D's to A's &amp; B's. Only side effect, weight loss. 
Attention Deficit Disorder with Hyperactivity	7-12 Male  on Treatment for 6 months to less than 1 year (Caregiver) 	5	5	5	Male	7-12	5/22/2012 9:26:09 PM	i need to know if this drug can cause high blood sugar levels..i am one of the caregivers for my grandson
Attention Deficit Disorder with Hyperactivity	19-24 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	19-24	5/7/2012 9:07:08 AM	Notice, this is marketed towards adults... That being said, I don't see where some of these parents with awful grammar skills read up on these drugs before they just listen to a psychiatrist. Personally, this drug has changed my life for the better. Finished high-school with a 2.75 graduated college with magna cum laude. 
Attention Deficit Disorder with Hyperactivity	3-6 Female  on Treatment for 1 to 6 months (Caregiver) 	1	2	1	Female	3-6	4/26/2012 10:51:02 PM	My six year old was perscribed this medication. He has been taking it for a month. It seemed to make him worse in the beginning and then just didnt seem to work at all. He now has trouble sleeping and broke out in a rash because of this drug. I do not recommend for children.
