Bladder Pain	muddpuppy79, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	25-34	8/7/2012 12:48:56 PM	I was so afraid when I started reading reviews on this med. However, I was desperate and decided to try it. I started with 1 a day for a week; 2 a day for a week, and eventually 3 to avoid full blown side effects. I noticed within 2 weeks a difference with bladder symptoms being better. I do and still do have stomach upset, but better than bladder feeling like it's on fire! This med gave me 95% of my life back. (some ppl take it out the capsule and swallow the powder). They say it helps avoid stomach upset. I did not see a real difference. Hope it works for you, sorry for those it does not. Been taking since August 2010.
Bladder Wall Inflammation	45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	3	1	Female	45-54	8/5/2012 10:32:24 PM	
Bladder Wall Inflammation	25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	1	3	1	Female	25-34	7/27/2012 4:46:40 PM	Gave no relief of bladder symptoms and caused severe stomach upset and hair loss.4
Bladder Wall Inflammation	elali28, 65-74 on Treatment for 2 to less than 5 years (Patient) 	3	3	2		65-74	6/17/2012 1:06:40 AM	
Bladder Pain	wondering, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	4	2	Female	45-54	6/5/2012 4:32:08 PM	I took elmiron for IC I took the drug for 6 months then was diagnosed with breast cancer 2 months after stopping the drug. Has anyone else gotten breast cancer after taking elmiron? 
Urinary Tract Irritation	Pheffer, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	4	4	Female	55-64	5/18/2012 12:19:28 PM	I have taken 3 pills per day and have been using since 2007.  I do have blood in my stools at times and have had colonscopy with no adverse findings.  I believe this is caused by the this drug--I was off of it for a period of time and the blood in my stool stopped, but have seen it again since I resumed the medicaiton.  
Other	grandma, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	55-64	4/29/2012 1:32:37 PM	3 days on this and I was jittery, itchy, bloated, had abdominal pain and nausea, my vision was blurry and my throat hurt. I had more frequent urination and pain with urination than before taking this pill. 
Bladder Wall Inflammation	peggy,, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	2	3	2	Female	65-74	4/11/2012 6:15:10 PM	I have been on ELMIROM for 3mts has not helped yet i burn all the time,also I have a very bad  smell,its awful, does any one else have the bad smell ? this has been going on for 2 years, I had sugery net put in  for bladder,hope this med,will start working,,
Other	bowling_melinda, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	4/11/2012 5:49:16 PM	I have IC and this medicine made it alot worse because I couldn't stop throwing up and in so much pain it also gave me a bad rash on my arms so to say the least I will never take this medicine again.
Urinary Tract Irritation	elmiron, 55-64 Male  on Treatment for less than 1 month (Patient) 	4	3	3	Male	55-64	3/11/2012 6:53:26 AM	
Bladder Wall Inflammation	55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	5	Female	55-64	3/4/2012 8:33:06 AM	I have interstitial cystitis dr put me on Elmiron and it really helped the symptoms get alot better almost gone away. I feel alot better now. Been almost a year ago.
Other	35-44 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	35-44	1/29/2012 11:52:27 PM	no pain
Bladder Pain	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	45-54	1/28/2012 9:45:23 AM	I was having bladder spasms, pain and wetting the bed. I now have no pain and feel back to normal.
Other	Raechel219, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	3	3	2	Female	25-34	12/22/2011 8:43:17 AM	Always makes me feel sick to my stomache and have frequent headaches.
Bladder Wall Inflammation	Conifer, CO, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	4	4	Female	65-74	12/6/2011 8:48:23 PM	Like so many others, my life was pure hell and it took 3 months before IC was discovered.On Elmiron for 6 months @ 2 pills/day AM &amp; PM.I was originally on 4 pills and may have to go up to 3 because some symptoms have returned since I went down to 2.  My biggest concern now is I just started seeing blood in my stools and I will call my Uro/Gyn in the A.M.  Has anyone else hadthis symptom??
Bladder Wall Inflammation	Glenn, 65-74 Male  on Treatment for 10 years or more (Patient) 	5	5	5	Male	65-74	11/3/2011 9:50:27 PM	I have been taking this drug for about 10 years. I suffered with Interstial Cystitis for three years because I was misdiagnosed with prostatitis. I was on antibiotics and pain meds for three years and felt helpless. I knew I could not go on living like that. My PC suggested a new Urologist. The new doctor performed a cystocopy and found my bladder wall was fully inflamed. He started out with bladder cocktail instillations and that helped but when he put me on four Elmiron per day I was amazed. It took about 3 months for it to start working but once it did my pain was gone. I must stay away from acidic foods and drinks. Tight fitting pants on my waist can cause a problem. It is very expensive but thank God for Elmiron!!
Bladder Wall Inflammation	joan, 75 or over Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female		9/28/2011 8:18:06 AM	medication is causing migrain headachs, upset stomach, and acid reflex 
Bladder Wall Inflammation	BarbieA, 65-74 Female  on Treatment for 10 years or more (Patient) 	5	4	5	Female	65-74	8/9/2011 10:33:32 AM	Without this medication I would be not able to function.  It has reduced the number of times daily and nightly I  have to go to the bathroom. I am  able to function as if I do not have IC, although I still feel some pressure, but not pain. 
Bladder Pain	25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	25-34	8/7/2011 12:39:10 PM	I have had uti's most of my life. In 2010 I was diagnosed with Intersitial Cystitis (I.C.). I was afraid to start Elmiron because the side effects I read about. I was desperate for relief after 6 months of severe flares and pain associated with I.C. So I started off with 1 a day and each week added 1 pill until I was at the recommended dose of 3 a day. I feel this medication gave me my life back. I can eat a larger variety including Spinach Alfredo Pizza :) The only down side I've noticed is I have headaches and upset stomach most of the time. It is not enough to keep me from taking the Elmiron though. I would recommend Elmiron to anyone with I.C. Just start off slow like I did so maybe your body gets used to the med. 
Bladder Pain	AmandaCave, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) 	5	4	5	Female	19-24	7/17/2011 8:52:57 PM	I have been taking Elmiron for a year now.  Before taking this medication my interstitial cystitis was unbearable.  Now with Elmiron i NEVER have bladder pressure anymore and I can go hours with out having to urinate (which used to be unheard of for me)
Bladder Wall Inflammation	Taterbug49, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	7/6/2011 12:27:17 AM	I have been taking Elimon for several years now but have been told by my pharmacy that the manufactor of it will no longer be making the drug. Is there any other medication for interstitial cysitiis?
Bladder Pain	55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	7/2/2011 11:16:35 PM	i have interstitial cystitis and have been on elmiron since 1996 and it helps tremendously, with other rxs.  i know it works well, because a few years ago, i didn't refill the rx, for some reason.  within a short time the i.c. Pain went THROUGH THE ROOF !!!  After taking Elmiron again, the i.c. Pain, after a time went away again.  Please, keep up with Awareness, of I.C. any and all research and rxs including PAIN MEDICATION, that help those of us horribly affected by this vicious bladder disease !!! 
Other	jotto3, 7-12 Male  on Treatment for 1 to less than 2 years (Caregiver) 	3	3	2	Male	7-12	6/27/2011 10:41:13 PM	My son was diagnosed with IC at age 7 , this med worked great for about a year, then we had to add more meds because it was not working anymore. He is a bedwetter and I have now took him off everything and set alarms to wake him twice a night. (he is now 9) . So it worked great at first then seemed he got immune to it.
Other	Tori Marie, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	4	4	Female	65-74	4/9/2011 2:35:56 AM	Takes a while to work. I have intersistial cystis, UCLA IS USING IT IN THEIR RESEARCHDEPT. 
