Other	55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	1	1	1	Female	55-64	8/22/2011 3:31:10 PM	I was prescribed this forbi-Polar disorder. I have been taking it five yrs.I had back surgery,and I now have to take narcotic pain meds.Only take 4mg daily,but I find it almost impossible to stay awake during the day. Lately I have been having episodes of sleep paralisis. I am going to try to taper off,and hope to finally stop. I hate the way this med makes me feel!!
Other	 Male  on Treatment for 1 to 6 months (Patient) 	1	1	1	Male		8/24/2010 4:48:50 PM	Took this medicine a few years ago for about 2 months.  Took the prescribed dosage.  Made me very irritable and confused - which was the complete opposite of what I and my doctor were expecting.  It still bothers me when I think of its effects on me.
Other	kat, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	25-34	8/17/2010 2:02:31 AM	Within a couple of days of starting this medication for psychiatric reasons I started to talk to walls, made absolutely no sense when talking to people because I would say really odd things, wondered aimlessly talking to nothing. Then lost all my coordination and eventually couldn't talk or walk. This all happened in a matter of days.
Other	55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	55-64	3/4/2010 2:38:13 PM	This was prescribed to me for stress and anxiety disorder. It has helped tremendously. From where I was to where I am is quite &quot;calming&quot; due to this medicine.
Other	Bill'sMD, 75 or over Male  on Treatment for less than 1 month (Patient) 	1	4	2	Male		1/25/2010 9:23:51 PM	Experience has only been one week. But, after several days of use, I became sleepy; a few more days &amp; I became very sleepy and an occasional use of the drug Providgal did not help keeping me awake. -and really no additional relief for my problem - &quot;Peripheral Neuropathy&quot;. 
Other	45-54 on Treatment for 2 to less than 5 years (Patient) 	5	5	5		45-54	6/27/2009 7:00:36 PM	I take Gabitril with several other drugs for chronic major depression. It works great as part of a cocktail with Lexapro, Wellbutrin, Trazadone, and Abilify. It's well worth a try.
Other	Happy Feet, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	4	5	5	Female	45-54	6/24/2009 7:06:12 AM	I was first prescribed Gabitril by a Neurologist for nerve pain in my extremities, especially my feet, caused by Fibromyalgia, or more accurately &quot;unknown&quot; etiology. I have tried other meds from time to time, but none of them work as well as the Gabitril does. I had a bad reaction to Neurontin, so my Neurologist switched me to Gabitril approximately 10 years ago, and I now take 12 mg. every twelve hours gratefully.
Other	Person in a Fog, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	1	Female	45-54	6/9/2009 12:01:22 AM	I have suffered with insomnia for years. In the last several months saw a sleep doctor for my disorder. He put me Gabitril 4mg, and then I increased up to 12mg. For the last several months I was taking Trazadone, Ambien, and Gabitril at bedtime for my insomnia. It was a dream come true, was able to sleep though the night, woke up in the morning in a great mood for 3 months. Just in the last month, I have suffered from extreme memory loss, no short term memory, feels like my head is in a cloud, nausea all day long, and tired all the time. I discontinued the Ambien, went from Gabitril 12mg, to 6mg, then to 4mg, and still having the same side effects. Now I discontinued Gabitril all together with hope of getting rid of this medicine head I feel 24 hours/7 days a week. Want to be back to normal and get this medication out of my system. 
Convulsive Seizures	25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	3	4	3	Female	25-34	2/26/2009 4:49:28 PM	I was put on this for petit mal and grand mal seizures at 16mgs. three times daily it help but cause a continous cycle for two years during this time I was in and out of seizures. With that and loss of seizure control my doctor chose to take me off. Now off the drug my cycle has gone back to once monthly. NOT NOTED in side effects.
Other	 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female		1/5/2009 8:36:21 AM	I have been on 3mg per day for 4 months, and at first my PTSD was helped.  But in the past month, I've had HORRIBLE weird feelings, shortness of breath, out-of-body sensations.  I will never take this drug again!  It did give me decreased hunger, but that just made me even more weak and the side-effects were more potent.
