Other	45-54 Male  on Treatment for 5 to less than 10 years (Patient) 	4	5	5	Male	45-54	6/23/2012 12:03:53 AM	This is the med over the past 20 years have stopped the siezures...but now I feel worse due to dizzieness, tiredness, and loss of memory...but that's probably due to the Brain Tumor I have..Oligodendroglioma...but I don't care...as long as the siezures stop that's all that matters!!!!!
Convulsive Seizures	miked, 25-34 Male  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Male	25-34	2/3/2012 9:25:54 PM	been great on it
Convulsive Seizures	mg, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	65-74	12/8/2011 7:02:03 PM	I take keppra 500 mg 2times a day .Ihad a begnin tumer that was remved 6 month a go when can I start weining and get off this med
Other	25-34 Male  on Treatment for 2 to less than 5 years (Caregiver) 	3	3	2	Male	25-34	10/8/2011 5:46:17 PM	My husband has been taking Keppra XR for 2 years and he has become very violent as he coming out of the seizures. He has been so violent that I have been afaird around him. The violence started after a few episodes and is now after almost every episode. we have tried using Depakote Er to counteract the violence but it is no longer working so we are switching him to something else.
Simple Partial Seizures	19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	3	4	3	Female	19-24	10/3/2011 4:37:48 PM	
Convulsive Seizures	25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	3	Female	25-34	8/28/2011 2:39:34 PM	Didn't have any seizures on the medicine, but wasn't having any on the other meds they had me on either. Keppra XR made me very emotional, very mean, and made me have anxiety through the roof.
Simple Partial Seizures	Kelly, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	4	5	Female	25-34	8/11/2011 8:47:07 AM	Started taking Keppra XR after giving birth to my son.It works so well for me.I haven't had seizures for 2 and a half years now. I have been on other things but they never work. I can carry my child and not have to worry about having an episode and hurting him.I had some depression after he was born but changed my diet and started a gym. It really helped me.
Other	sylvia, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	4	1	Female	55-64	6/30/2011 5:54:22 PM	1st 2 weeks 750mg a day, increased to 1am &amp; 1pm. Still Brain Fades(just fade away not with you anymore, last 5 -10 seconds)I was ok, but still having brain fades, feeling anxious, Dr increased to 1 pill am and 2 pill pm. I'm getting very angry and upset, every emotional. I was on Dilantin, and want to go back on, I will have to do something about Bone loss with something else. Dilantin was very smooth for me.  
Other	25-34 Female  on Treatment for 2 to less than 5 years (Caregiver) 	4	5	4	Female	25-34	5/17/2011 1:02:46 PM	My husband has been taking Keppra Xr for almost 3 years along with other seixure meds. He does still have small break though seizures but the amount of seizures have gone down. He did have some violence whn he first started using it but since we switch some of his other meds that has disappered. Mainly noticed the violence after a seizure when not at home.
Simple Partial Seizures	goddess33, 7-12 Male  on Treatment for 1 to 6 months (Caregiver) 	3	4	2	Male	7-12	4/17/2011 10:13:19 AM	My son started using Keppra just last month, he started having seizures out of no where. He also has chronic asthma.and he has other medicines that cause side effects as well. I have been receiving phone calls from school about my sons behavior, he refused to do his work, moody, and very anger. He started off taken this medicine in small dosages. He has not had another seizure since starting it. But his emotional behavior has changed a lot.
Simple Partial Seizures	Robz6j6nk, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	4	4	3	Male	45-54	4/3/2011 9:40:37 AM	I have been on this med for about a year and a half. I have two major concerns. First thing that I noticed was that I become very angry, I can be fine and if something upsets me like a car pulling in front of me, i can get into a rage. It scares me. Then also I have noticed my hair is thinner. My doctor has given me a new med called Lamectil that I have not started as of yet. Seems to be more side effects with that one also.
Convulsive Seizures	arh, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	4	4	4	Female	25-34	3/25/2011 7:34:31 PM	I has quite a few mood side effect that I cannot get my doctor to address. It makes me more anxious, restless/hyperactive/talkative, I get severely angry with ease, and I have a hazy/hung over feeling in the morning when I wake up.  
Convulsive Seizures	leannaaaoreo, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	5	5	3	Female	19-24	3/12/2011 11:23:28 AM	I started taking Keppra XR after i had a seizure on my 18th birthday, it has been about 7 months now, &amp; the side effects are getting to me. I'll admit it definitely has helped with the seizures, but im terrified to miss a dose. I have vivid dreams every single night which leads to no sleep, i always have a clump of hair in my hand when i take a shower, &amp; ive become extremely depressed. I cant wait for my next neuro appointment so i can have him start weaning me off this medicine. 
Simple Partial Seizures	75 or over Female  on Treatment for 6 months to less than 1 year (Caregiver) 	4	5	2	Female		2/18/2011 9:43:14 AM	My mother has been on keppra for 6 months.  She has mood swings, sometimes depresed and physical weakness.  She also has some hair loss.  She is not herself and would rather take her chances without the medication.  Be sure to consider the side effects before using.
Additional Medication for Tonic-Clonic Epilepsy	raeinmt, 55-64 Female  on Treatment for 2 to less than 5 years (Caregiver) 	4	4	4	Female	55-64	2/14/2011 6:23:11 PM	My son has been on this drug for 2 years now. We were at our wits end. His seizures were so bad and he had just had a severe allergic reaction to lamictal. I am satisfied with it. I was afraid to try it due to behavior side effects that I had read about. Since he has autism and behavior issues anyway. It has been good. His behavior has remained stable and he is happy most of the time. He still has one or two seizures a month but they are less intense. 
Simple Partial Seizures	Jaimee, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	25-34	1/26/2011 5:03:15 PM	I have had no probloms with this medication i have been takeing it for a year and i haven't had any real side affects it works great on me. I was useing depacote for sezures for 15 years and it stoped working and gave me very bad side affects in the time that i was taking it. I stopped taking it and started useing this and everything has been great.
Other	tire of taken meds, 35-44 Male  (Patient) 	3	4	2	Male	35-44	1/21/2011 6:52:02 PM	i dont no if it has helped.i had an axiety attack and found out i had high cholesteral. ever sense then my body has been abnormal. my leftside is not right have had tingling in leg,arm and neck. sometimes i think doctor is just practicing medicine on me. i have alot of symptoms that i have read here. i am on dyalantin for epilepsy and crestor for cholesteral.
Convulsive Seizures	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	45-54	12/30/2010 10:50:34 AM	At first I was very tired, but once in my system I have had no complications. I do not recommend that you take the generic version of this medication. I was very weak, could hardly make myself walk. Asked for name brand and they have done fine.
Simple Partial Seizures	disease control, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Male	35-44	12/11/2010 12:13:59 PM	I take 3000 mg keppra 2x daily as well as 200 mg lamictol 2x daily.  This combination controls my convulsive seizure activity but not my sps activity.  I still have deja vu, memory, and vision issues.  Unfortunately, the convulsive seizure activity is controlled so well that I mentally don't take my meds because I am &quot;cured&quot;.  I then will have a grand maul seizure after missing a couple days of meds.  This med combination has worked very well for me and once I convince myself I will never be &quot;cured&quot; of my epileptic activity I should be limited to mental attributes as opposed to physical attributes.
Simple Partial Seizures	25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	3	4	3	Female	25-34	10/26/2010 9:10:05 PM	I started taking keppra and had to switch to xr still having some breakthru once every few months going to be adding lamictal xr after reading the reviews a little scared to add that drug does not seem to help with control. will be slowly increasing the dose hoping that the side effects are small. I take 3000mg of xr and will be taking 200 mg of the lamictal xr. Does anyone else take this combo and give me feedback on this. They have never been able to find a reason for me having seizures to begin with. just something that started in 2008. I do notice the side effects with keppra emotional more then anything. any info would help me out. THANKS!
Simple Partial Seizures	jhatchell76, 7-12 Female  on Treatment for 6 months to less than 1 year (Caregiver) 	4	3	1	Female	7-12	9/15/2010 6:45:44 PM	This medication made my daughter extremely emotional, she was very moody and difficult to communicate with. Just as soon as I took her off of the medicine her whole attitude changed and I got my happy child back. Definitely DO NOT recomend this, if using watch closley for emotional changes.
Simple Partial Seizures	adoug, 25-34 Male  on Treatment for 1 to 6 months (Patient) 	5	5	4	Male	25-34	9/8/2010 9:24:17 AM	I began taking this drug because of frequent sps which were exhibited through deja vu/false memories followed by severe jamais vu.  My seizures never generalized.  I am very satisfied with this medication as it has not only stopped my seizure activity but also has acted as an anti-anxiety medication as I no longer have to take Zoloft for generalized anxiety.  The only complaint I have is that now I have strange dreams that are quite vivid. They are not frightening, just strange.
Other	55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	3	4	3	Male	55-64	8/13/2010 12:15:20 PM	I take KeppraXR 1000mg once daily (at night)with Trileptal twice daily for COMPLEX Partial seizures (epilepsy).  I also have Vegus Nerve Stimulator (VNS)implanted.  Keppra has helped in reducing frequency of seizures, but not intensity.  I have been taking for three years.  Side effects include drowsiness (especially in afternoon) and  panic/anxiety, which I then MUST treat with Klonopin.  My neurologist has me continue with Keppra until and if newer med comes available.   
Simple Partial Seizures	rickybob, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	5	4	Male	55-64	8/12/2010 1:53:51 PM	I was injuried at work and suffered a fractured skull with subarachnoid and subdural hematomas. I was in trama unit and released from hospital 4 days later. neurologist said I was lucky to be alive couldn't believ hospital didn't give me antiseisure medicine. Keppra has really helped with pain and pressure in my head,ears,eyes. I have had some mini seisures but not as bad as could have been.
Convulsive Seizures	45-54 Male  on Treatment for less than 1 month (Patient) 	5	5	3	Male	45-54	8/7/2010 7:48:03 PM	
Additional Medication for Tonic-Clonic Epilepsy	Natalie, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	3	3	3	Female	25-34	4/19/2010 7:35:11 AM	I was initially diagnosed with post traumatic epilepsy two years ago and was suffering from almost daily seizures.  I was put on a relatively high dose of Keppra and the side effects initially were horrifying.  I was borderline suicidal, severely depressed, aggressive and violent towards my husband - the complete opposite to the kind of person I really am.  In hindsight I should have been taken off the medication but the doctor simply said it was a side effect.  Now, two years later I realise that whilst for some people the side effects can be unbearable (usually just in the beggining)the drug actually works and I would not come off it now.  However, do not withdraw from this medication without medical supervision or advice.  I came off it because the side effects were unbearable but didn't tell anyone and ended up in status epilepticus, ventilated for 7 days in ICU.  Dangerous.  But the drug has generally less side effects than drugs such as topamax (I couldn't talk, walk, speak or write sometimes on this drug and couldn't make even simple decisions).
Simple Partial Seizures	45-54 Female  (Patient) 	4	5	1	Female	45-54	4/12/2010 12:04:40 AM	Suffered a couple of seizures 4 years ago.  Not sure of cause.  Don't have epilepsy but am Type 1 Diabetic and had consistently high blood sugars.  Previously on Dilantin (no problem). Switched to Lamectil, now Keppra.  This Keppra XR is causing severe and continuous alopecia!  I haven't had a seizure in 3 years but doctors reluctant to take me off med.  Losing my long, thick hair is NOT FUN!
Convulsive Seizures	35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	3	3	3	Female	35-44	2/10/2010 7:14:34 PM	
Simple Partial Seizures	eross, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	3	Female	19-24	2/1/2010 10:16:57 PM	I am constantly tired but have trouble keeping a regular sleep pattern, mostly I can't fall asleep at night no matter how tired I am. I've been on Keppra XR for a year now and I still can't handle how tired this drug makes me on a daily basis.
Other	55-64 Female  on Treatment for less than 1 month (Patient) 	2	5	2	Female	55-64	1/27/2010 12:58:46 AM	I was given this med after brain surgery to control siezures.  It did control the siezures. But, it also made my hands swell.  Also, mood swing problems.
Simple Partial Seizures	red, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	3	Female	35-44	1/20/2010 5:28:51 PM	I started taking Keppra xr in June 2009 and it took care of my seizures but by August I was having panic attacks so bad I couldn't drive.I also have trouble sleeping.Now I have to take generic klonopin for the side effects from the keppra.Anyone else have problems like these?
Simple Partial Seizures	Agatha, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	3	1	Female	45-54	1/17/2010 12:10:59 AM	I am TBI survivor from 2000. I had 1 seizure in 2000 and one seizure in Dec. 2009.  I had 3 aura's in between the seizures. Dr. put me on 1000 mg Keppra XR and I had HUGE headaches 50 mins. later.  Felt like I had a CAP on my head that was WAY TOO SMALL for  me.  Reluctantly, Dr. reduced amount to 500 mg, for 1 week now.  Have headaches, less severe, every day. Even now.  I think STOPPING this medication is the best idea.  Seizures were minimal, headaches ARE daily.
Convulsive Seizures	45-54 Male  on Treatment for 1 to 6 months (Patient) 	4	4	5	Male	45-54	1/15/2010 6:34:58 PM	
Simple Partial Seizures	clg, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	4	3	Female	45-54	1/14/2010 8:50:59 AM	I thought I was crazy.  I was put on this drug after one complex seizure four days after brain surgery.  No prior history of seizures. Vivid wierd dreams, loss of appetite, sluggishness. 
Simple Partial Seizures	65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	65-74	1/5/2010 10:37:51 PM	Tried the generic levetiracetam startedhaving seizures. had to go back to keppra xr.now I pay a big price for my meds. 
Simple Partial Seizures	55-64 Female  (Patient) 	5	5	5	Female	55-64	12/29/2009 5:48:07 PM	good
Convulsive Seizures	Knobhead, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	3	5	3	Female	65-74	12/7/2009 2:24:15 PM	If I have a busy day ir two in a row I tend to break thru my meds...and have partical left side seizure with todd's parallases after.
