Other	Why Not? BP aTX, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	4/28/2012 2:53:57 AM	I have ADD not ADHD.  This medication works much better than adderall or ritalin. I've taken the non ER type and it is not as effective.  I take the ER in the morning and it lasts all day.  I can take one at lunch if I want/need to.  I do not feel speeded up anxious.  I concentrate and focus rather than start six things and only finish one.  It does not make me feel high either.  My ADD is intensified by Bipolar 1 late onset.  Some days before I got on Methylin ER I was a total mess. I got nothing done for days. And I tried. I got overwhelmed by the simplest tasks which added up to a mountain that went volcano and erupted on me. Even if the tasks were simply daily living. I was/am a professional (lawyer) this drug has allowed me to do pro bono legal work again and work part time in a non legal setting. I keep my home and life in much better order. All the while I don't feel high or amped. It has been a lifesaver. 
Attention Deficit Disorder with Hyperactivity	25-34 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	5	3	Female	25-34	1/12/2012 8:51:04 PM	
Attention Deficit Disorder with Hyperactivity	spook, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	35-44	10/20/2011 8:12:15 PM	Made more room in my brain so I can stop and focus on what I'm doing before I act on it.
Attention Deficit Disorder with Hyperactivity	Pgrad, 35-44 Female  on Treatment for 2 to less than 5 years (Caregiver) 	4	4	4	Female	35-44	12/21/2010 2:58:36 PM	My 12yo daughter has taken this med for the past 2 1/2 years. We have increased to 27mg per day (due to growth). We definitely notice a difference if she hasnt taken them for a day (lack of impulse control, fidgety, high energy). The tablets are small enough for her to swallow with minimal effort, which is a plus! She has had a significant growth spurt as she nears puberty, so difficult to tell if weight gain is due to the meds (I think mostly not). She does complain of headaches occasionally. Overall, we have been satisfied with this medication. 
Attention Deficit Disorder with Hyperactivity	suzette, 35-44 Female  on Treatment for 6 months to less than 1 year (Caregiver) 	4	5	4	Female	35-44	11/2/2010 8:04:05 AM	My son is 13 now and he has been on other meds for his ADHD and they worked just as well as the Methylin ER so the switch to this medication was mostly for economical reasons (the co-pay for the other meds was too high).It keeps my son focused and less hyperactive throughout most of the day. However, the one benefit I see to this med over the others is that his appetite has increased.  On the other meds, he barely ate and he was under-weight for his age.  Now he has gained a few pounds and has grown a few inches in the last 6 months. I think we'll stick with this one for a while.
Attention Deficit Disorder with Hyperactivity	Aspie, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	35-44	7/25/2010 11:05:41 AM	Awesome drug, have tried vyvanse, adderall concerta and focalin, the least expensive - very smooth and lasts a good 6-8 hours, so I take the IR in the afternoon as a booster.
Other	sunnyplace, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	55-64	5/14/2010 11:39:10 AM	I am using this drug for depression. I feel more energetic and optomistic after one month of 40 mg per day. My Dr. monitors my reaction, blood pressure and heart rate every month before another dose.
Attention Deficit Disorder with Hyperactivity	None, 35-44 Male  on Treatment for less than 1 month (Patient) 	4	4	4	Male	35-44	3/12/2010 4:14:15 PM	I'm 36 yrs old. ADD my whole life. I have taken Dexedrine, Adderall, and finally Vyvanse.  So far Methylin ER is the least &quot;edgy&quot;.  Seems mild while still helping me focus at work. I haven't had wierd thoughts so far like on the other meds. Feel more &quot;normal&quot;.
Other	head-still-in-fog, 35-44 Female  on Treatment for less than 1 month (Patient) 	2	2	1	Female	35-44	1/20/2010 9:04:52 AM	I suffer from depression and ADD (no hyperactivity) was taking adderall for the last couple of years and it was much more effective than this. Also I was told to take it 3xs a day and it's difficult to remember to stop what I'm doing to take it all 3xs.  I am tired all day no matter how much sleep I get and my focusing is only slightly better.
Other	MaggieMae, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	11/14/2009 10:04:44 AM	I am 51 years of age,,,I suffer from Severe Depresion and Bi-Polar Disorder.  I take this to boost the Pristiq and the Geodon.  It lifts my mood and helps me to focus on life rather tham my depression. I thank-God for this medication.  It saved my life, literally.  It makes me feel like life is worth living again.
