Birth Control	bc, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	3	1	Female	25-34	7/11/2012 8:25:53 AM	Was only on this drug for a few days and felt like I was having really bad PMS and really bad headaches. Looking into other BC options. 
Birth Control	19-24 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	19-24	6/18/2012 9:39:52 PM	No nausea, no mood swings, no weight gain.  I must be lucky
Birth Control	Angry123456, 25-34 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	1	Female	25-34	6/7/2012 5:44:56 AM	Diagnosed with 3 blood clots 2 around the brain the other in the jungular. 
Abnormally Long or Heavy Periods	19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	5	Female	19-24	6/6/2012 10:02:31 PM	Love this pill, works great and have light periods that last 4-5 days, nothing like my old ones, no longer wear contacts because of my eyes being dry which can be a side effect but Im not sure if ill change because I really like this one. 
Endometriosis	CDKR, 25-34 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	25-34	4/30/2012 2:16:39 PM	I have been on this bc pill (continuous therapy) for the treatment of Endometriosis for 13 years now &amp; I have no complaints what so ever. Since I am on continuous therapy I don't take any placebos, I finish a 21 day pack &amp; go straight to the next 21 day pack, no 7 day break.  I have only had 2 very light periods in the last 13 years, once due to extreme stress &amp; the other due to illness &amp; not being able to keep my pills down.  I have not had any problems with acne nor nausea.  Definitely would recommend this birth control for treatment of endometriosis.
Birth Control	19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Female	19-24	4/13/2012 9:40:27 AM	I've been on this for about...3 years. I hadn't had any problems with it up until recently. It was a very good pill, but now my mood swings and nausea have been getting progressively worse with this pill. Time to switch.
Other	babywish, 25-34 Female  on Treatment for less than 1 month (Patient) 	4	4	1	Female	25-34	4/4/2012 4:07:54 PM	I have been on this for two weeks now and I get horrible cramps with lots of spotting and also acne and bloating. I have been on previous birth controls before and aside from bloating I have never experienced any of these other symptoms.  
Abnormal Bleeding from the Uterus	redbrick, 35-44 Female  on Treatment for less than 1 month (Patient) 	3	3	1	Female	35-44	3/30/2012 10:37:59 PM	first mnth on nortrel. bleeding started after 1st week into it without missing any pills. had bloating, mild cramps all the time. very painful period started immediately after i finished the last yellow pill. 
Endometriosis	Courtney, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	2	2	Female	25-34	3/8/2012 7:00:07 PM	I have little to no libido at all! Before, my boyfriend couldn't keep me off of him! I'm extremely moody and I am having stomach issues (bloating, cramping, etc). My breakthrough blessing lasts for weeks. I've been on the drug for five months. 
Other	there's hope, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	19-24	12/29/2011 2:09:10 PM	very skeptical at first, i have only been using it for a month now. periods were irregular, painful, heavy, and lasted 6-7 days and very bad modd swings. since taking im not hurting, my period is very light, no mood swings. i started taking it b4 bed and it made me very naucious and sick, now i take it around 5-6pm with food and i havent been sick since.
Painful Periods	19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	12/10/2011 4:13:59 PM	I read online that this drug could cause uneasiness when you first take it but I have been taking it for a week and, touch-wood, no problem till now.
Birth Control	19-24 Female  on Treatment for 1 to 6 months (Patient) 	4	4	2	Female	19-24	8/15/2011 7:37:54 PM	Second month, thought I'd give it another go. I have always had bad mood swings with birth control, but this leaves me gray and depressed. Abnormally low libido, painful periods and tummy problems altogether, not for me. 
Birth Control	19-24 Female  on Treatment for less than 1 month (Patient) 	5	4	2	Female	19-24	7/7/2011 12:43:05 AM	I have been on this birth control for about 1 week, and so far, i am always nauseated, sometimes dizzy and i have mood swings...all of which i didnt have until i started the birth control. Im pretty sure Ill be switching to something else.
Other	Niq, 35-44 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	35-44	6/13/2011 2:19:32 PM	This medications did not work for me. I had a headache, nausea and blurred vision/floaters. I found that being very hydrated helped the side effects. 
Absence of Menstrual Periods	19-24 Female  on Treatment for 1 to 6 months (Patient) 	5	4	3	Female	19-24	6/10/2011 11:50:18 PM	Be ready to gain weight. 16 lbs for me... I hit the gym 5 to 6 days a week and even count calories, no more than 1400 a day. I hate it..
