Prevent Blood Clot with Fast Irregular Heart Rate	Jean, 75 or over on Treatment for 2 to less than 5 years (Caregiver) 	2	1	2			8/27/2012 7:39:51 AM	Red spots all around my ankles
Prevent Blood Clot with Fast Irregular Heart Rate	Helen, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	4	4	1	Female		8/21/2012 2:59:43 PM	Pradaxa was easy to use and didn't require frequent blood tests but caused extreme exhaustion which I didn't associate with the drug for 6 weeks until my doctor suggested I stop taking it and within 5 days felt much better and in 10 days had regained all my energy. I am happier with warfarin and blood tests!
Prevent Blood Clot with Fast Irregular Heart Rate	65-74 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	65-74	8/15/2012 1:47:47 PM	
Prevent Blood Clot with Fast Irregular Heart Rate	65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	3	4	Female	65-74	8/14/2012 9:05:29 PM	Diagnosed with A Fib 7 months ago. Started on Pradaxa to keep blood thin and possibly, and hopefully, prevent clot from causing a stroke. I also had two electrical Cardioversions, that required my taking and staying on Pradaxa.  I take Pradaxa two times a day...spaced 12 hours apart. I find I must eat something with it or become very uncomfortable with indigestion and burping. I do like that there's no food restrictions or frequent blood tests with this med. This will be a 'forever' med for me because of the A-Fib.  I carry my medicine info with me in my wallet.  The scary part of this med, is the potential bleeding issue.   Ask your pharmacist and doctor questions as to any other med you take interfering with this med. Ask and be aware of any drug interactions that might effect you. Be pro-active. 
Prevent Blood Clot with Fast Irregular Heart Rate	grlfrnd, 65-74 Male  on Treatment for 1 to less than 2 years (Patient) 	4	2	2	Male	65-74	8/14/2012 12:15:38 AM	For me, Pradaxa (Pdx) is good news, bad news.  I've been on and off and on coumadin since 2004.  With Pdx, since January-20011, no more occasional &quot;whooosing&quot; in my chest from afib; no more special diets; no more weekly pin pricks; no more arranging my personal schedule around my pin pricks****Bad news**** blood became too thin (last 3 months on Pdx meant that I ALWAYS had to sleep with my legs covered; had to devise a method to take my 2 doses daily of Pdx (the special bottle became a real pain); swelling of feet(it progressively got worse and worse); I had to take extra medication to counteract the swelling (it gradually became less and less effective); tests showed that my kidney function was being affected (which, it seems, is a side effect of Pdx for SOME patients); I was diagnosed with Kidney cancer in both kidneys in 2003; I was diagnosed with gout in Feb. of 2011, a few weeks after starting my Pdx regimen.  I am urinating better, now
Prevention for a Blood Clot going to the Brain	Vonya, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	4	Female	65-74	8/10/2012 11:15:22 AM	I have been taking this 9 months. When I first started for about a month I had dizziness, nausea, and blurred vision. Since then it has improved, none of these symtoms but I do have trouble urinating. I could be caused by the other drug propafenone. Would like to know if anyone else has this problem.
Prevention for a Blood Clot going to the Brain	Orangeman, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	2	1	Male	55-64	7/14/2012 2:03:56 PM	I had a small stroke and my Cardiologist put me on Pradaxa. Having great difficulty with this drug. Stomach pain, blood in stool/hemorrhoids...and the cost of this drug is ridiculous! Doc says I need it, but will need to find something else. Even after Ins this just makes our budget worse. Coumadin seems to have same issues &amp; side effects...Daily aspirin may be easier to tolerate.  
Prevent Blood Clot with Fast Irregular Heart Rate	65-74 Male  on Treatment for 1 to less than 2 years (Patient) 	4	5	3	Male	65-74	7/10/2012 8:09:11 PM	Have taken Pradaxa for a year now,my fibrollation is as bad as ever.I am getting stomach,kidney pains very acute.Persevering with it because of potential blood clots.If pain continues will go back to Warfarin
Prevent Blood Clot with Fast Irregular Heart Rate	Ann S, 65-74 Female  (Patient) 	3	3	3	Female	65-74	7/9/2012 3:11:28 PM	I was put on Pradaxa 150 mg twice a day 4/2011.  Two months ago, I had routine urinalysis and had blood in my urine - no visible signs upon urination.  5/23/12 Changed medication to 75 mg twice a day.  Will get urine tested in about 3 weeks.  Pharmacist commented that anytime you take a blood thinner, you will have blood in your urine.  I do not understand why.  My physician recommends seeing a urologist if I continue to have blood in my urine.  However, if blood will be in my urine as long as I take a blood thinner, I wonder if it is necessary for me to see a urologist.  Has anyone else had blood in urine which is not visible upon urination?
Prevent Blood Clot with Fast Irregular Heart Rate	65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	4	5	5	Male	65-74	7/8/2012 8:21:40 PM	
