Absence of Menstrual Periods in Woman Who Has Had Them	25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	4	Female	25-34	8/6/2012 8:06:14 AM	I have not had a period in 6 months, so my doctor prescribed Provera 10mg for 10 days.  On day 5 my bleeding started.  I had some cramping but not too bad.  I am a little nervous as I was told the bleed would start approximately 7 to 10 days after I was done with the medication.  However, it has done what it was prescribed for! 
Abnormal Uterine Bleeding caused by Imbalance of Hormones	35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	2	4	2	Female	35-44	7/5/2012 10:19:53 PM	
Other	ruby, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	3	3	Female	45-54	6/28/2012 8:56:45 PM	my dr prescribed this to stop my period. i was having one twice a month and heavy also
Abnormal Uterine Bleeding caused by Imbalance of Hormones	kim, 35-44 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	35-44	6/23/2012 11:29:50 PM	Felt like a million bucks on this. No brain fog or water retention, period regulated nicely--was 7-10 in length every two weeks &amp; very heavy.  
Absence of Menstrual Periods in Woman Who Has Had Them	19-24 Female  on Treatment for 1 to 6 months (Patient) 	4	5	5	Female	19-24	5/21/2012 2:47:24 AM	
Abnormal Uterine Bleeding caused by Imbalance of Hormones	19-24 Female  on Treatment for less than 1 month (Patient) 	5	4	5	Female	19-24	5/15/2012 4:49:32 PM	since i started my period , my menstrual cycle has been abnormal. it would skip 2 months and then come on for 2 days or skip 4 months and come on for 2 weeks. well recently my period was absent for about 3 months and when it finally came on it was on for 3 weeks. i ignored it because i didnt feel sick or think it was weird because i have had irregular periods all my life until i had a blood clot fall out of me the size of my palm. i went to the doctor and hour later. after talking to my doctor and having a pap, i wasnt pregnant and miscarried , i didnt have an infection, no ovarian cyst, nothing came back abnormal at all. so my doctor prescribed me Provera 10mg for daily ise for a week and the second day i stopped bleeding. i have not had any cramp or mood swing, or really any typical period symptoms. i've experienced a little dizziness but not enough to impair me from cooking or driving .
Abnormal Uterine Bleeding caused by Imbalance of Hormones	45-54 Female  on Treatment for less than 1 month (Patient) 	4	3	3	Female	45-54	5/5/2012 5:48:03 PM	
Absence of Menstrual Periods in Woman Who Has Had Them	NikidyRoo, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	3/28/2012 7:15:16 AM	My period had been absent for 6 months, after a pap-smear, ultrasound, and several blood tests came back normal my doctor prescribed Provera 10 mg/day for 10 days. 5 days after I stopped taking it my period came back. I was told to expect severe PMS symptoms and that this could be the &quot;mother of all periods&quot; but it hasn't been that at all. I didn't have any PMS symptoms, or any side effects from the drug whatsoever. It worked wonderfully for me, that said, I also had many tests before starting it that indicated there wasn't any other reason for my period stopping other than stress/hormonal imbalance. I think that these tests should always be done before Provera is prescribed. Just my 2 cents, I hope everyone has as much luck as I did.
Abnormal Uterine Bleeding caused by Imbalance of Hormones	jpo81, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	2	Female	25-34	3/12/2012 10:43:53 AM	I was given provera to help regulate my menstrual cycle. While it did the job, I become severely depressed, and almost ruined my marriage. I am returning to the doctor, and I plan on asking for something else, or an antidepressant to help with the mood swings.  
Prevention of Abnormal Growth in Cells of Uterine Lining	angry and tired of it, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	3	1	Female	25-34	2/6/2012 11:41:51 PM	I have never had a regular cycle and rarely have more than one period a year. I am not complaining, but the doctor said it puts me at an increased risk for endometrial cancer. I had taken Provera before and knew it would work with some side effects. Hearing the big C I decided to give it one more try. By day 2 of taking The medication I could no longer stand myself! I was irrationally angry and would explode over the smallest things. I was significantly depressed and decided to stop the medication on day 6 of the 10 days. I am a teacher and I can not continue this way. I have been taking Provera off and on for years, but I do not plan to take it again! 
Abnormal Uterine Bleeding caused by Imbalance of Hormones	n/a, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	1/3/2012 10:23:55 PM	No longer having period s of 35 days... good for me ... still 8-10 days every 23 days.
Absence of Menstrual Periods in Woman Who Has Had Them	smiles, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	25-34	12/28/2011 2:21:54 PM	My period did not start
Absence of Menstrual Periods in Woman Who Has Had Them	saznlil, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	5	2	Female	25-34	12/14/2011 3:59:22 PM	we have been ttc for 3 years drs put it down to weight finally refered to gynae as i had not had a period for 8 months.I was put on provera 30mg , 3 x daily and was told i would have a bleed after a few days of finishing the course. During treatment i felt extremely depressed but in fairness i was feeling low at the start after losing my dad in april, my moods were up and down and at times i felt i would explode, breast tenderness is a under statement period has now come 7 days later and im feeling less tense x 
