Other	25-34 Male  on Treatment for less than 1 month (Patient) 	1	2	1	Male	25-34	9/4/2012 6:45:55 AM	I went to the hospital for pain I was having due to my hiatal hernia. The nurse gave me IV Reglan. It did nothing to improve the pain. When I went home later that day, I felt like I had changes in my personality and was behaving erratically. What's really scary is that for the following week, I couldn't stop moving my legs when I was sitting down. Fortunately I didn't get the full blown tartive disknesia, but I can see how this drug could ruin patients' lives. Stay away from Reglan!
Headache caused by Disorder of Cranial Blood Vessels	beaner32, 35-44 Female  on Treatment for less than 1 month (Patient) 	3	1	1	Female	35-44	8/14/2012 12:45:15 PM	I HATE this drug. I took it twice before I made the link between it and the terrible side effects I had -- severe anxiety, depression, insomnia. I haven't gotten near the drug since. 
Nausea and Vomiting	ldybugxx, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	7/6/2012 12:12:40 PM	I have been on Reglan for approxiamately since 2002 and my doctor wants me to change to a presciption of pepcid I am afraid that I will get the vomiting and the heartburn back.
Prevent Nausea and Vomiting After Surgery	dans8824, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	4	5	4	Male	65-74	6/25/2012 8:55:49 PM	Prescribed for me after whipple surgery for removal of cancerous tumor from pancreas. The drug worked well for me but only relieved symptoms for a few hours.
Condition in which Stomach Acid is Pushed Into the Esophagus	sherryberry, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	45-54	6/16/2012 6:06:11 PM	Reglan makes me feel like I am druged out.I can't seem to shake the sleepy feeling off.
Nausea and Vomiting	25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	4/26/2012 10:12:36 PM	
Condition in which Stomach Acid is Pushed Into the Esophagus	ying45, 45-54 Male  on Treatment for 1 to 6 months (Caregiver) 	3	3	1	Male	45-54	4/26/2012 11:52:21 AM	My wife has been taking Reglan for 6 weeks. Now she suffered from depression, axiety, insomnia, dry mouth and weight loss. She has stop taking Reglan for two weeks now and the side effects still there. It's a horriable medicine and should be off the market. Don't use Reglan.
Stomach Muscle Paralysis and Decreased Function from Diabetes	MARJO, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	4	4	Female	55-64	4/20/2012 4:23:51 PM	INCREASE MOTILITY AND DIGESTION
Other	ellie, 55-64 Female  (Patient) 	1	1	1	Female	55-64	4/20/2012 11:18:18 AM	after taking reglan for one month i developed tremors and lost of concetration. it was horrible like a person coming off a narcotic drug. when i went to the hospital the second time all the drs and nurses said it was a common side effect of this drug. i just want people to know to be very carefull if this drug is prescribed for you. the phamplet on it says you can develop tremors after taking it for three months, well i only took it for three weeks and a nurse said she took it for three days and had this problem. please use caution in taking this drug.
Condition in which Stomach Acid is Pushed Into the Esophagus	Marie, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	5	1	Female	55-64	3/27/2012 12:53:52 PM	DO NOT take this drug. It crosses the blood-brain barrier which causes neurological problems. I experienced tardive dyskenesia: twitching of muscles in my face, mouth, feet.  The foot twitching has lasted years. I became depressed and unable to function normally. INSTEAD, take DOMPERIDONE, which does NOT cross the blood-brain barrier. You can get it from Canada. It works GREAT with NO side effects.
Other	13-18 on Treatment for 1 to 6 months (Patient) 	3	1	1		13-18	3/21/2012 1:00:32 PM	This medicine caused my daughter to become depress and recently tried to kill herself  this is poison
Other	rebecros, 45-54 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	45-54	3/9/2012 9:29:52 AM	i have been on reglan 10 mg. 2x daily since 1996  for esophageal spasms, which feel like a heart attach ( cant decipher the pain, have to go thr hospital ), weaned off 2 years ago , because the doc said too. esophageal spasms came back . went back on a few months ago, feel great. NO PROBLEMS ever with this drug, but will be alert to sighns and symptoms thanks to this site
Nausea and Vomiting	juliana, 65-74 Female  on Treatment for less than 1 month (Patient) 	4	4	1	Female	65-74	2/27/2012 7:41:17 AM	I have only been on Reglan about a month and am constantly clenching my jaw, teeth chatter and I have to wear a night guard during the day to keep from hurting my teeth or chewing on my jaw and tongue.  I am calling the Dr. today to get off of it.  There is no drug worth the risks of this drug.  It should never have been approved. 
Other	headache, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	2/10/2012 11:39:17 AM	Had a procedure with IV Reglan, I have severe tardive dyskinesia.  My Doctor said he &quot;had NO tricks left in his bag.&quot;  No I see a neurolgist.  Thanks reglan!
Other	Carolelynn , 45-54 Female  on Treatment for less than 1 month (Patient) 	5	1	1	Female	45-54	1/5/2012 3:55:12 AM	In taking reglan as prescribed for stomach pain that couldn't be controlled by Nexium, I had a horrible reaction ...TD. All of my muscles in my face froze with an occassional twitching of different muscles in my face. It was moving down into my throat. I am an ER RN and was working in the ED at onset of symptoms.  After an EKG, IV placement and the doctor ordering a CT Scan of my head, I stopped him and asked him to order IV Push Benadryl.  He ordered 50mgs and when the med was given my symptoms where gone in about 5 minutes. I was into day 3 when this happen. For whatever reason my mind took me back to nursing college and I remembered TD.....give benadryl. Reglan worked great for my stomach problem, but what an aweful side effect.  
Feel Like Throwing Up	13-18 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	13-18	11/17/2011 10:09:28 AM	I take this med for have functional dyspepsia. It has taken away most of the nausea feeling, but I am in extreme pain 24/7.  It is difficult to take 1/2 hr. before meals.  Often I feel full after taking it, and am unable to maintain an appetite.
Insertion of a Tube Into the Intestine or Stomach	need patience, 75 or over Female  on Treatment for 1 to 6 months (Caregiver) 	4	3	3	Female		11/13/2011 6:40:17 PM	suffered side effects shaking of the arms and hands
Condition in which Stomach Acid is Pushed Into the Esophagus	45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	45-54	11/8/2011 3:33:31 PM	Along with the continuous reflux, I was experiencing constipation.  This medicine seems to have regulated my bowels and my reflux is to a minimum.  I have experienced no adverse side effects.
Other	Beggar, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	10/15/2011 9:33:47 PM	experienced no side effects and I took this for over 9 years for slow stomach emptying. It seemed to work just fine, but now my dr has put me on a different med due to other people's side effects and it doesn't seem to work as well.
Stomach Muscle Paralysis and Decreased Function from Diabetes	75 or over Male  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Male		10/13/2011 12:25:18 PM	
Condition in which Stomach Acid is Pushed Into the Esophagus	dee, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	3	Female	45-54	9/30/2011 10:49:53 AM	I was very satisfied with this drug, it has not caused any tremors whatsoever, but I have been depressed and having anxiety for some time, it did not even accure to me that Reglan could be related, untill i read all the reviews. My doctor has taken me off of it and I'm glad, but still am having depression and anxiety, I've been off of the meds for 3 weeks, I hope I will get myself back together soon. I don't recommend anyone to take this drug. I now eat smaller amounts, I don't ever feel full, that sucks but is better than the drug!!!
Other	tdk, 35-44 Male  on Treatment for less than 1 month (Patient) 	1	4	1	Male	35-44	9/22/2011 2:45:54 PM	I've taken this drug for repairing an ulcer.  I only took it 3 days and thought I was having a heart attack, called 911 and everything.  Found out it was a bad reaction to the drug; raised blood pressure, poor vision, tighness in chest, numbness of left arm.  I thought I'd try something different than the drug I was taking for acid reflux-bad move on my part; should of stuck with Acephex.
Other	cookies67, 65-74 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	65-74	7/17/2011 11:43:02 AM	Ihad this drug for one day.It was in my iv for my operation. i woke up with uncontroled body movement.Sinct that happened 8 months ago i have all kinds of problems .Don't take this.It should be taken off the market. i am going to try to sue the drug company.
