Birth Control	Gilmore1983, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	3	4	1	Female	25-34	8/26/2012 8:26:19 PM	While this birth control really helped me regulate my period (always on schedule, no cramps), it had horrible side effects.  It made me so emotionally up and down it was crazy!  I was very moody and sensitive on this pill, and worst of all, this pill made my hair shed like crazy!  Everytime I showered or brushed my hair, my hair would come out. And it was not breakage because it would come out at the root!  Overall, not at all happy with this pill.  It is one thing to be grumpy all the time but another to have your hair fall out!  This is NOT okay!!!! Switching to Necon, recommended by my doctor.  Hopefully I can find a pill that won't cause this horrible side effect.
Disease of Ovaries with Cysts	35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	35-44	8/26/2012 6:22:05 PM	
Birth Control	25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	25-34	8/22/2012 7:03:54 PM	I started TriNessa 5 months ago and it has been great. Shorter, lighter periods and no cramps. Everyone's body reacts differently so give it time. Hormonal birth control effects everyone differently. In my opinion this is a great form of birth control
Birth Control	katie21, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	3	Female	19-24	8/16/2012 8:22:04 PM	Ive been taking it for 2 weeks and ive been very sick feeling ever since and very tired. After reading everyones reviews im a little worried, but im still going to keep taking it to see how it goes.
Birth Control	TrinessaMess, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) 	2	3	1	Female	25-34	8/14/2012 2:17:06 AM	I wish I had NEVER gone on this birth control because it's now going to take a while to get myself back to normal. I was on Trinessa for almost 2 years to prevent pregnancy...but otherwise I was an extremely healthy 27-year old who doesnt take any prescription drugs and practices natural medicine. Only recently did I finally relate my horrible symptoms to my birth control, so my doctor suggested that I switch brands.The Positive:  My face completely cleared up, my periods eventually became lighter/shorter, and some months I would have almost no cramps.The Negative:  As my body became overloaded with estrogen...my symptoms became worse. I gained 50 lbs. in a little over a year (I'm 5'7 and went from 140 to 190. A size 5 to a size 13). And if that isn't bad enough...my boobs started growing...3 cup sizes and they hurt ALL THE TIME. I could even see blue veins running through them and they looked gross. Then came the hot flashes. I was like a menopausal or preggo woman. The house could be 65 degrees and I'd still be hot. Not to mention the depression and mood swings. My fianc&#233;e started calling me a crazy person and I very nearly ruined my relationship several times. This was completely uncharacteristic for me...I've always been rational, loving, and happy. Not the type of person who screams and throws things across the house.I also started having pain during intercourse, spotting between periods and absolutely NO sex drive. My doctor explained that different birth control pills have different levels of estrogen and Trinessa has one of the highest. 30mcg of estrogen, whereas you can also find options for 15, 20, and 25. All just as effective at preventing pregnancy. 
Birth Control	viklyasha, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	2	Female	25-34	7/26/2012 4:06:02 AM	I was taiking it for a 5 years. Last April I developed a blood clot in my right leg. Doctor told me it is from taking TriNessa. Also made me extra moody.
Birth Control	victoriaahall, 19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Female	19-24	6/28/2012 10:37:28 AM	I have been on the pill for 2 years now and I haven't had any of the symptoms everyone else has. I started taking it for acne and it hasn't worked as well but as i got older I began to have sex and it's worked for me no problem. 
Absence of Menstrual Periods	monique, 35-44 on Treatment for 1 to 6 months (Patient) 	2	5	3		35-44	6/24/2012 9:59:56 PM	mademe have my menstral period
Birth Control	roxy, 19-24 Female  on Treatment for less than 1 month (Caregiver) 	2	2	1	Female	19-24	6/23/2012 11:40:30 AM	i recently starded trinessa i missed a period no craps no weird headaches no change of mood swings? overall i might say is working has anyone skipped a period using trinessa??? 
Acne	13-18 on Treatment for 1 to 6 months	1	3	3		13-18	6/20/2012 1:15:07 PM	I started this birth control to get rid of acne on my face and back. I am sexually active and am not pregnant yet thank god although i usually do use condoms but it has done its job when i have not. overall it has been a hellish ride for me on this birth control. ive been on it for almost 2 months now and 2 days ago i all of a sudden got the  worst acne almost boil type acne all over my back. i dont know what to do. i feel like this is a normal side effect so i am going to give this another month to work thinking that maybe this is the horrible hell i need to get over to finally get the results i want. i will post again soon to tell yall if i have any improvement. good luck to everyone! 
