Type 2 Diabetes Mellitus	Bill, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	4	5	Male	65-74	9/4/2012 11:59:20 AM	My diabetes levels are consistently lower using this drug. The side effects are frequent flatuence &amp; diarrhea, though this drug may just worsen my lactose intolerance.
Type 2 Diabetes Mellitus	ShaSha66, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	4	Female	45-54	8/14/2012 2:47:49 PM	I have been on victoza for almost 4 months with really no side effects, but now in the last two weeks having constipation and severe acid reflux. Is anyone else experincing this or have a solution because really dont want to stop taking it.
Type 2 Diabetes Mellitus	35-44 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	35-44	8/3/2012 2:57:23 PM	I have been taking Victoza for 1 year now and my A1c went from 8.7 to 6 and I have lost 35 pounds! Had trouble for the first few months with nausea, but that has subsided and I feel great!
Type 2 Diabetes Mellitus	45-54 Female  on Treatment for less than 1 month (Patient) 	4	5	3	Female	45-54	8/2/2012 9:40:05 AM	this is my 2nd week and I had no nausea, small headaches all day the first week but woke up to terrible &quot;egg burps&quot; this morning, does this go away??? Its terrible I hate eggs to start with and this is the worst thing yet.
Type 2 Diabetes Mellitus	Frieda, 65-74 Female  (Patient) 	2	5	2	Female	65-74	8/1/2012 4:41:43 PM	I have been on this drug for two years and I am concerned about the effect this will have on my throid gland and it is not curable if you get it.  My DR. is no longer in business and I take it with Lantas Insulin.
Type 2 Diabetes Mellitus	Pagraig, 55-64 Male  on Treatment for 1 to 6 months	5	3	4	Male	55-64	7/31/2012 1:32:39 PM	Have been on Victoza for a little over 30 days. statrted with 0.6mg and went to 1.2 after using up 1st pen. have just started 3rd pen (1.2mg) and only side-effects are some vertigo and mild constipation. not certain if either are related to increased dosage, but suspect the vertigo may be as my sugar has dropped from an average of 170+ to 123 for the past 30 days. I am impressed with the quick return to more normal sugar and have labs coming up in 2 weeks so will be interested in seeing what A1C will be. also take 1mg of Glimmepride after 1st meal. I hope the vertigo will pass but will discuss with Doctor after labs. 
Type 2 Diabetes Mellitus	sonjab, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	2	Female	45-54	7/23/2012 7:55:18 PM	im on my seconed week of this and i have a lump on my tounge
Type 2 Diabetes Mellitus	Puertorock, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	7/18/2012 11:53:12 AM	i have been on victoza for 4 weeks. i have lost 10 lbs and my legs were really swollen and they went down on the 2nd day of use. am on 1.2 with no side affects and i am very picky and everything makes me sick. Now i am trying to eat healthy and at least walk
Type 2 Diabetes Mellitus	Emptyfish, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	7/16/2012 10:48:39 PM	Take this drug! Although the first two weeks were terrible. I was nauseated and wretched, I kept having to cry, and had insomnia. There is a light at the end of the 2week tunnel!It really does curb your appetite. It does this by slowing down your stomach so you feel full on a quarter of a NY bagel. I was finally able to eat just 3 small saucer sized meals. I had always tried to cut down portion size before, but couldn't because i would get hungry. Not now! Drink plenty of water in little sips all day.I dropped to 1dose of lantus at night and totally cut out humolog fast acting insulin. Still take 2000 mgs metformin but was switched to the time released kind today. My numbers went from the 200's to 120 first thing in the morning and 135 2 hours after dinner. I've lost 15lbs now and i'm in my third week. I have added 2 pieces of fruit in between meals if i feel like it and a 1 inch piece of cake or pie with my evening tea@ 11pm.I can live with this as I keep loosing. I will write again to report my progress.
Type 2 Diabetes Mellitus	donnanonna, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	5	2	Female	55-64	7/16/2012 8:27:48 AM	
Type 2 Diabetes Mellitus	kk, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	35-44	7/15/2012 12:26:53 PM	
Other	Susan, 35-44 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	35-44	7/12/2012 3:10:37 PM	I take this for metabolic syndrome. I have had a good response. I feel better. I have lost 18 pounds in the first 5 months. No side effects. I guess I was lucky.
Type 2 Diabetes Mellitus	GEO, 45-54 on Treatment for 6 months to less than 1 year (Patient) 	5	5	5		45-54	6/26/2012 7:05:34 AM	I have been taking Victoza for 9 months along with 1000 mg metforman 2 x's per day and glipizde 1 x per day.  This is the wonder drug for me.  My glucose levels are in check and I have lost 30lbs. to date, have lots of energy again, and the once per day dosage is perfect for my lifestyle. 
Type 2 Diabetes Mellitus	65-74 Female  on Treatment for less than 1 month (Patient) 	4	5	5	Female	65-74	6/18/2012 11:34:02 PM	It seems to lower my blood sugar even on the smallest dosage. My sugar has been high for some time.
Type 2 Diabetes Mellitus	Leticia , 45-54 Female  on Treatment for 1 to 6 months	5	5	5	Female	45-54	6/12/2012 11:18:46 AM	It is so easy to use and it is definitely effective. I would recommend it over Byetta.
Type 2 Diabetes Mellitus	fitna2, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	55-64	6/11/2012 2:04:48 PM	I am on Victoza for 2 months, my fasting levels in the morning are anywhere from 189 to 234 and I also have a backache on the right above the waist line.  I have developed a strange red rash on my left forearm it doesn't itch, I am not sure what this is.  I really haven't felt like myself since taking this medication, no energy, I'm  tried all the time and belching a lot.  Is anyone else having some of these symptoms?  
Type 2 Diabetes Mellitus	lindy, 55-64 Female  on Treatment for less than 1 month (Patient) 	4	4	2	Female	55-64	6/11/2012 12:50:22 AM	Started 3 wks ago, had headaches &amp; vertigo the first week, as well as nausea &amp; stomach ache.  Numbers are coming down, and I have lost 8 lbs.  Really tired, feel I could sleep all day.  took with 500 mg Metformin at first, stomach upset was terrible so stopped the metformin.  Also taking Gliclazide in the morning.  Will hang in there, but this is not fun.  Needles don't hurt, lancets are much worse.  Really expensive.
