Medication Treatment for Healing Erosive Esophagitis	35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	7/31/2012 1:52:34 PM	I am amazed with how well Zegerid has worked and fast too!
Other	nettas, 45-54 Female  on Treatment for less than 1 month	4	5	3	Female	45-54	6/18/2012 3:35:35 PM	What I noticed is the tiredness.  It helped to relieve my sensitive stomach,,food allergies, and frequent stomach upset but I would get so tired in the afternoons at work I could fall asleep typing.  I run every morning so I would take it right before and was fine~ but the afternoons ..just horrible fatigue....
Condition in which Stomach Acid is Pushed Into the Esophagus	happy, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	4	Female	55-64	4/20/2012 11:41:26 AM	very satisfied with this product seems to work better than others for me. only concern is taking it long term. have to check with my doctor.
Condition in which Stomach Acid is Pushed Into the Esophagus	Blondie, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	2/2/2012 4:32:49 PM	I have had acid reflux for 4 years now.  Started taking Zantac and it seemed to stop working after a while.  The burning, throwing up, gurd, etc. all came back.  I tried Zegrid and it's a miracle drug.  I can now eat chocolate, drink orange juice, had soda and fruit.  Amazing.  I also have blockage in my throat and it seems it's a little more relieved.  I can eat and it doesn't come back up.  Thank you manufacturer of Zegrid. 
Condition in which Stomach Acid is Pushed Into the Esophagus	55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	55-64	12/27/2011 2:18:27 PM	It has worked so well for me except the sodium content cause my ankles to swell.
Condition in which Stomach Acid is Pushed Into the Esophagus	neesy, 7-12 Male  on Treatment for 2 to less than 5 years (Caregiver) 	5	5	5	Male	7-12	11/1/2011 5:45:57 PM	I use this med. for my son, who has GERD.  Before he was in so much pain at times.  He ended up at the hospital twice because of the pain.  He would have choking spells as well.  Since he started the medication, he is like a new person.  He does not have as many choking spells and the pain is almost non-existent.  He has no side effects from the medication.  It has really helped him so much.
Conditions of Excess Stomach Acid Secretion	bobbyjus, 65-74 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	65-74	10/16/2011 7:45:27 PM	I just tried this for the first time. It does not work.
Condition in which Stomach Acid is Pushed Into the Esophagus	sgreg, 55-64 Female  on Treatment for less than 1 month (Patient) 	3	4	1	Female	55-64	8/24/2011 3:09:48 PM	after 2 days on Zegrid I have been having flu like symptoms tiredness, body aches, headaches, and nausea.  Will not take it anymore
Condition in which Stomach Acid is Pushed Into the Esophagus	75 or over Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female		7/2/2011 2:26:48 PM	very good relief
Condition in which Stomach Acid is Pushed Into the Esophagus	playfulatheart63, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Female	45-54	5/24/2011 7:06:59 PM	My Gastro had me on every prescribe medication. Then He decided to try this. As I as well had surgery to try and control the acid reflux problem, which did help) But Zegerid in the powder form worked best for me. Some side effects but it is worth it. This is the FIRST time I have remarked on any medication.But again for what ever reason the pills where not effctive as well as the powder form for me. And it is instant relief within mins.
Other	Luca, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) 	1	1	1	Female	35-44	4/11/2011 2:23:37 PM	How long have you been taking it?  Are you prescribed long term?
Condition in which Stomach Acid is Pushed Into the Esophagus	Kristal7, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	25-34	3/28/2011 1:39:06 PM	WONDERFUL! I have been on this medication for a little over 3 years now and it has done wonders for me.  No more waking up in the middle of the night with chest pain/burning sensation. 
Condition in which Stomach Acid is Pushed Into the Esophagus	blueyes, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	45-54	3/17/2011 7:21:37 PM	I took for 14 days and it did not relieve my symptoms at all.  I continued to have heartburn and acid reflux daily while taking Zegerid.  Also had the lump in the throat feeling.  I finally went to my doctor, who started me on Nexium (free samples), and within 3 days I had relief.   Now seven days later I am symptom free.
Inflammation of the Esophagus with Erosion	GERRD, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	55-64	2/4/2011 1:23:55 PM	I am worse off.
Condition in which Stomach Acid is Pushed Into the Esophagus	Flo, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	3	2	Female	55-64	2/2/2011 11:18:13 AM	I have been on PPIs for 10 yrs now. They all work for a few weeks but then the side effects take hold and then I switch to another one.  Zegerid was good for me for about 3 weeks - I started to experience burning in my chest - chest pain - nausea - &amp; then diarrhea. I have had a cardiac cath because of all the chest pain I have had - about 2 yrs ago - and no cardiovascular disease was found.  I have GERD - &amp; I am now to the point of contemplating GERD surgery because I cannot be on these meds for the rest of my life. It helps the herat burn - but too many side effects that will shorten your life ( low B12 - low Calcium * Vit D ) PPIs are really only for short term use. 
Stomach Ulcer from Aspirin/Ibuprofen-Like Drugs Prevention	19-24 Female  on Treatment for less than 1 month (Patient) 	4	1	1	Female	19-24	1/9/2011 12:57:21 AM	Although this did take care of my bleeding ulcer I had, it has caused me EXTREME DIZZINESS to the point I call in sick to work and can't stand up
Condition in which Stomach Acid is Pushed Into the Esophagus	dee, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	4	5	Female	45-54	11/21/2010 6:36:13 PM	I have been very pleased with zegerid it has helped me tremendously with awful belching and gas All medications have risk I SAY IF YOU READ ALL THE WARNINGS YOU WOULD NEVER TAKE IT 
Medication Treatment for Healing Erosive Esophagitis	55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	55-64	10/25/2010 11:11:48 AM	Made a major difference
Condition in which Stomach Acid is Pushed Into the Esophagus	65-74 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	65-74	10/18/2010 10:52:25 AM	I am very impressed with this medicine. It has really helped me.
Other	35-44 Female  on Treatment for less than 1 month (Patient) 	5	1	5	Female	35-44	10/17/2010 6:42:47 PM	Zegerid worked for me from the first dose
Condition in which Stomach Acid is Pushed Into the Esophagus	gary, 65-74 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	65-74	10/4/2010 9:17:01 PM	have had two surgerys for acid reflux zegerid is the only thing that helps
Other	SL_Will08, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	9/27/2010 9:49:22 AM	I suffer from Dyspepsia which consists more of a tighness/pain within the stomach muscle. The pain can last up to a week as long as I continue to feel any amount of stress. I decided to try an over the counter prescription for Acid Reflux and selected Zegerid. I am on my third day and it works great! I am not experiencing any side effects. 
Condition in which Stomach Acid is Pushed Into the Esophagus	m.e, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Male	45-54	9/8/2010 6:56:43 AM	CONSTIPATION,,,BIG ENOUGH TO BE HORSE PILLS!!
Other	55-64 on Treatment for less than 1 month	1	1	1		55-64	8/18/2010 4:47:46 PM	TV ads for this product are awful. The hairless male with different paints is offensive and I turn the channel each time an ad comes on.Get a grip with marketing and bringing this product to the market with some professionalism.
Condition in which Stomach Acid is Pushed Into the Esophagus	65-74 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	65-74	8/8/2010 2:39:26 PM	I called the pharmaceutical company and they said I shouldn't take more than 14 days.  I have been on it for 50 days.  I have had wonderful results - should I discontinue for any specific reason?
Other	Rcmark7, 35-44 Female  (Patient) 	4	3	1	Female	35-44	7/29/2010 3:01:12 PM	It was effective and worked quickly, however it made my hands swell so badly that I had to stop this medication.
Condition in which Stomach Acid is Pushed Into the Esophagus	Scared of Zegerid, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	5	5	1	Female	65-74	7/20/2010 5:43:15 PM	This medication helped me a lot re my GERD and esophagitis.  The problem is the side effect.  I get very tired and dizziness occur that seem like I had a seizure so I was taken by paramedics to emergency.  Might belief is it depleted my B12 in my body.  I was seen by cardiologist, neurologist, endocronologist and could not find anything wrong.  I had my small and large intestine cut off for some digestive problem.  From then on, I had to get B12 shot. It did deplete my B12 in my system. 
Condition in which Stomach Acid is Pushed Into the Esophagus	25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	7/15/2010 11:21:31 AM	I was getting sick every day due to heartburn and esophagus inflammation (due to the heartburn). I sometimes could not swallow food. This drug stopped the pain the first day, and I continued to improve by taking 1 per day with a meal for about 2 weeks. I highly recommend Zegerid.
Condition in which Stomach Acid is Pushed Into the Esophagus		5	5	5			7/13/2010 2:48:21 PM	 Used other reflux drugs that worked for a short time but Zegerid is the best so far. I don't have any adverse reactions to this drug except maybe a tiny stomach ache once and awhile. I recommend this drug highly.
Condition in which Stomach Acid is Pushed Into the Esophagus	dlk32 , 25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	4	5	Female	25-34	7/9/2010 10:21:49 AM	I do have acid reflux but I am also significantly overweight.  I am losing weight, and half way through the second bottle of zegerid.   It works wonderfully, better that rx meds that I have taken in the past.  It really takes away the burn and pain associated with heartburn.  Definitely would recommend this to anyone with frequent heartburn 
Condition in which Stomach Acid is Pushed Into the Esophagus	lorrainehsmith, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	5	1	Female	45-54	7/6/2010 6:01:12 PM	I'm to a point now where the side effects outweigh the initial issue.terrible stomach pain, diarrhea and nausea. 
Other	Gayle312, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	6/29/2010 2:25:34 PM	This worked great and immediately! I could sleep through the night without waking up from heartburn. I can't find why I have to stop after 14 days and wait 4 months to take it again. My heartburn is back.
Condition in which Stomach Acid is Pushed Into the Esophagus	Wicked27, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	25-34	6/7/2010 10:37:28 PM	I take 1 caplet a day and have not had a single symptom of heart burn or reflux since. It was been 3 months. I did have some liquid come up into my throat the other night, but it didnt burn and leave me gasping and throwing up like in the past, I was able to go right back to sleep
Condition in which Stomach Acid is Pushed Into the Esophagus	Jolkay, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	4	2	Female	65-74	6/3/2010 2:09:22 PM	Somedays are okay but other days, maybe I drank something too soon or didn't take enough water with the pill but it hurts so bad, as if I had never taken the pill. Tums, milk nothing really helps.
Condition in which Stomach Acid is Pushed Into the Esophagus	nbrlady, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	4	1	Female	45-54	5/21/2010 1:00:58 PM	The first day I took this I thought I had found my miracle. Day two I was vomiting, had stomach cramping, diarreah and UTI. I don't recommend using.
