High Blood Pressure	mar, 75 or over Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female		8/17/2012 2:59:00 PM	
High Blood Pressure	65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Female	65-74	6/4/2012 8:21:45 PM	I have been taking this medication for a number of years without problems but in the last 4 months I have been experiencing pretty annoying dizziness; I have been through 3 MRI's and 2 MRA's, all have had normal results. I am now concerned that this medication could be the cause.
High Blood Pressure	Shirls, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	55-64	5/11/2012 10:44:22 PM	This Med was keeping my BP down in normal range. Now that I am losing weight and swimming 5 x a week, I am experiencing lowthan usual blood pressure numbers, like 109/65and 107/62 and 106/64 Is this too low? I am seeing my doctor mid-June 2012. Sometimes I feel dizzy and faint when it is low. 
High Blood Pressure	65-74 Male  (Patient) 	4	5	3	Male	65-74	5/2/2012 10:56:15 AM	
High Blood Pressure	Warzo, 65-74 Male  on Treatment for 5 to less than 10 years (Patient) 	4	5	3	Male	65-74	4/10/2012 6:51:50 PM	Took 5-20 2 x's daily for five years with great results.  Insurance switched me to 10-40 1 x per day and I have a marked increase in BP from 128/70 to 160/82 on average. Now have ringing ears and rapid heart beat. Going to see the Doc for a change. 
High Blood Pressure	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	2	2	2	Female	45-54	4/1/2012 10:58:18 AM	
High Blood Pressure	45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	5	4	Male	45-54	3/26/2012 9:16:46 AM	Effectively lowered my BP but after a month am starting to notice vision changes.  Will be talking to Dr. about this today.   
High Blood Pressure		5	5	5			3/8/2012 1:57:30 PM	
High Blood Pressure	55-64 Female  on Treatment for 2 to less than 5 years	5	5	5	Female	55-64	2/12/2012 1:50:05 PM	it's changed my life
High Blood Pressure	TXman, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Male	45-54	2/3/2012 1:50:09 AM	Doctor prescribed amlodipine in conjunction w/ lisinopril, since lisinopril by itself wasn't lowering BP .  Both keep my BP down, especially after exercising.  Didn't seem to have any side effects; other than initially getting lite-headed after standing up too fast; libido is normal.  I don't really follow HBP diet guidelines.
High Blood Pressure	Cupper, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	3	5	4	Male	65-74	1/25/2012 10:12:28 PM	Pressure still at the high end (179/83). Also using atenolol.
High Blood Pressure	dippidy, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female		1/10/2012 12:48:27 PM	I was taking amlodipine besylate for some time when I finally realized that the swelling in my feet and ankles might be due to that.  I had my doctor change to another med and immediately the swelling stopped and I have no longer had that problem.  My husband takes it and it does NOT cause him any swelling.  
Other	ktizzle94krista@aol.comm, 13-18 Female  (Patient) 	1	1	1	Female	13-18	1/5/2012 1:06:38 PM	I cant find the name for this big pik bd pill! (bipolar mania)
High Blood Pressure	55-64 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	55-64	12/7/2011 9:04:02 AM	bad stomach cramps, indegestion
High Blood Pressure	doll34mom, 75 or over Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	3	Female		10/8/2011 7:58:52 PM	I am currently taking amLODiPine Besylate along with .81mg aspirin and a  diuretic for swelling of my legs. From the beginning I have suffered from insomnia only getting 4 to 5 hours of sleep at night. The doctor then prescribed .5mg daily of Ambiem. I have been doing this for two years. My symptoms are headaches, nausea, upset stomach, heart pounding during the night and always tired. I either switch doctors or medicine. The doctors offers no solution and when I talk to him I get the impression that its normal.  I get the impression that 'he knows best' attitude. 
High Blood Pressure	55-64 Male  on Treatment for 1 to 6 months (Patient) 	1	4	1	Male	55-64	10/7/2011 8:27:28 AM	this medication is not lowering my blood pressure.
High Blood Pressure		2	3	3			9/20/2011 9:45:05 AM	
High Blood Pressure	mick387, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) 	2	4	1	Male	55-64	7/24/2011 12:56:00 PM	tried sleepy don't feel like doing anything life is not too good with this drug and I really don't know what else to take my doctor has tried a few other drugs they work for about 6 months and then they quit working or they start causing me problems I go to a family doctorI was wondering should I go to someone the high blood pressure is their specialty and if so what are they called 
High Blood Pressure	Confused, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Male	35-44	6/22/2011 3:17:43 PM	Four years of usage. Very good results. No obvious bad reactions. Low libido but I am not sure if the medication is the culprit or just not turned on by spouse after many years of marriage. I know I could go all night with new &quot;receptor&quot;.
High Blood Pressure	65-74 Male  on Treatment for 5 to less than 10 years (Patient) 	4	4	4	Male	65-74	5/6/2011 2:21:29 AM	not working as well after many years.
High Blood Pressure	amlodipine, 75 or over Male  on Treatment for less than 1 month (Patient) 	2	2	1	Male		4/26/2011 5:25:10 PM	makes me dizzy when i bend down
High Blood Pressure	sam, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	65-74	4/5/2011 6:35:56 PM	
High Blood Pressure	CC, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	3	1	Female	55-64	3/28/2011 4:33:40 PM	Drained all the life out of me!  Gives me headaches, dizziness, gas.  It's an awful drug, getting off out it ASAP.
High Blood Pressure	Joe, 75 or over Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male		3/6/2011 3:40:07 PM	This medication has completly controled my high BP first time in the last 20 years .
High Blood Pressure	45-54 Female  on Treatment for 1 to 6 months	3	3	3	Female	45-54	2/25/2011 1:44:32 AM	
High Blood Pressure	65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	4	5	5	Male	65-74	2/21/2011 2:20:13 PM	
High Blood Pressure	55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	4	5	5	Male	55-64	2/8/2011 10:11:00 AM	
High Blood Pressure	Bev1, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	2	1	1	Female	55-64	2/6/2011 10:41:07 PM	I am getting lots of cramps which is a side effect. calling my doctor tomorrow.
High Blood Pressure	25-34 Female  on Treatment for less than 1 month (Patient) 	4	5	3	Female	25-34	2/6/2011 9:33:10 PM	i havenot been on the medication long but im keeping a killer headache that will not go away , anyone else having them too? i guess the medication is working bp i sthe lowest i have ever had 117\87 never been that low 
High Blood Pressure	55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	3	3	3	Male	55-64	2/2/2011 7:04:44 AM	Here are a few examples of my side effects. Ringing Ears--Tired--sex drive possibly impacted. BP still relatively high (lower number high 70s to low 90s). Thank you.
High Blood Pressure	45-54 Female  on Treatment for less than 1 month (Patient) 	3	5	1	Female	45-54	1/6/2011 7:59:48 PM	After 1 day of use, I had hives all over my body.  Calling doctor tomorrow to get something different.
High Blood Pressure	65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	3	3	3	Male	65-74	1/6/2011 6:35:28 PM	
High Blood Pressure	grendle300, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	3	Male	55-64	12/30/2010 5:30:24 PM	
High Blood Pressure	GUNN1924, 75 or over Male  on Treatment for 6 months to less than 1 year (Patient) 	5	4	4	Male		12/9/2010 2:03:38 PM	
High Blood Pressure	55-64 on Treatment for 2 to less than 5 years (Patient) 	5	5	5		55-64	11/26/2010 9:37:17 PM	Very Good
High Blood Pressure	Duron, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	1	Male	45-54	10/9/2010 6:37:46 PM	This medication is great for my BP but has all but destroyed my sex life!
High Blood Pressure	45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	45-54	9/12/2010 7:05:58 PM	Always good readings day or nite.
High Blood Pressure	robhangs10, 45-54 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	45-54	8/26/2010 8:37:04 PM	Severe head ache pain...Veins above both eyes swelled up. effected vision. Very difficult to drive. Eyes swollen for 3 to 4 days.
High Blood Pressure	AMLOD/BENAZE, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	55-64	8/25/2010 7:02:32 PM	
High Blood Pressure	Jennyrsick, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	1	1	1	Female	45-54	8/16/2010 8:48:12 AM	
High Blood Pressure	need to know, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	4	5	5	Female	45-54	8/5/2010 9:51:41 AM	What are the side effects of long term use for this drug?  
High Blood Pressure	Betty, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	4	Female	55-64	7/19/2010 9:27:24 PM	Took Amlodipine alone for 2 years.  Diastolic remained in 80's although Systolic below 120.  Changed to this drug 6 months ago.  Completely effective in keeping BP below 120/80.  Some dry cough at night.
High Blood Pressure	ljc, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	5/26/2010 3:06:42 PM	Initial therapy required an adjustment with my body some dizzinezz at first but improved
High Blood Pressure	Abnranger1997@Aol.com, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	4	4	4	Male	65-74	4/24/2010 8:52:44 PM	Dizzy
High Blood Pressure	jfleming, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	3	3	1	Female	45-54	4/11/2010 1:32:13 PM	Was taking Lotrel,switched to Amlod/Benza.I have had several problems.irr heart beat,severe swelling of legs and ankles,some swelling of hands as well.Trouble with the taste of food sometimes,dry mouth.very low sex drive,i could go on and on.Please consider not taking this drug,for it will work fine for a while then the symptoms start to show,if they dont show up as soon as you begin the medication.Will talk to my doctor,want back on Lotrel.Dont care what IT COST. 
High Blood Pressure	tim, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	4	Male	45-54	4/10/2010 7:20:14 PM	
High Blood Pressure	GDDeClue@Yahoo.com, 55-64 Female  on Treatment for 2 to less than 5 years (Caregiver) 	1	1	1	Female	55-64	3/20/2010 9:35:46 AM	Coughing
High Blood Pressure	joeys, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	4	4	4	Male	45-54	3/12/2010 12:51:22 PM	Switched from Aceon which was not working to current meds 5-20 which seem to be lowering my pressure well.  Taking for about 1 year.
High Blood Pressure	LA TERRY, 65-74 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	65-74	3/3/2010 1:40:44 PM	SIDE EFFECTS,DIZZINESS,NAUSEA,SHAKINESS,HEADACHE. PREVIOUS MED.AMLODIPINE,DID NOT HEVE ANY OF THE SIDE EFFECTS,DONT LIKE THE WAY THE COMBINED DRUGS MAKE ME FEEL,CANT FUNCTION NORMAL!
High Blood Pressure	Fdimicco, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	2	2	2	Male	45-54	2/25/2010 9:53:01 AM	Here are a few examples of my side effects.Weight Gain--Ringing Ears--Cramps in ankles(weird parts of body)--Tired--Dizzy--BP still 146/87 a little high?--no sexual drive.
High Blood Pressure	Wendy, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	2	Female	55-64	2/13/2010 12:14:18 AM	I was taing Lotrel but my insurance company switched me to this drug, most likely due to cost. Since starting this drug I have been experiencing an extremely sore throat and tiredness and have had some gum bleeding. I was doing well on the Lotrel and it's a pity our health is governed by the insurance companies. I am asking Dr. to switch me back to Lotrel.
High Blood Pressure	45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	4	4	4	Male	45-54	2/12/2010 2:17:39 PM	
High Blood Pressure	45-54 Male  on Treatment for 10 years or more (Patient) 	1	1	1	Male	45-54	2/9/2010 5:36:12 AM	
High Blood Pressure	pcbeaverj2go3q, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	55-64	2/6/2010 3:11:01 PM	
High Blood Pressure	Ferdtsor, 65-74 on Treatment for 1 to less than 2 years (Patient) 	4	5	2		65-74	2/2/2010 4:46:20 PM	I have been taking this drug at 10/20 strength for 1+ years after using atenolol for 10 years. My BP is nicely controlled; however, the sex drive and ability to function sexually have been destroyed. How can I return to being a &quot;normal&quot; male? 
High Blood Pressure	fainting, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	4	5	4	Male	65-74	1/22/2010 2:17:12 PM	Taking this 5/10 for BP with Diltiazem HCL 60mg for A-Fib for 5 years. After taking a nuclear stress test BP dropped 60/40 after excercise and would not come up without saline IV Afraid I'm over medicated.
High Blood Pressure	Fdimicco, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	3	3	2	Male	45-54	1/22/2010 8:44:28 AM	Since taking this drug I have had persistent ringing in my ears, if anyone else has had this problem please let me know.
High Blood Pressure	25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	25-34	1/11/2010 9:42:15 PM	
