Other	75 or over Male  on Treatment for less than 1 month (Patient) 	4	3	5	Male		9/3/2012 6:32:12 PM	Although Google tells me not to use it near my nose, I must squirt it up both nostrils to prevent allegy coughin and spitting up.Those are the instructions.  I found it to be an enormous help to my allergy.
Reddish Nodules Arranged in a Circle On the Skin	55-64 Male  on Treatment for less than 1 month (Patient) 	3	4	3	Male	55-64	3/21/2012 8:07:21 PM	
Genital Itching	55-64 Male  (Patient) 	5	5	5	Male	55-64	1/31/2012 12:15:20 PM	When ever I have jock itch I use this and it's gone the next day,it also works wonders for athletes foot.
Atopic Dermatitis	Babawawa, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	65-74	12/30/2011 4:31:08 PM	Hasn't made any difference in itchiness.
Rash	Nana, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	7/10/2011 8:51:15 PM	Prurigo diagnosis, after one YEAR of seeking a solution, a THIRD dermatologist prescribed this mediation.  I am thrilled!  The itchiness is nearly abated!  The lesions are healing!  Couple this w/ OTC Allegra during the day &amp; hydroxyzine HCL 25 mg. at night and I am FINALLY on my way to relief.  This horrible rash was all over my body.  I hope more dermatologists get clued in about the effectiveness of this treatment.  Praise the Lord!  I feel I have a new lease on life!
Genital Itching	theysay, 65-74 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	65-74	4/14/2011 12:40:03 PM	I tried over the counter medications and they were not very effective. My Dr. prescribed this and almost immeditely it started helping.It was so great to have the itching relieved in this area.
Contact Dermatitis	Linda, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	3/4/2011 1:07:37 PM	I have had a rash on my lips for years and have tried everything.  My doc prescribed this med yesterday and within hours the swelling, burning and cracking subsided.  It's a miracle drug!
Rash	25-34 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	25-34	11/16/2010 1:48:20 AM	Two medications I am on both have side effects of causing a rash.  I broke out into a few small bumps on my forehead, the next day it was covered in rash.  My doctor prescribed this medication the redness and itching were gone within hours.  This medicine also works for my folliculitis as well.  No redness or flaking in my scalp or beard anymore.
Skin Rash that Becomes Thick &amp;amp; Discolored From Rubbing It	BAF (Patient) 	4	4	4			11/8/2010 8:14:35 AM	some kind of rash on knuckles and fingers. Docotr said it was not Psoriases but this cleared the conditon in 4-5 days. However condition returns when working in very dry areas for extended periods.
Atopic Dermatitis	35-44 Male  on Treatment for 1 to less than 2 years (Patient) 	1	2	1	Male	35-44	8/26/2010 11:12:21 AM	
Rash	LOLLIETOP, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	55-64	7/27/2010 2:22:57 PM	AFTER BEING TEATED WITH EVERTHING FOR A RASH ON MY LEG THAT MY DOCTOR SAID WAS CAUSED BY MY BEING OVERWEIGHT IN DESPARATION I USED THIS PRODUCT VIA A COI-WORKER THAT HAD BEEN WEEDING HER GARDEN AND PICKED UP A RASH FROM THE WEEDS.  BY THE TIME I LEFT WORK THE RASH HAD STARTED TO CLEAR UP.  I WENT TO MY DOCTOR AND INSISTED ON A RX.  HE PROTESTED AND SAID IT WOULD NOT DO ME ANY GOOD. SO I WENT TO ANOTHER DOCTOR.  THIS RASH IS CAUSED BY SOME KIND OF FUNGUS I PICKED UP DOING YARD WORK AND I WILL NEVER GET RID OF IT BUT WHEN THE RASH FLARES UP I ATTACK WITH THIS PRODUCT AND IT REMAINS IN CHECK FOR MONTHS ON END.  USUALLY IN THE SPRING.
Atopic Dermatitis	dasnoopy, 25-34 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	25-34	4/25/2010 10:13:41 PM	rash muscle cramps weekness pain in eyes
Plaque Psoriasis	sbaiza, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	3	5	2	Female	35-44	2/10/2010 12:18:29 AM	I've been using the topical steriod for close to 5 miserable years now and as a result have gone from a head full of beautiul, shiney, curley long hair to thinning fragile hair that I'm afraid to brush. I've noticed that though it will clear up on certain areas the plaques just reappear close to the cleared area. Though I'm 35 and balding, I've noticed in increase and darker facial and arm hair. I sincerely and strongly DISCOURAGE anyone with severe psoriasis to continue to use Betamethasone as an treatment for our illness. I've read and researched a new drug called Remicade and I'm excited to try it. Good luck to you... Sonia
Atopic Dermatitis	GregU, 45-54 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	45-54	1/24/2010 5:01:09 PM	I had very painful dermatitis in both of my ears. Flakey and crusty skin that was awful. My doctor perscribed this medicine and it took a total of 6 days to totally eliminate the dermatitis. Absolutely excellent!
Other	65-74 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	65-74	12/22/2009 4:08:21 PM	fever blisters
Psoriasis of Scalp	19-24 Female  on Treatment for 10 years or more (Patient) 	5	4	5	Female	19-24	8/22/2009 3:03:54 PM	never had any problem with this; highly recommend for scalp due to ease of use
Inflammation of Skin caused by an Allergy	55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	6/29/2009 8:40:41 AM	I have sun poisoning a very severe sunburn on my face and a itchy rash on my arms it has cleared up the sun burn and is helping the itching of the rash@ This has happened to me 3 times already wit h the sun burns! It heals it fast! Can I get a renewal with out a perscription? 
Inflammation of Skin caused by an Allergy	tammy, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	6/13/2009 5:23:19 PM	I am suffering with what is likely poision ivy, oak, or sumac. The deep pain and itch, 'unbearable', Nothing would help until I started using this cream; almost instantly,the awful itch calmed down. Aha! The Relief is amazing.
Skin Rash that Becomes Thick &amp;amp; Discolored From Rubbing It	neblett, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	6/2/2009 12:42:22 PM	the itch was so intense, it sometimes kept me awake at night. the horrible irritated skin made very self-conscious. this product worked very well, as well as very fast.  I highly recommend it!! 
Psoriasis of Scalp	45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	45-54	2/22/2009 5:08:56 PM	I had scalp itching, dandruff, and buildup of dead thickening skin on my scalp. I used this medication as prescribed and it reduced the itching, softened the scaliness, and helped reduce the &quot;snow&quot; on my shoulders. The thick scales eventually went away, and new pink scalp appeared. My hair began to regrow in stubbles where bald patches had been. It felt cool when applied and seemed to moisturize the dryness I felt. It was sometimes tedious to apply because I had long hair. My hair became greasy after applying proving hard to be removed with shampoo.Overall I was happy with the outcome of using Betamethasone Dipropionate Top Ointment.L.Woodard
Atopic Dermatitis	speedy, 35-44 Male  on Treatment for less than 1 month (Patient) 	4	5	5	Male	35-44	1/18/2009 11:24:19 PM	
Other	gr81gkar, 45-54 Female  on Treatment for less than 1 month (Patient) 	4	5	5	Female	45-54	11/18/2008 3:31:10 PM	I have an itch on my ankle that's been there for years, I've made myself leave it alone so that I didn't damage my skin. I consulted my Doctor about it and she gave me this cream to try and relieve the nerve under the skin to kill the itch all together. It has NOT killed the itch altogether but it does stop the itching while it's on (I must admit that I got sick and wasn't putting it on 3 times a day like I'm doing now that I'm well)Also, I'm only a month into the 2 months she gave. 
Atopic Dermatitis	babydoll, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	35-44	11/7/2008 8:52:23 PM	i had dermititis for weeks so bad it was driving me crazy. my doctor gave me this cream and with in two days no more itching.  wonderful stuff
Rash	45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	10/25/2008 10:10:49 AM	A rash appeared on the side of my cheek and would not go away. At first I thought it was from my hair against it at night. Went to the doctors, he prescribed this and it went away!  Highly recommended.
Rash	Birdie, 55-64 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	55-64	9/20/2008 6:25:53 PM	It has taken away the awful itching and seeping of clear liquid, which is what I was concerned about.  Is very good, but am still using it on the rash.
Reddish Nodules Arranged in a Circle On the Skin	Leonardo, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	65-74	9/5/2008 3:58:56 PM	
Rash		3	5	4			8/20/2008 3:43:49 PM	I had this rash that started out of no where on my arm. i kept thinking oh it will go away. but it got worse. i finally brought myself to the doctors after dealing with it for 2 days. and she prescribed me this medication. so far after using it for one day. the redness has gone down. and the itching has stopped. my rash is unknown. my doctor said its either poison ivy. or just a plain rash. lol i hope it goes away all together. but so far the medicine is successful. :)
Plaque Psoriasis	LouLou, 55-64 Female  on Treatment for less than 1 month	5	5	5	Female	55-64	5/4/2008 11:46:08 PM	At the age of 57  both my hands broke out with a very bad case of plaque psoriasis. I have tried many different creams ordered my my dermatologist (none worked). I'm a nurse and this condition almost made me go on disability. This cream was ordered for one of my residents by accident and was going to be thrown out. I decided to try it and within one week my hands were clear. I now feel like a greater power sent me this cream. I am so happy i hope it keeps working.
Contact Dermatitis	BECKY, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	5	3	Female	45-54	4/22/2008 8:58:53 AM	JUST STARTED WITH OINTMENT YESTERDAY, SO FAR NOT MUCH IMPROVEMENT
Reddish Nodules Arranged in a Circle On the Skin	45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	3/30/2008 9:23:43 PM	it made the swelling and blisters dry up within three days
Plaque Psoriasis	Smallz, 35-44 Male  on Treatment for 10 years or more (Patient) 	5	4	4	Male	35-44	2/16/2008 11:38:29 AM	I have severe Psoriasis (all over my body), this medicine controls it pretty good. This is the only medication I like to use. I've used it for almost 20 years.
Contact Dermatitis		4	5	5			2/15/2008 11:03:31 AM	
Rash	john blaze, 19-24 Male  on Treatment for 1 to 6 months (Patient) 	1	3	1	Male	19-24	1/22/2008 5:57:25 PM	I was prescribed the medication and it had no effect on my rash. I actually think it made it worse. I wouldn't recommend this or the generic counterpart to anyone for the fact of it ineffectiveness
