Gout	Health Improved!, 55-64 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	55-64	7/18/2012 6:23:48 PM	My first few cases of Gout was in my ankle, toes,fingers and elbow. Colchicine helps tremendously! I am afraid to travel anywhere without it. I take 0.6mg once a day. Soft bowels, no runny diarrhea, no stomach cramps - not bad at all, and no nausea. I take the medication around 9:00pm, before bedtime. Bowel movements begin the next morning. The benefits of pain relief are worth it.  Colchicine relieves MOST of the pain. I no longer take 800mg Advil/Ibuprophen for pain. Colchicine takes care of the night pain in my ankle that wakes me up around 2:00am. I sometimes have a little pain, but no pain like I had prior to my doctor prescribing Colchicine. The benefits definitely out way the risks.
Gout	65-74 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	65-74	7/1/2012 3:20:24 AM	I am female, age 65 and have had gout for 10 years.  My father, his mother and my brother also have/had gout.  I have attacks/flairs in my fingers, wrist, instep and lower spine(very rare).  I take Allopurinal 600mg. daily and take Colchicine 0.6mg daily for 5 days when I have a flair.  I have 6 to 10 flairs a year.  I go to a Rhematologist for treatment of my gout.  The Colchicine works very well for the flairs.  The Rhematologist does not want to increase the Allopurinal since it is kind of hard on the kidneys and he says I am still young-nice to hear.  I incourge everyone to go to a Rhematologist for diagnosis/treatment, that is one of their specialities.
Gout	45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	3	4	3	Male	45-54	4/3/2012 4:51:11 AM	
Other	RJNTroutdale, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) 	4	5	5	Male	25-34	3/27/2012 5:06:30 PM	I have SAPHO SYNDROME... CHRONIC inflammation/joint pain. Knees, ankles, wrists, L5, ribcage, shoulders &amp; sternum all attacked by this rare, auto immune, arthritic disease.. Colchicine is the only medication other than NOT SO FRIENDLY narcotics to give me any sort of relief. I HIGHLY RECOMMEND THIS TO ANY &amp; ALL, WITH INFLAMMATION AILMENTS!Started working for me within 12 hours. (one 0.6 mg tablet/day).
Gout	Ray L, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	65-74	3/18/2012 2:28:11 PM	Gout attacks reduced quickly
Gout	mahjee, 65-74 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	65-74	2/18/2012 1:52:00 PM	diarra badly, burning in stomach, dizzy, and sick to my stomach
Treatment to Prevent Gout	55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Male	55-64	1/27/2012 7:37:10 PM	
Treatment to Prevent Gout	75 or over Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female		11/1/2011 8:40:13 PM	I have taken colchicine for about 6 years for the prevention of pseudo gout.
Inflammation of the Joints due to Gout	75 or over Male  on Treatment for less than 1 month (Patient) 	3	5	3	Male		9/14/2011 11:34:37 AM	
Gout	Big toe Mimi, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	4	4	4	Female	55-64	8/24/2011 2:52:08 PM	i have been taking generic Colchicine for atatacks the past few years but, the last 6 months with increasing attacks more often. i just filled a new one to find out the generic is no longer available at a retail price of $15.69 for 30 pills and the only available is brand name at $177.00/30 pills. The pharmaceuticals thieves in this country are at it again.  We need reform NOW!!!!
