Inactive Tuberculosis	35-44 Male  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Male	35-44	2/17/2012 2:21:13 PM	I tested positive for TB and was put me on this medication for 9 months. the first 8 months, i didn't see any side effects. until my last refills. insomnia, numbness and uncomfortable on my right leg when driving. and it also effect my other medication i was on, including anti depression. now due to the insomnia, my depression got worst. went to see my doc. i told me there is a chance that the isonized can do something to your liver to make the anti depression less effective. now i have to take time of work due to insomnia and depression. My advise to anyone out there taking anti depression med. and want to go on isonized please consult your doc. 
Inactive Tuberculosis	Neuropathy Sufferer, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	1	1	Female	45-54	1/24/2012 4:27:09 AM	I tested positive for TB in 1998 after 6 years in Japan. I took this drug for 7 months (6 months was the standard protocol then) and it tore me up the whole time. It wreaked havoc with my digestion and I started suffering from mild nerve pain and tingling. That nerve pain became a life-changer after a series of medical procedures a few years later, and I have suffered from this ever since (more than a decade). I also had a huge nerve pain reaction in my spine years later (2007) when I took Levaquin for a post-surgery E Coli infection and I've been told it's in the same antibiotic class. I am very sorry I took this drug and I will avoid any drugs in its class if at all possible in the future.
Inactive Tuberculosis	JE1992, 19-24 Female  on Treatment for less than 1 month (Patient) 	4	4	3	Female	19-24	1/3/2012 3:35:25 PM	Foods You Can Have:1.Meats: (Cant be spoiled or pickled, aged, smoked, fermented, or marinated)  Chicken  Beef2.Vegetables: (Only allowed to be steamed or eaten raw) Broccoli (Good for the liver) Mashed Potatoes Carrots (Good for the liver) Onion (Good for the liver) Beets (Good for the liver) Cabbage (Good for the liver) Cauliflower (Good for the liver) Garlic (Good for the liver) Bell Pepper lettuce3.Fruits: (No Skin, unless organic) Apple (Good for the liver) Mango Melons Orange Pear Lemon squeezed in hot water ( For the morning) Lime Grapefruits (good for the liver) Also lots of water and exercise...  I just started this medication and was told I had to be on it for 9 months. It became upsetting, becauseI had no clue what I am allowed to eat and my doctor was no help. I spend hours figuring out things and I created a document of foods I can eat also a better view of foods that aren't allowed. It would be very helpful if someone would tell me how I can make it an attachment so others may view it. I hope the short list of foods that are allowed would help.  
Inactive Tuberculosis	Debbie, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	2	1	1	Female	45-54	9/14/2011 2:57:23 PM	have to take the drug for 9 months I am on month 2.  I already have Lupus it is making it worse.  My stomach is so messed up.  I am losing like 5 lbs. a month on it.  I already had migrains this has only made them worse.  My vision is gone.  By reading all the reviews it sounds like I still have more symptons to come.  I have been on alot of medicine before but never one that had such cruel side effect.  This is a warning this is not a nice drug at all.  If I could get off I sure would.
Inactive Tuberculosis	RoadRacer, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	5	4	Female	45-54	9/6/2011 5:44:50 PM	I was diagnosed with reactive TB after having the blood work so I could take Cimzia.  Scary thought is I haven't had a TB test since 2008 when it was negative.  I did change jobs where I interact with patients.  I came back with reactive TB.  Medicine just makes me a little sleepy in the dat but I take it at night with B-6 and all the other medications for other issues.  Give it time there are no cures over night. But if you are concerned have you doctor reorder the test to double check.
Inactive Tuberculosis	Granny B, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	55-64	8/1/2011 4:09:58 PM	I was diagosed with latent TB and started a 9 month session of this drug. I had tingly fingers, toes, restless legs, couldn't sleep, didn't want to eat, had headaches,blurry vison, and just felt horrible all the time. Then on top of everything else, I developed severe muscle cramping that lead to yet another pill-B6. I got to the point where I just couldn't gag down another pill about 8 months into my treatment, and I quit taking the meds. Now I am experiencing nausea after eating and gas, bloating, and loose stools. Don't know if that's normal or not. Liver was tested often and thankfully all was well. Through the course of the treatment, my skin was prone to breakouts, I developed dark circles under my eyes, insomnia got worse, my hair started to fall out, and I had no appetite. I've lost weight without intending to. If I had to do it over again, I would have said no to the treatment, but since I work in a nursing home and have grandkids, I didn't want to risk passing anything on to them. I'd never put myself through it again. Far too many side effects to deal with that I may never recover from.
Inactive Tuberculosis	Sandandee, 45-54 Female  on Treatment for less than 1 month (Caregiver) 	1	1	1	Female	45-54	7/4/2011 10:49:25 PM	I have been on this medication for 1 week and am ready to throw it across the room.  The bottle says that it is supposed to be a round white pill yet the ones I was given are long oblong shaped and I am not even sure I am taking the right medication.  I am a healthcare worker and have tested negative for TB for 10 years this year I tested positive. My doctor put me on this med at 300 mg doses once a day, since I am always tired, have black circles under my eyes, itch constantly, have headaches, blurred vision and have trouble concentrating.  I have yet to talk to my doctor as he prescribed the medication then went on vacation.  The pharmacy was less than helpful and I am realy thinking of quiting the medication.
Inactive Tuberculosis	temberfeld1, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	3	3	3	Male	35-44	6/24/2011 3:06:55 PM	the meds make u sleepy but it helps me be tb free. i have been taking this drug for three months. sofar so good.
Inactive Tuberculosis	19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	1	1	Female	19-24	6/11/2011 12:21:59 AM	I was put on this medication for nine months when i was around nine years old. I noticed sudden, severe hair loss at around eleven years old. After having thinned dramatically then, my hair seems to have possibly thinned  more but gradually over the next nine years. I am now twenty and have extremely thin hair. My dermatologists were never able to discern the cause of my hair loss, and seemed not to be interested in hearing about my having taken isoniazid, but I suspect this medication had something to do with it. 
Inactive Tuberculosis	25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	6/2/2011 10:29:04 AM	I was tested for TB since I was 5 yrs old and my Dr at that time said that I was in the clear. I got test almost every yr until I turn 18. But when I was pregant I tested postive. I heard about all the side effect and was nervous about taking it. I guess I will take my chances and pray that it will stay inactive and hope that my baby is TB free.
