High Blood Pressure	Ba, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	4	5	4	Female	55-64	9/5/2012 1:00:13 PM	Losartan didn't lower my bp alone, I also have to take just 5mg of Amoldipine, but together they work fine.  I don't know if I could blame water retention or tossing and turning to either drug, but possibly that or just aging.
High Blood Pressure	Troy, 75 or over Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male		9/3/2012 5:13:10 PM	I have experienced no side effects, and the drug seems to work well in reducing my blood pressure.
High Blood Pressure	nancy lee, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	4	Female	65-74	9/3/2012 2:07:44 PM	i have noticed confusion, dizziness and loss of balance when walking sometimes nausea and vomiting
High Blood Pressure	75 or over Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	3	Male		8/28/2012 11:24:51 AM	no energy
High Blood Pressure	65-74 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	65-74	8/26/2012 5:06:27 PM	
High Blood Pressure	R&amp;gt;N&amp;gt;P&amp;gt;T&amp;gt;, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	1	3	1	Female	65-74	8/26/2012 2:58:24 PM	Many side effects vertigo, dry eyes blurred vision, muscle aches, leg cramps, no lowering of BP fatigue and confusion. I was on a white generic and now the pink round type.  I am stopping it.  
High Blood Pressure	james brown, 75 or over on Treatment for less than 1 month (Patient) 	3	1	1			8/20/2012 9:05:46 PM	is this med for high blood presher ?
High Blood Pressure	Tim, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	3	3	1	Male	45-54	8/19/2012 12:33:27 PM	Stared Losartan Jan.2012 and starting to having a rash allover my body even my head and feet. I thought maybe an allergy so change everything to hypoallergenic soap, shampoo, no perfume etc. I received treatment from dermatologist but still not going away. Starting to think that cause by Losartan. Planning to see Doc. soon.  Anyone had this issues? 
Hypertension with Left Ventricular Hypertrophy	55-64 Male  on Treatment for 1 to 6 months (Patient) 	5	4	5	Male	55-64	8/12/2012 6:28:39 PM	this med has been for my  medical conditions
High Blood Pressure	babes, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	2	1	Female	55-64	8/12/2012 12:48:23 PM	
High Blood Pressure	runaround, 55-64 Male  on Treatment for less than 1 month	2	1	1	Male	55-64	8/9/2012 10:15:01 PM	I've taken Losartan Potassium 25 mg.for a week with topral to lower BP 140/90 and now its 130/63.I've had nausia,dizzy times, stomach upset, and other things not to mention. But I'm following Dr's orders. Hope it gets better with side effects. BP's down.
High Blood Pressure	carl, 75 or over Male  on Treatment for 1 to less than 2 years (Caregiver) 	4	5	3	Male		8/5/2012 7:05:45 PM	dizziness
High Blood Pressure	dmak41@aol.com, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	5	1	Female	45-54	8/3/2012 4:05:21 PM	my doctor took me off toprol and put me on this drug. and my blood pressure didnt go down. and then he put me on norvasc and my bottom number is going up.
High Blood Pressure	75 or over Male  on Treatment for 6 months to less than 1 year (Patient) 	4	3	3	Male		8/2/2012 3:46:49 AM	water retentio0n &amp; insomnia
Other	bobo243@aol.com, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	2	5	4	Female		7/31/2012 6:21:55 PM	just want to know if drug is really needed for me...want to know reason im on this drug
High Blood Pressure	JSC, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	3	5	2	Female	65-74	7/30/2012 10:45:08 AM	My doctor switched me from Diovan and I have not been satisfied with this drug.  It is ineffective and has caused swelling in my ankles and lower legs.  My doctor is considering another drug within the next two weeks.  Also, sometimes have trouble sleeping.
High Blood Pressure	bebe, 55-64 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	55-64	7/29/2012 5:14:11 PM	
High Blood Pressure	65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	1	1	Female	65-74	7/27/2012 9:47:10 AM	IS IT POSSIBLE FOR THIS MEDICATION TO CAUSE ABNORMAL BLOOD COUNT?
High Blood Pressure	Malibubaby304, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	45-54	7/17/2012 9:30:56 PM	I started taking this medicine on 24 Jun 12. My doctor changed me from lisinipril becasue of the dry cough, but it was keeping the swelling/BP down. From day 1, this medicine started giving me headaches which increased every day for approx 5 days. I stopped it for about a week then tried it again. I also noticed that I got a rash on my stomach and this week, my feet swelled so bad they didn't look like feet anymore. I'm not taking this again and will try to see the doctor this week.
High Blood Pressure	ras, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	3	5	3	Female	65-74	7/2/2012 4:48:03 PM	since starting to take this med about a year ago- at 50 mg, I have developed dry eyes.  Is this a commom side effect?
High Blood Pressure	wcander, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	3	5	2	Female		6/29/2012 12:30:29 PM	Muscle pain in ankles and buttocks and other areas.
High Blood Pressure	02Corazon, 65-74 on Treatment for 1 to 6 months (Patient) 	1	4	1		65-74	6/17/2012 5:07:00 PM	I began to feel lightheaded after starting this drug and almost fell in the bathtub shower.  Then I began to get increasing muscle pains in my legs and back to the point where I had to roll out of bed and the spasms prevented me from standing upright or moving. I used acetominaphen and capsaicin to relax the muscle pain. I have been off it for 5 days but and still feeling unwell. I woke up feeling nauseated this morning and still have limited muscle pain, light headedness.  I will not continue with this drug. My s-in-law tells me my brother has lowered  blood pressure using nicotine patches, presumably prescribed by his doctor.  I am asking more about this. Has anyone heard of that?  I don't know if it was used for cessation of smoking or if it was prescribed for high BP. I have asked her to elaborate.
High Blood Pressure	Nita, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	4	2	Female	55-64	6/13/2012 1:04:24 PM	I started taking Losartan 50 mg about 1 month ago.  After 2 weeks, my blood pressure was still a little high so my doctor increased me to 100 mg.  I am considered obese and over age 60.  I started noticing considerable shortness of breath and very low engery.  Walking to the bathroom or kitchen from my bedroom was an issue.  I am afraid to stop taking it without doctor's consent.  But I feel it did not work for me.  My energy level and shortness of breath was so low I ended up in the hospital for 3 nights.  The hospital did not find anything significant and I was tested thoroughly.  The attending doctor did not want to change my medication.  So, I still have the same symptoms.  Thankfully, I have a doctor's appointment on 6/14/2012.  I will be requesting another drug if needed.
High Blood Pressure	D.D., 65-74 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	65-74	6/12/2012 8:59:19 PM	Anyone have difficulty sleeping w/ Losartan?  I take w/ Norvasc. 
High Blood Pressure	Steve S, 55-64 on Treatment for 1 to less than 2 years (Patient) 	4	3	3		55-64	6/12/2012 4:44:23 PM	I have been taking Losartan 100mg/HCTZ for a little over a year. I am starting to notice swelling of the feet and fingers, but I want to know if anyone has experienced bad breath while taking this drug. I know that dry mouth is a symptom, but I have never heard of it causing bad breath.
High Blood Pressure	55-64 Male  on Treatment for 1 to 6 months (Patient) 	2	3	3	Male	55-64	6/3/2012 5:29:00 PM	just started
High Blood Pressure	DARLINDIANE, 65-74 Female  on Treatment for less than 1 month	4	5	3	Female	65-74	5/29/2012 7:29:19 PM	I HAVE BEEN ON THIS FOR APROX 1 MONTH, I'VE GAINED 4 LBS [ABOUT 1 LB A WEEK] SINCE. ALSO HAVE SWELLING OF HANDS AND FINGERS. MY WEIGHT HAS ALWAYS BEEN STABLE TO WITHIN 1 OR 2 POUNDS. HAS ANYONE ALSO HAD THESE PROBLEMS? I TAKE IT WITH MY NORMAL BLOOD PRESSURE PILL [FILODIPINE] WHEN I WAKE UP. THANKS
High Blood Pressure	smwike, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	5	3	Male	55-64	5/28/2012 2:46:04 PM	shortness of breath, low energy
High Blood Pressure	65-74 Male  on Treatment for 1 to 6 months (Patient) 	4	4	3	Male	65-74	5/25/2012 11:46:12 AM	
High Blood Pressure	45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	3	4	4	Male	45-54	5/17/2012 3:26:35 PM	Does anyone have an indications of ED with this med?
High Blood Pressure	Losartan Oral 25mg, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	3	5	3	Female	65-74	5/16/2012 11:02:53 PM	I take it in the morning along with my other 10 or tablets, I have a full day, and I wake up the next morning too.  So far, So good. 
High Blood Pressure	65-74 Female  (Patient) 	5	5	2	Female	65-74	5/15/2012 2:00:41 PM	taking at night and not sleeping tired the next day
High Blood Pressure	dcaleo1@aol.com, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	65-74	5/14/2012 10:11:03 AM	retaining water. since taking this med, my feet have been swollen.
High Blood Pressure	55-64 on Treatment for 1 to 6 months (Patient) 	1	3	1		55-64	5/10/2012 7:17:19 AM	Actually raised my normal 140/90 bp by more than 20 pts.  tired, PVCs, weight gain, breathing problems, etc.  had been switched from lisinopril due to cough and shortness of breath.  no longer take losarton and have fired my doctor !
High Blood Pressure	JOHN, 65-74 Male  on Treatment for less than 1 month (Patient) 	1	5	1	Male	65-74	5/5/2012 8:13:07 AM	Took Diovan 320mg; switched to Losartin 100mg.Finding it weak and ineffective.  BP rising to 140/90 from 115/60 on Diovan.  Unfortunately generic Diovan is not going to be available probably next February 2013.I think I may have to pay the cost, unless my doctor allows a higher dosage or an alternative medication.  If you are on medicare you cannot use new DIOVAN coupons.  If you are NOT, however, you can get it inexepensively.  Check-out the Novartis website.
High Blood Pressure	55-64 on Treatment for 1 to 6 months (Patient) 	3	3	3		55-64	5/3/2012 7:52:50 AM	good
High Blood Pressure	milestone801, 55-64 Male  (Patient) 	3	2	3	Male	55-64	4/29/2012 4:06:42 PM	Always tired
High Blood Pressure	truckerdrl, 55-64 Male  on Treatment for less than 1 month	5	1	1	Male	55-64	4/24/2012 5:51:57 PM	IT MAKES ME HAVE A VERY BAD DRY COUGH
High Blood Pressure	Toomanymeds, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	5	2	Female	45-54	4/21/2012 6:54:38 AM	I was switched from the brand name Cozaar (Green pill) then to the other one (White pill of another generic brand and now Lorsatan round White pill.  Take 100 mg 1 x per day.  Have gained an awful lot of weight on this medication.  Swelling of my abdomen, ankles, etc.  I have trouble breathing at night though I'm not sure this pill has anything to do with it. When taking the brand name Cozaar only side effect I had was some leg or foot cramping from time to time.  This Lorsatan is the worst.  Can't afford the brand name.  Will discuss this with my doctor.
High Blood Pressure	none, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	55-64	4/14/2012 1:05:46 PM	Caused me to have a dry cough and tightness in my chest.
High Blood Pressure	65-74 Male  (Patient) 	4	4	4	Male	65-74	3/21/2012 8:40:16 PM	
High Blood Pressure	lekili51, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	4	5	5	Female	55-64	4/13/2012 1:00:36 PM	I was taking Lisinopril for about 5 years and had a horrible dry cough.  My doctor took me off that and prescribed Losartan.  After recovering from the shock of the price for this med, I realized my dry cough was diminishing after a week.  I sleep better because I'm not waking up during the night coughing.  Very effective med but I wish the price was more reasonable.
High Blood Pressure	Jewels, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	4	1	Female	45-54	4/8/2012 2:57:32 AM	Was on lisinopril and had bad cough so Dr. switched me to losarten and have had nothing but problems with it I itch all the time and no energy at all and have gained weight and can't seem to lose it and I exercise and try to eat right most of the time, swelling in feet, don't like this drug but is effective with lowering my BP.
High Blood Pressure	75 or over Male  on Treatment for 1 to 6 months (Patient) 	3	3	3	Male		3/25/2012 2:17:12 PM	
High Blood Pressure	65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	4	5	5	Male	65-74	3/23/2012 11:40:01 PM	
High Blood Pressure	55-64 Male  on Treatment for less than 1 month (Patient) 	3	5	3	Male	55-64	3/21/2012 10:03:36 AM	My dr prescribed 500 mgs, then increased to 100 mgs.  The drug has made me very tired, along with diarrhea, but my blood pressure has started to drop. 
High Blood Pressure	45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	45-54	3/20/2012 6:05:51 PM	I took Losartan and coughed for a month.  I was so sick on this medication.  I went to my internist who referred me to an ENT doctor.  They both kept giving my an inhaler, which didn't cure the cough.  I had to tell the internist I was stopping the medication and he insisted it was not the medication.  As soon as I stopped and the medicine got out of my system (about 2/3 days), I was feeling great.  I don't recommend Losartan to anyone.
High Blood Pressure	65-74 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	65-74	3/16/2012 1:38:33 PM	Changed from lisinopril to Losartan because I had developed a constant, dry cough.  I took losartan only 4 days but developed severe fatigue, palpitations with skipped beats, and left leg weakness. My PCP advised me to stop taking it and recommended another antihypertensive.
High Blood Pressure	foxy, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	1	4	1	Female		3/16/2012 12:16:20 AM	Have taken this pill for over two month's,feel awful, feel dizzy,sob,and have gained three pounds in the past two month ,which my weight has always stayed the same.Going to see my Dr,to change medication 
High Blood Pressure	J.B.C., 65-74 Female  on Treatment for less than 1 month (Patient) 	1	4	1	Female	65-74	3/15/2012 1:59:54 PM	On this med for only 5 days. Rapid heart beat while sleeping, night sweats, no energy,coughing, thought I was getting a cold. Slept for 2 days Went to physical therapy. I had to force myself to participate.  Had my pressure taken at the Fire Station because I felt so bad. to my supprise my BP was 144/88 .I felt like I hardly had a pulse. all this and I was on the lowest dose. Stopped yesterday and feel almost like my old self.
High Blood Pressure	Gypsy, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	4	1	Female	65-74	3/15/2012 1:07:35 PM	I have experienced severe muscle cramps, especially in my calf muscles, back pain, memory loss, weakness, no energy, just feeling worse thaan before taking med.  I am on the generic. It's terrible
High Blood Pressure	45-54 Male  on Treatment for less than 1 month (Patient) 	4	5	4	Male	45-54	3/9/2012 4:55:45 PM	
High Blood Pressure	55-64 Female  (Patient) 	1	1	1	Female	55-64	3/8/2012 12:28:33 AM	
High Blood Pressure	darlindi, 65-74 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	65-74	3/7/2012 10:12:21 PM	only side effect i've had is weight gain. been on it 3 weeks gained 3 lbs. weight has been stable for 3 yrs. has anyone else had weight gain?
High Blood Pressure	d6kabb, 75 or over Female  on Treatment for less than 1 month (Patient) 	3	1	1	Female		3/7/2012 2:58:07 PM	it has caused stomach upset and lack of peristalsis .
High Blood Pressure	machinist, 45-54 Male  on Treatment for less than 1 month (Patient) 	2	4	1	Male	45-54	3/6/2012 7:41:47 PM	Just prescribed this drug after the lisinproil caused too much coughing. after 2 doses, my heart felt like it was going to pop out of my chest. Dr prescribed 100 mg. I also take 2 other BP drugs a 5mg and 10 mg.Calling Dr right away. 
High Blood Pressure	MARIE, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	2	5	2	Female	65-74	3/3/2012 1:55:04 PM	I HAVE NOT HAD A 120 PRESSURE, SOMETIMES HIGH AS 155. DON'T THINK IT'S WORKING AFTER 1 YR.
High Blood Pressure	Karen, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	4	5	4	Female	55-64	2/29/2012 9:08:41 AM	Blood pressure went down slowly. I take this before bed.  Only side effect - broken capillaries on skin surface and on white part of eye.
High Blood Pressure	FlyersFan, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	4	4	4	Female	55-64	2/27/2012 10:49:52 PM	
Chronic Heart Failure	bird, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	3	1	Female	55-64	2/26/2012 9:24:20 PM	Had to stop enalapril due to cough and have been on Losartan for several months. I didn't realize until today about Losartan's side effects. I've been having increased abdominal pain, chronically tired, indigestion, muscle cramps, not feeling well, weird sour-bitter taste in mouth, chronic problems sleeping. I'm so angry at myself for not checking side effects before now. Spent all winter on the couch. I'm stopping this drug right now.
High Blood Pressure	nana, 55-64 Female  on Treatment for less than 1 month (Patient) 	2	5	1	Female	55-64	2/21/2012 4:45:02 PM	I was doing o.k. till my Dr. doubled my losartin. Having lower back pain, dizzy, tired, and crampy. Cant stand for more than a few minutes. Waiting for Dr. to callback.
High Blood Pressure	Happy, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female		2/17/2012 3:27:58 PM	Been taking Losartan in addition to a diuretic, which alone was not lowering my blood pressure, and was amazed at how quickly and consistently it worked to get my BP down and keep it down in the 120's (systolic).  
