Incomplete or Infrequent Bowel Movements	45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	45-54	9/14/2012 5:39:12 PM	My doctor told me to use this 2 years ago for constipation. If I ever have a problem that lasts more than a week, all I have to do is get me a bottle of this stuff. It does taste horribe, and it works for about a day and a half. 
Incomplete or Infrequent Bowel Movements	crystal@aol.com, 55-64 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	55-64	9/3/2012 9:31:09 AM	This product works for me. I have use it for years and never experienced any side effect. When I need assistance nothing else works.
Incomplete or Infrequent Bowel Movements	NJ, 25-34 Female  on Treatment for less than 1 month (Patient) 	4	4	4	Female	25-34	8/11/2012 8:58:45 AM	This past month alone, I have had to travel to three different places so my diet and digestion were impacted by new food, environments, schedule. I had taken this last year when I was constipated (7 days) and it took more than 12 hours to take effect but when it did wow cleaned me out good, I mean really good like that scene from dumb and dumber! But during the wait I felt sick like I had to vomit, but never was able to vomit. This time I also took the entire bottle at 9:30pm, at 8:50 am the next morning had my first BM. I still felt sick during the night but not as bad as the first time I took it. Also the first time left me dehydrated and very week as I had not had a BM in 7 days you can imagine the amount of BM. This second time since I had only been constipated for 1 day, BM was very mild and not painful at all, smooth like jazz..Would I take this again? Yes I opt for more natural alternatives and senna pills/tea but when those don't work I pull out my big guns and chug this disgusting concoction down.
Emptying of the Bowel	45-54 Female  on Treatment for less than 1 month (Patient) 	3	5	3	Female	45-54	7/31/2012 7:40:08 AM	Had 4 loose bowel movements
Emptying of the Bowel	1SLYFOX, 35-44 Female  on Treatment for less than 1 month (Patient) 	1	5	1	Female	35-44	5/18/2012 11:52:59 AM	I was diagnosed at the E.R. at 3:00 am thismorning for compacted bowels, dehydration, and a kidney infection. I got home and took all 10 oz. at 4:00 AM with lots and lots of water. It is now 10:44 AM and absolutely NOTHING has happened. Not even an urge to have a bowel movement; if the E.R. doctor hadn't have taken several blood samples, abdomimal ex ray's, and a U.A. I would probably think that he had misdiagnosed me. Still nauseous, and now feeling worse instead of better.
Incomplete or Infrequent Bowel Movements	mandi, 25-34 Female  on Treatment for less than 1 month (Patient) 	3	4	4	Female	25-34	4/26/2012 12:46:13 AM	My pcp recommended this type of treatment for my severe constipation. I failed with oral laxatives tablets and Miralax. I tried the lemon flavor, not bad, but extremely tart. Caution: I  experienced a lemony indigestion for a least a week after drinking one whole bottle. This medication was only somewhat effective for me. I experienced maybe four &quot;muddy water&quot; bowel movements in probably a twenty four hour period, but nothing substantial. I felt the medication working as I was drinking it. My stomach growled,rumbled and made all kinds of digestive noises. I felt my stomach bloating, hardness, and pain began to ease. But overall, I still did not feel completely relieved(empty.) I felt as if I should of repeated the course.
Incomplete or Infrequent Bowel Movements	mommy4, 35-44 Female  on Treatment for less than 1 month (Caregiver) 	3	5	3	Female	35-44	4/18/2012 8:49:54 AM	this product did not work for me within the 6 hours it said on the bottle.I took it at 10am and didn't (go) untill the next morning.
Emptying of the Bowel	itull, 55-64 Female  on Treatment for less than 1 month (Patient) 	4	1	3	Female	55-64	2/23/2012 8:19:25 AM	nasty tasting 
Emptying of the Bowel	ady, 65-74 Female  on Treatment for less than 1 month (Patient) 	1	4	1	Female	65-74	1/15/2012 12:25:12 PM	I drank a 10 oz. bottle, yesterday, at 6 p.m.  I drank it without any problem, but did feel some queasiness later. It now is 11 a.m. and there has been no impact.  I drink another bottle today at 3 p.m.  We shall see.
Emptying of the Bowel	55-64 Male  on Treatment for less than 1 month (Patient) 	2	4	2	Male	55-64	1/9/2012 8:12:42 AM	I didn't really get the results from the m c as expected.
Incomplete or Infrequent Bowel Movements	55-64 Female  on Treatment for less than 1 month (Patient) 	3	4	3	Female	55-64	12/2/2011 6:09:54 AM	I am 45 years old, and for the VERY 1ST time in my life, am having GI problems. Saw a GI doctor for the 1st time EVER (went 2 months without ANY med. attention-hoping problems would just &quot;disappear&quot;.) Doc did the &quot;dreaded exam&quot;, took x-ray - film showed Profound Constipation, from top of esophagus all the way to top of rectum-IMPACTED!Prescribed blood-work, and instructed me to drink 3 of these-1 every 8 hours until stool runs clear. 1st bottle kicked in after 2 hours-approx. 7 BM,all liquid-was tied to bathroom for 2 hours straight-then no more activity for the next 4 hours. 2nd bottle took 4.5 hours to kick in, produced approx. 10 BMs-spent 3 hours in bathroom (this time not liquid movements - just VERY soft),excruciating pain in rectum like razor blades-had to go to sleep was up ALL night and pain was too severe, so had to wait to drink 3rd bottle. 5 hours later woke up and had 3 soft BMs. Waited 1 hour and then drank 3rd bottle. Took 1.5 hours and then had 5 soft and &quot;piecey&quot; BM's-no liquid to it, more razor blade feelings. Never wound up running clear, plus STILL not emptied out yet - stuff stopped working. Such pain and rectal bleeding (had it before I started - told Doc) Read on here that you shouldn't take this if you have ANY rectal bleeding - Doc had me do it anyway - makes me wonder about him. This stuff seems to increase anal burning (citric acid)-beware if you have that, for I felt like I was literally burning in HELL :(:(:(!
Incomplete or Infrequent Bowel Movements	barbara, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	45-54	11/11/2011 9:06:16 AM	No griping, Totally cleaned me, kept going until passing virtually water.
Other	spudgun, 25-34 Male  on Treatment for 1 to 6 months (Patient) 	3	5	3	Male	25-34	10/31/2011 1:53:40 PM	Took Magnesium citrate for a few months to help with anxiety.  Seemed to improve my mood somewhat and stop the bruxism I was suffering but didn't do that much for anxiety.  Loosened up my stools are fair bit too!
