Other	45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	1	Female	45-54	9/14/2012 4:25:07 PM	Was given a prescription to take every day (no skipping or blanks).  Had been bleeding for 7 weeks straight (peri-menopause).  Bleeding stopped, then had one period lasting 7 days.  However, I am also being treated for depression and this medication caused me to become severly depressed.  I do not recommend this medication for anyone with depression or anxiety.
Absence of Menstrual Periods in Woman Who Has Had Them	feistyjournalist, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	45-54	8/10/2012 12:08:42 AM	This medication works just like my gyn said it would. I take it for the first 10 days of each month, and then my period starts about 3 days after I stop the pills. Side effects are tiredness, hunger, and a small amount of swelling in my feet. Not the best feeling, but the pills are cheap and they do the job.
Abnormal Uterine Bleeding caused by Imbalance of Hormones	p, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	4	1	Female	19-24	4/4/2012 1:02:01 AM	we take this tablet regular 21days(first 5 days twice in day 7after it one tablet per day)but my period missed last 30days after complete the dose so give me sugession plz
Abnormal Uterine Bleeding caused by Imbalance of Hormones	45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	2	Female	45-54	3/15/2012 1:29:17 AM	It has reduced the bleeding. I am going thru per-i-menopause and I was having some heavy bleeding. It took me awhile to figure out why. I was still having regular periods but would have them like every 2 months instead of once per month and I would bleed for 1 1/2 to 2 weeks. And alot. Really scared me. This has helped with the bleeding, but I have gained some weight. Get headachs, have dizziness. Stomach upset. is it worth it? Not really. There must be another way. Natural progesterone perhaps? 
Abnormal Uterine Bleeding caused by Imbalance of Hormones	cindyboowitch, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	9/4/2011 7:08:47 AM	I have been taking this medicine for 3 1/2 yrs. Dr told me it might stop my periods YES that was fine with me till I woke yesterday morning and I was bleeding so they might have to put me on something else or I have a better idea I am 46 take everything out
Other	flip flop, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	1	3	1	Female	45-54	7/5/2011 6:14:51 AM	I started taking norethindrone because i experienced symptoms of hemmorraghing.  I have enlarged fibroids/enlarged uterus.  I have been bleeding/clots now for over a week.  I thought this was supposed to stop the bleeding all together until my surgery, but it has not.  I have been taking this prescription just over 1 month.  Going to ER to check my vitals and have upcoming dr appts in less than two weeks.  Overall don't think this it is completely working for me.
Abnormal Uterine Bleeding caused by Imbalance of Hormones	Wonder woman, 45-54 Female  on Treatment for less than 1 month (Patient) 	2	3	1	Female	45-54	3/9/2011 5:50:19 PM	I eleven firbroids removed eleve years ago.  I was told two years ago two new ones have apppeared.  I was taking Nora b tab mini pill and bleeding was heavy. During last doctor visit I was prescribed this pill due to heavy bleeding and the fact that I'm 52-no ther signs of peri or menapause.  I have taken this medication for 19 days since the started of my cycle  I have bled with clots for 19 days.  I emailed my doctor today, and I am coming off of this pill. I have cramped seven days after a normal cycle after being on these pills.  I am going to the health food store and seek herbs. 
Absence of Menstrual Periods in Woman Who Has Had Them	19-24 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	19-24	2/21/2011 12:43:42 AM	I was on this medication for amenorrhea.  I took it for 10 days and after not taking it for three days, I got my period.  The only side effects were cramps.  The medication worked like it should.  
Other	tosha615, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	3	5	2	Female	25-34	1/6/2011 11:48:52 AM	I was given this medicine for heavy menstrual bleeding. I t did slow down the bleeding but still have alot of breakthrough bleeding. Night sweats, inability to sleep. Overall i am satisfied with it though. Its a trade-off.
Other	45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	4	2	Female	45-54	1/4/2011 7:17:49 PM	I have been using the drug for 2 months, I have gained 15 lbs. and my stomach has grown two inches,  headaches everyday, severe, severe nightsweats and mood swings.  Will be seeing my Dr. in the next day to start different treatment.  
