Other	35-44 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	35-44	8/27/2012 12:39:04 PM	This really helped my migraines... I still get headaches but not as frequently or severly.  It has side effects that I actually really loved.  I slept MUCH better on it and I found myself to be far less neurotic.  My dr. told me to take it at night, but I found that it made me wired.  I take it in the morning and it doesn't make me sleepy  but at night when I go to sleep I fall right to sleep (not normal for me, but very welcome).  Only side effect that I did not like was the increased heart rate.  I work out a lot and it sometimes scared me.  I am used to it now however.
Neuropathic Pain	Emily_234, 13-18 Female  on Treatment for 1 to 6 months (Patient) 	3	3	1	Female	13-18	8/23/2012 3:19:59 AM	Helped start the onset of my depression almost a year ago. I had to quit taking the pills after about five months. While taking them I felt depressed and suicidal 
Neuropathic Pain	me, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	4	3	Female	45-54	8/21/2012 9:56:53 PM	
Other	25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	25-34	8/7/2012 4:47:36 PM	I have been on 50mg for cluster headaches for years with great success. 
Neuropathic Pain	cardsender, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	4	4	5	Female	55-64	7/30/2012 10:58:45 PM	I started taking this medication about 14 months ago. It has decreased my pain all over.  There are side effects, such as dry mouth and weight gain, but I am dealing with those in a positive light.  Much,much better. It has made a huge difference in my life.
Neuropathic Pain	55-64 Female  on Treatment for less than 1 month (Patient) 	1	4	2	Female	55-64	7/11/2012 2:16:26 PM	
Neuropathic Pain	Wallenberg, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	1	3	1	Male	45-54	6/8/2012 7:53:03 AM	
Other	Clovismom, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	55-64	5/28/2012 6:10:00 PM	Between the side effects of this medication and Lipitor, I have been a mess since last August. It was prescribed for my chronic back pain and I was taking 20 mg a night. It has done nothing to help the pain but I continued. Dr. increased it to 30mg 30 days ago and again, no pain relief. But I have become a screaming banshee who cries over TV commercials. I also have gained about 40 pounds. I've been beating myself up over that until I read this blog and see that it's a common side effect.  Needless to say, I am telling my doctor &quot;No more&quot; and will wean myself off this medication. There is no upside for me, just major downsides. 
Other	75 or over Female  on Treatment for 2 to less than 5 years (Patient) 	1	4	1	Female		5/27/2012 1:07:02 AM	makes my feet swollen
Neuropathic Pain	No more nortriptyline for me, 35-44 Male  on Treatment for less than 1 month (Patient) 	2	3	1	Male	35-44	5/17/2012 12:14:33 AM	Started taking for neuropathy. By second day I was sleeping too much, had experienced loss of appetite, dry mouth, strange, intense dreams and my memory started to fail. Plus my memory started to fail. I quit third day. Where the he11 am I?
