Other	55-64 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	55-64	6/19/2012 5:43:33 PM	I had shingles and it was great.
An Infection in a Burn Wound	annerstanner, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	5/31/2012 3:50:20 PM	I burn myself in the kitchen all the time. This stuff is a miracle! No scars! and heals most overnight.
Minor Skin Infection caused by Bacteria	JimG, 65-74 Male  on Treatment for 1 to 6 months (Patient) 	5	5	4	Male	65-74	1/9/2012 10:02:01 AM	My Doctor prescribed this for me at my request. I was diagnosed as being infected with MERSA skin condition. Previously I had used this medication on my Son when he had been burned and was in the hospital.. IT Works..
Other	Ericaurr, 19-24 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	19-24	12/1/2011 12:35:04 AM	I was out in the sun for more than 5 hours with no shade and no way out of the enclosure or inside. Dr said I had second degree burns which was why boils started to form. This medicine not only cut healing time in half (pain lasted only 2 weeks), but cooling effect against my scorching skin soothed the areas. Took a while to get used to the consistency. It was difficult at first to apply because of how thick it was, like a paste.
An Infection in a Burn Wound	55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	55-64	10/3/2011 10:14:39 PM	3rd degree Burn from heating pad in upper thigh on outside of left leg thigh. Difficult to heal. This worked really well in treatment of the burn.  
An Infection in a Burn Wound	19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	5/31/2011 2:43:28 AM	Doctor prescribed this for a severe (second and third degree) sunburn, and I was AMAZED at how well it worked! I walked into the office barely being able to move my arms, and within an hour of my first application I was able to lift my arms almost parallel to the floor-within 3 days I had full range of motion back, and within a week the pain was completely gone.
An Infection in a Burn Wound	susanoa58, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	1/1/2011 3:01:49 AM	A doctor prescribed this for my daughter even though she is allergic to sulfa.  Her burn is worse and she is having an allergic reaction on top of everything.  I am very upset with her doctor.  She is an adult so I didn't know what she had put on her burn since she has her own house.  Doctors should be more careful.
Skin Ulcer	maypo, 55-64 Male  on Treatment for less than 1 month (Patient) 	5	4	5	Male	55-64	11/7/2010 4:49:21 PM	On 3 different occasions, I used this topical for diabetic ulcers. It's effectiveness was remarkable.  Very satisfied.
Other	35-44 Female  on Treatment for less than 1 month (Patient) 	3	3	3	Female	35-44	9/15/2010 12:06:43 AM	
An Infection in a Burn Wound	ymjke, 55-64 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	55-64	5/8/2010 11:44:29 PM	this is the second time i have used this cream and both times it worked a miracle on my infections 
