#choosemydrug	synonym
Attention Deficit Disorder with Hyperactivity	ADHD
Other	-
Cognitive Impairment following Traumatic Brain Injury	-
Recurring Sleep Episodes During the Day	-
Depression	Depression
Earache	Earache
Schizophrenia	Schizophrenia
Agitation associated with Bipolar Mania	Bipolar disorder
Manic Phase of Manic-Depression	Bipolar disorder
Bipolar I Disorder with Most Recent Episode Mixed	Bipolar disorder
Bipolar Disorder in Remission	Bipolar disorder
Additional Medications to Treat Depression	depression
Breast Cancer that has Spread to Another Part of the Body	breast cancer
Cold Sore	fever blisters
Acne	Acne
Type 2 Diabetes Mellitus	diabetes
Chronic Obstructive Asthma	asthma
Asthma Prevention	asthma
Asthma	asthma
High Blood Pressure	High blood pressure
Kidney Disease from Diabetes	diabetes
Diastolic Heart Failure	heart failure
Severe Difficult to Treat Nodular Acne	-
Severe Difficult to Treat Nodular Rosacea	-
Disorder in which Skin Converts to Hard Horny Material	-
Psoriasis	Psoriasis
Hair Follicle Inflammation with Abscess in Sweat Gland Areas	Abscess
Hair Follicle Inflammation due to Gram-Negative Bacteria	-
Cutaneous T-Cell Lymphoma	Non-Hodgkin's lymphoma
Pain	Pain
Migraine Headache	Migraine
Toothache	Toothache
Fever	Fever
Pain associated with Arthritis	Arthritis
Backache	back pain
Muscle Pain	Myofascial pain syndrome
Head Pain	Headache
Joint Damage causing Pain and Loss of Function	Rheumatoid arthritis
Painful Periods	Menstrual cramps
Cough	Cough
Outer Ear Inflammation caused by Allergy or Infection	Outer ear infection
Inflammation of the External Ear Resembling Eczema	Outer ear infection
Altitude Sickness	Acute mountain sickness 
Pseudotumor Cerebri	Pseudotumor Cerebri
High Eye Pressure or Glaucoma that May Worsen without Treatment	Glaucoma
Increased Eye Pressure caused by Another Disease	Glaucoma
Water on the Brain caused by Hemorrhage in the Brain	-
Closed Angle Glaucoma	Glaucoma
Water On the Brain with Obstruction of Cerebrospinal Fluid	-
Irritable Colon	Irritable bowel syndrome
Diarrhea	Diarrhea
Condition in which Stomach Acid is Pushed Into the Esophagus	Gastroesophageal Reflux Disease
Symptoms Accompanying Esophageal Reflux of Stomach Acid	Gastroesophageal Reflux Disease
Excessive Production of Stomach Acid	Zollinger-Ellison syndrome
